date,state,total cases,total deaths,new cases,new deaths
2020-03-12,Alaska,1,0,1,0
2020-03-13,Alaska,1,0,0,0
2020-03-14,Alaska,1,0,0,0
2020-03-15,Alaska,1,0,0,0
2020-03-16,Alaska,3,0,2,0
2020-03-17,Alaska,6,0,3,0
2020-03-18,Alaska,9,0,3,0
2020-03-19,Alaska,12,0,3,0
2020-03-20,Alaska,14,0,2,0
2020-03-21,Alaska,21,0,7,0
2020-03-22,Alaska,22,0,1,0
2020-03-23,Alaska,36,0,14,0
2020-03-24,Alaska,42,0,6,0
2020-03-25,Alaska,59,0,17,0
2020-03-26,Alaska,69,0,10,0
2020-03-27,Alaska,85,1,16,1
2020-03-28,Alaska,102,1,17,0
2020-03-29,Alaska,114,2,12,1
2020-03-30,Alaska,120,2,6,0
2020-03-31,Alaska,133,2,13,0
2020-04-01,Alaska,143,2,10,0
2020-04-02,Alaska,146,2,3,0
2020-04-03,Alaska,156,2,10,0
2020-04-04,Alaska,169,3,13,1
2020-04-05,Alaska,183,4,14,1
2020-04-06,Alaska,189,4,6,0
2020-04-07,Alaska,211,4,22,0
2020-04-08,Alaska,224,5,13,1
2020-04-09,Alaska,233,5,9,0
2020-04-10,Alaska,244,5,11,0
2020-04-11,Alaska,255,6,11,1
2020-04-12,Alaska,270,6,15,0
2020-04-13,Alaska,275,6,5,0
2020-04-14,Alaska,283,7,8,1
2020-04-15,Alaska,291,7,8,0
2020-04-16,Alaska,298,7,7,0
2020-04-17,Alaska,307,7,9,0
2020-04-18,Alaska,312,7,5,0
2020-04-19,Alaska,317,7,5,0
2020-04-20,Alaska,319,7,2,0
2020-04-21,Alaska,327,7,8,0
2020-04-22,Alaska,333,7,6,0
2020-04-23,Alaska,335,7,2,0
2020-04-24,Alaska,337,7,2,0
2020-04-25,Alaska,337,7,0,0
2020-04-26,Alaska,339,7,2,0
2020-04-27,Alaska,343,7,4,0
2020-04-28,Alaska,349,7,6,0
2020-04-29,Alaska,353,7,4,0
2020-04-30,Alaska,353,7,0,0
2020-05-01,Alaska,362,7,9,0
2020-05-02,Alaska,363,7,1,0
2020-05-03,Alaska,366,7,3,0
2020-05-04,Alaska,368,7,2,0
2020-05-05,Alaska,369,7,1,0
2020-05-06,Alaska,370,8,1,1
2020-05-07,Alaska,373,8,3,0
2020-05-08,Alaska,376,8,3,0
2020-05-09,Alaska,377,8,1,0
2020-05-10,Alaska,378,8,1,0
2020-05-11,Alaska,380,8,2,0
2020-05-12,Alaska,383,8,3,0
2020-05-13,Alaska,383,8,0,0
2020-05-14,Alaska,387,8,4,0
2020-05-15,Alaska,388,8,1,0
2020-05-16,Alaska,392,8,4,0
2020-05-17,Alaska,396,8,4,0
2020-05-18,Alaska,399,8,3,0
2020-05-19,Alaska,399,8,0,0
2020-05-20,Alaska,402,8,3,0
2020-05-21,Alaska,402,8,0,0
2020-05-22,Alaska,404,8,2,0
2020-05-23,Alaska,409,8,5,0
2020-05-24,Alaska,409,8,0,0
2020-05-25,Alaska,412,8,3,0
2020-05-26,Alaska,416,8,4,0
2020-05-27,Alaska,417,8,1,0
2020-05-28,Alaska,430,8,13,0
2020-05-29,Alaska,436,8,6,0
2020-05-30,Alaska,441,8,5,0
2020-05-31,Alaska,469,8,28,0
2020-06-01,Alaska,476,8,7,0
2020-06-02,Alaska,497,8,21,0
2020-06-03,Alaska,516,8,19,0
2020-06-04,Alaska,542,8,26,0
2020-06-05,Alaska,565,8,23,0
2020-06-06,Alaska,579,8,14,0
2020-06-07,Alaska,588,8,9,0
2020-06-08,Alaska,607,8,19,0
2020-06-09,Alaska,620,9,13,1
2020-06-10,Alaska,642,9,22,0
2020-06-11,Alaska,666,9,24,0
2020-06-12,Alaska,688,10,22,1
2020-06-13,Alaska,722,10,34,0
2020-06-14,Alaska,734,10,12,0
2020-06-15,Alaska,738,10,4,0
2020-06-16,Alaska,751,10,13,0
2020-06-17,Alaska,776,10,25,0
2020-06-18,Alaska,795,10,19,0
2020-06-19,Alaska,821,10,26,0
2020-06-20,Alaska,845,10,24,0
2020-06-21,Alaska,859,10,14,0
2020-06-22,Alaska,869,10,10,0
2020-06-23,Alaska,905,10,36,0
2020-06-24,Alaska,926,10,21,0
2020-06-25,Alaska,971,10,45,0
2020-06-26,Alaska,1001,12,30,2
2020-06-27,Alaska,1027,12,26,0
2020-06-28,Alaska,1060,12,33,0
2020-06-29,Alaska,1085,12,25,0
2020-06-30,Alaska,1132,12,47,0
2020-07-01,Alaska,1174,12,42,0
2020-07-02,Alaska,1224,12,50,0
2020-07-03,Alaska,1284,13,60,1
2020-07-04,Alaska,1339,14,55,1
2020-07-05,Alaska,1371,14,32,0
2020-07-06,Alaska,1401,14,30,0
2020-07-07,Alaska,1423,15,22,1
2020-07-08,Alaska,1472,15,49,0
2020-07-09,Alaska,1521,15,49,0
2020-07-10,Alaska,1579,15,58,0
2020-07-11,Alaska,1656,15,77,0
2020-07-12,Alaska,1772,15,116,0
2020-07-13,Alaska,1843,15,71,0
2020-07-14,Alaska,1897,15,54,0
