date,state,total cases,total deaths,new cases,new deaths
2020-01-26,Arizona,1,0,1,0
2020-01-27,Arizona,1,0,0,0
2020-01-28,Arizona,1,0,0,0
2020-01-29,Arizona,1,0,0,0
2020-01-30,Arizona,1,0,0,0
2020-01-31,Arizona,1,0,0,0
2020-02-01,Arizona,1,0,0,0
2020-02-02,Arizona,1,0,0,0
2020-02-03,Arizona,1,0,0,0
2020-02-04,Arizona,1,0,0,0
2020-02-05,Arizona,1,0,0,0
2020-02-06,Arizona,1,0,0,0
2020-02-07,Arizona,1,0,0,0
2020-02-08,Arizona,1,0,0,0
2020-02-09,Arizona,1,0,0,0
2020-02-10,Arizona,1,0,0,0
2020-02-11,Arizona,1,0,0,0
2020-02-12,Arizona,1,0,0,0
2020-02-13,Arizona,1,0,0,0
2020-02-14,Arizona,1,0,0,0
2020-02-15,Arizona,1,0,0,0
2020-02-16,Arizona,1,0,0,0
2020-02-17,Arizona,1,0,0,0
2020-02-18,Arizona,1,0,0,0
2020-02-19,Arizona,1,0,0,0
2020-02-20,Arizona,1,0,0,0
2020-02-21,Arizona,1,0,0,0
2020-02-22,Arizona,1,0,0,0
2020-02-23,Arizona,1,0,0,0
2020-02-24,Arizona,1,0,0,0
2020-02-25,Arizona,1,0,0,0
2020-02-26,Arizona,1,0,0,0
2020-02-27,Arizona,1,0,0,0
2020-02-28,Arizona,1,0,0,0
2020-02-29,Arizona,1,0,0,0
2020-03-01,Arizona,1,0,0,0
2020-03-02,Arizona,1,0,0,0
2020-03-03,Arizona,2,0,1,0
2020-03-04,Arizona,2,0,0,0
2020-03-05,Arizona,2,0,0,0
2020-03-06,Arizona,3,0,1,0
2020-03-07,Arizona,5,0,2,0
2020-03-08,Arizona,5,0,0,0
2020-03-09,Arizona,6,0,1,0
2020-03-10,Arizona,6,0,0,0
2020-03-11,Arizona,9,0,3,0
2020-03-12,Arizona,9,0,0,0
2020-03-13,Arizona,9,0,0,0
2020-03-14,Arizona,12,0,3,0
2020-03-15,Arizona,13,0,1,0
2020-03-16,Arizona,18,0,5,0
2020-03-17,Arizona,20,0,2,0
2020-03-18,Arizona,28,0,8,0
2020-03-19,Arizona,47,0,19,0
2020-03-20,Arizona,70,1,23,1
2020-03-21,Arizona,104,1,34,0
2020-03-22,Arizona,153,2,49,1
2020-03-23,Arizona,234,2,81,0
2020-03-24,Arizona,326,6,92,4
2020-03-25,Arizona,402,6,76,0
2020-03-26,Arizona,508,8,106,2
2020-03-27,Arizona,665,15,157,7
2020-03-28,Arizona,773,15,108,0
2020-03-29,Arizona,930,18,157,3
2020-03-30,Arizona,1169,20,239,2
2020-03-31,Arizona,1298,24,129,4
2020-04-01,Arizona,1413,29,115,5
2020-04-02,Arizona,1600,35,187,6
2020-04-03,Arizona,1769,41,169,6
2020-04-04,Arizona,2019,53,250,12
2020-04-05,Arizona,2269,64,250,11
2020-04-06,Arizona,2466,67,197,3
2020-04-07,Arizona,2577,77,111,10
2020-04-08,Arizona,2726,80,149,3
2020-04-09,Arizona,3018,89,292,9
2020-04-10,Arizona,3112,97,94,8
2020-04-11,Arizona,3393,112,281,15
2020-04-12,Arizona,3539,117,146,5
2020-04-13,Arizona,3702,122,163,5
2020-04-14,Arizona,3806,131,104,9
2020-04-15,Arizona,3962,142,156,11
2020-04-16,Arizona,4234,152,272,10
2020-04-17,Arizona,4507,174,273,22
2020-04-18,Arizona,4719,181,212,7
2020-04-19,Arizona,4929,188,210,7
2020-04-20,Arizona,5064,191,135,3
2020-04-21,Arizona,5251,213,187,22
2020-04-22,Arizona,5459,236,208,23
2020-04-23,Arizona,5769,257,310,21
2020-04-24,Arizona,6045,268,276,11
2020-04-25,Arizona,6280,275,235,7
2020-04-26,Arizona,6526,277,246,2
2020-04-27,Arizona,6716,277,190,0
2020-04-28,Arizona,6948,297,232,20
2020-04-29,Arizona,7202,308,254,11
2020-04-30,Arizona,7648,320,446,12
2020-05-01,Arizona,7962,330,314,10
2020-05-02,Arizona,8364,353,402,23
2020-05-03,Arizona,8640,362,276,9
2020-05-04,Arizona,8919,362,279,0
2020-05-05,Arizona,9305,395,386,33
2020-05-06,Arizona,9707,426,402,31
2020-05-07,Arizona,9945,450,238,24
2020-05-08,Arizona,10526,517,581,67
2020-05-09,Arizona,10960,532,434,15
2020-05-10,Arizona,11119,536,159,4
2020-05-11,Arizona,11380,542,261,6
2020-05-12,Arizona,11736,562,356,20
2020-05-13,Arizona,12176,594,440,32
2020-05-14,Arizona,12674,624,498,30
2020-05-15,Arizona,13169,651,495,27
2020-05-16,Arizona,13631,679,462,28
2020-05-17,Arizona,13937,680,306,1
2020-05-18,Arizona,14170,686,233,6
2020-05-19,Arizona,14566,704,396,18
2020-05-20,Arizona,14897,747,331,43
2020-05-21,Arizona,15315,763,418,16
2020-05-22,Arizona,15608,775,293,12
2020-05-23,Arizona,16040,799,432,24
2020-05-24,Arizona,16339,800,299,1
2020-05-25,Arizona,16561,806,222,6
2020-05-26,Arizona,16783,807,222,1
2020-05-27,Arizona,17262,831,479,24
2020-05-28,Arizona,17763,857,501,26
2020-05-29,Arizona,18465,885,702,28
2020-05-30,Arizona,19255,903,790,18
2020-05-31,Arizona,19936,906,681,3
2020-06-01,Arizona,20123,918,187,12
2020-06-02,Arizona,21250,943,1127,25
2020-06-03,Arizona,22245,983,995,40
2020-06-04,Arizona,22818,1000,573,17
2020-06-05,Arizona,24369,1016,1551,16
2020-06-06,Arizona,25517,1046,1148,30
2020-06-07,Arizona,26924,1048,1407,2
2020-06-08,Arizona,27761,1052,837,4
2020-06-09,Arizona,28396,1074,635,22
2020-06-10,Arizona,29981,1100,1585,26
2020-06-11,Arizona,31525,1130,1544,30
2020-06-12,Arizona,33167,1157,1642,27
2020-06-13,Arizona,34773,1190,1606,33
2020-06-14,Arizona,35953,1194,1180,4
2020-06-15,Arizona,37005,1204,1052,10
2020-06-16,Arizona,39298,1228,2293,24
2020-06-17,Arizona,41159,1252,1861,24
2020-06-18,Arizona,43731,1287,2572,35
