date,state,total cases,total deaths,new cases,new deaths
2020-01-25,California,1,0,1,0
2020-01-26,California,2,0,1,0
2020-01-27,California,2,0,0,0
2020-01-28,California,2,0,0,0
2020-01-29,California,2,0,0,0
2020-01-30,California,2,0,0,0
2020-01-31,California,3,0,1,0
2020-02-01,California,3,0,0,0
2020-02-02,California,6,0,3,0
2020-02-03,California,6,0,0,0
2020-02-04,California,6,0,0,0
2020-02-05,California,6,0,0,0
2020-02-06,California,6,0,0,0
2020-02-07,California,6,0,0,0
2020-02-08,California,6,0,0,0
2020-02-09,California,6,0,0,0
2020-02-10,California,7,0,1,0
2020-02-11,California,7,0,0,0
2020-02-12,California,7,0,0,0
2020-02-13,California,7,0,0,0
2020-02-14,California,7,0,0,0
2020-02-15,California,7,0,0,0
2020-02-16,California,7,0,0,0
2020-02-17,California,7,0,0,0
2020-02-18,California,7,0,0,0
2020-02-19,California,7,0,0,0
2020-02-20,California,8,0,1,0
2020-02-21,California,9,0,1,0
2020-02-22,California,9,0,0,0
2020-02-23,California,9,0,0,0
2020-02-24,California,11,0,2,0
2020-02-25,California,11,0,0,0
2020-02-26,California,26,0,15,0
2020-02-27,California,26,0,0,0
2020-02-28,California,27,0,1,0
2020-02-29,California,28,0,1,0
2020-03-01,California,33,0,5,0
2020-03-02,California,38,0,5,0
2020-03-03,California,45,0,7,0
2020-03-04,California,55,1,10,1
2020-03-05,California,67,1,12,0
2020-03-06,California,81,1,14,0
2020-03-07,California,100,1,19,0
2020-03-08,California,112,1,12,0
2020-03-09,California,172,2,60,1
2020-03-10,California,179,3,7,1
2020-03-11,California,202,4,23,1
2020-03-12,California,252,4,50,0
2020-03-13,California,320,5,68,1
2020-03-14,California,381,5,61,0
2020-03-15,California,478,6,97,1
2020-03-16,California,588,11,110,5
2020-03-17,California,732,14,144,3
2020-03-18,California,893,17,161,3
2020-03-19,California,1067,19,174,2
2020-03-20,California,1283,24,216,5
2020-03-21,California,1544,28,261,4
2020-03-22,California,1851,35,307,7
2020-03-23,California,2240,39,389,4
2020-03-24,California,2644,52,404,13
2020-03-25,California,3183,68,539,16
2020-03-26,California,4060,83,877,15
2020-03-27,California,4915,104,855,21
2020-03-28,California,5566,122,651,18
2020-03-29,California,6321,132,755,10
2020-03-30,California,7421,147,1100,15
2020-03-31,California,8583,184,1162,37
2020-04-01,California,9857,212,1274,28
2020-04-02,California,11190,247,1333,35
2020-04-03,California,12569,282,1379,35
2020-04-04,California,13796,323,1227,41
2020-04-05,California,15202,351,1406,28
2020-04-06,California,16361,386,1159,35
2020-04-07,California,17540,447,1179,61
2020-04-08,California,19043,506,1503,59
2020-04-09,California,20191,548,1148,42
2020-04-10,California,21366,594,1175,46
2020-04-11,California,22421,632,1055,38
2020-04-12,California,23323,676,902,44
2020-04-13,California,24334,725,1011,49
2020-04-14,California,25758,778,1424,53
2020-04-15,California,27107,885,1349,107
2020-04-16,California,28142,971,1035,86
2020-04-17,California,29398,1050,1256,79
2020-04-18,California,30829,1146,1431,96
2020-04-19,California,31544,1176,715,30
2020-04-20,California,33862,1223,2318,47
2020-04-21,California,35844,1316,1982,93
2020-04-22,California,37573,1425,1729,109
2020-04-23,California,39534,1548,1961,123
2020-04-24,California,41368,1619,1834,71
2020-04-25,California,42590,1692,1222,73
2020-04-26,California,43691,1716,1101,24
2020-04-27,California,45208,1800,1517,84
2020-04-28,California,46570,1884,1362,84
2020-04-29,California,48904,1961,2334,77
2020-04-30,California,50470,2057,1566,96
2020-05-01,California,52318,2147,1848,90
2020-05-02,California,53753,2213,1435,66
2020-05-03,California,55072,2235,1319,22
2020-05-04,California,56333,2297,1261,62
2020-05-05,California,58848,2386,2515,89
2020-05-06,California,60787,2478,1939,92
2020-05-07,California,62481,2561,1694,83
2020-05-08,California,64616,2650,2135,89
2020-05-09,California,66824,2732,2208,82
2020-05-10,California,68051,2769,1227,37
2020-05-11,California,69514,2820,1463,51
2020-05-12,California,71150,2902,1636,82
2020-05-13,California,73218,3014,2068,112
2020-05-14,California,74947,3039,1729,25
2020-05-15,California,77015,3192,2068,153
2020-05-16,California,78933,3254,1918,62
2020-05-17,California,80366,3290,1433,36
2020-05-18,California,81943,3322,1577,32
2020-05-19,California,83981,3422,2038,100
2020-05-20,California,86125,3514,2144,92
2020-05-21,California,88488,3624,2363,110
2020-05-22,California,90801,3690,2313,66
2020-05-23,California,92815,3768,2014,78
2020-05-24,California,94743,3790,1928,22
2020-05-25,California,97017,3808,2274,18
2020-05-26,California,99924,3859,2907,51
2020-05-27,California,101873,3961,1949,102
2020-05-28,California,104071,4042,2198,81
2020-05-29,California,107043,4144,2972,102
2020-05-30,California,110100,4214,3057,70
2020-05-31,California,113114,4242,3014,28
2020-06-01,California,115643,4287,2529,45
2020-06-02,California,118081,4360,2438,73
2020-06-03,California,120407,4422,2326,62
2020-06-04,California,122917,4484,2510,62
2020-06-05,California,126510,4550,3593,66
2020-06-06,California,129147,4626,2637,76
2020-06-07,California,131997,4653,2850,27
2020-06-08,California,134287,4679,2290,26
2020-06-09,California,137245,4775,2958,96
2020-06-10,California,140139,4869,2894,94
2020-06-11,California,143709,4941,3570,72
2020-06-12,California,147285,4986,3576,45
2020-06-13,California,150434,5059,3149,73
2020-06-14,California,152953,5089,2519,30
2020-06-15,California,155662,5120,2709,31
2020-06-16,California,159131,5202,3469,82
2020-06-17,California,163381,5283,4250,81
2020-06-18,California,167135,5359,3754,76
2020-06-19,California,170843,5425,3708,66
2020-06-20,California,174854,5495,4011,70
2020-06-21,California,178807,5517,3953,22
2020-06-22,California,184620,5561,5813,44
2020-06-23,California,191039,5637,6419,76
2020-06-24,California,195889,5728,4850,91
2020-06-25,California,201413,5810,5524,82
2020-06-26,California,207027,5872,5614,62
2020-06-27,California,211453,5902,4426,30
2020-06-28,California,216955,5937,5502,35
2020-06-29,California,223995,5979,7040,42
2020-06-30,California,232153,6083,8158,104
2020-07-01,California,239764,6168,7611,85
2020-07-02,California,248198,6263,8434,95
2020-07-03,California,256298,6315,8100,52
2020-07-04,California,265176,6329,8878,14
2020-07-05,California,271587,6369,6411,40
2020-07-06,California,277869,6452,6282,83
2020-07-07,California,287766,6563,9897,111
2020-07-08,California,296304,6708,8538,145
2020-07-09,California,303516,6825,7212,117
2020-07-10,California,311505,6936,7989,111
2020-07-11,California,320030,7012,8525,76
2020-07-12,California,327676,7042,7646,30
2020-07-13,California,336206,7086,8530,44
2020-07-14,California,346593,7227,10387,141
2020-07-15,California,355497,7368,8904,141
2020-07-16,California,364761,7490,9264,122
2020-07-17,California,374922,7607,10161,117
2020-07-18,California,383194,7697,8272,90
2020-07-19,California,391460,7710,8266,13
2020-07-20,California,400195,7764,8735,54
2020-07-21,California,410366,7883,10171,119
2020-07-22,California,422528,8038,12162,155
2020-07-23,California,433175,8190,10647,152
2020-07-24,California,443096,8325,9921,135
2020-07-25,California,453327,8428,10231,103
2020-07-26,California,459338,8451,6011,23
2020-07-27,California,467103,8544,7765,93
2020-07-28,California,474951,8716,7848,172
2020-07-29,California,486039,8884,11088,168
2020-07-30,California,494269,9009,8230,125
2020-07-31,California,502273,9222,8004,213
2020-08-01,California,509507,9365,7234,143
2020-08-02,California,515937,9399,6430,34
2020-08-03,California,522235,9500,6298,101
2020-08-04,California,527258,9696,5023,196
2020-08-05,California,532776,9866,5518,170
2020-08-06,California,541013,10014,8237,148
2020-08-07,California,548142,10197,7129,183
2020-08-08,California,556158,10299,8016,102
2020-08-09,California,563244,10365,7086,66
2020-08-10,California,574267,10460,11023,95
2020-08-11,California,586078,10654,11811,194
2020-08-12,California,595097,10808,9019,154
2020-08-13,California,603212,10995,8115,187
2020-08-14,California,613243,11146,10031,151
2020-08-15,California,621981,11229,8738,83
2020-08-16,California,628508,11245,6527,16
2020-08-17,California,634991,11334,6483,89
2020-08-18,California,640499,11523,5508,189
2020-08-19,California,646742,11686,6243,163
2020-08-20,California,653401,11801,6659,115
2020-08-21,California,659991,11984,6590,183
2020-08-22,California,665325,12137,5334,153
2020-08-23,California,669944,12152,4619,15
2020-08-24,California,676236,12250,6292,98
2020-08-25,California,682320,12409,6084,159
2020-08-26,California,687612,12547,5292,138
2020-08-27,California,692964,12696,5352,149
2020-08-28,California,698391,12836,5427,140
2020-08-29,California,702500,12906,4109,70
