date,state,total cases,total deaths,new cases,new deaths
2020-03-05,Colorado,2,0,2,0
2020-03-06,Colorado,8,0,6,0
2020-03-07,Colorado,8,0,0,0
2020-03-08,Colorado,8,0,0,0
2020-03-09,Colorado,12,0,4,0
2020-03-10,Colorado,17,0,5,0
2020-03-11,Colorado,34,0,17,0
2020-03-12,Colorado,49,1,15,1
2020-03-13,Colorado,78,2,29,1
2020-03-14,Colorado,103,2,25,0
2020-03-15,Colorado,136,2,33,0
2020-03-16,Colorado,161,2,25,0
2020-03-17,Colorado,183,3,22,1
2020-03-18,Colorado,216,3,33,0
2020-03-19,Colorado,278,5,62,2
2020-03-20,Colorado,364,5,86,0
2020-03-21,Colorado,475,6,111,1
2020-03-22,Colorado,591,7,116,1
2020-03-23,Colorado,721,10,130,3
2020-03-24,Colorado,912,11,191,1
2020-03-25,Colorado,1086,19,174,8
2020-03-26,Colorado,1432,24,346,5
2020-03-27,Colorado,1735,31,303,7
2020-03-28,Colorado,2061,44,326,13
2020-03-29,Colorado,2315,47,254,3
2020-03-30,Colorado,2628,51,313,4
2020-03-31,Colorado,2990,69,362,18
2020-04-01,Colorado,3346,80,356,11
2020-04-02,Colorado,3728,96,382,16
2020-04-03,Colorado,4182,110,454,14
2020-04-04,Colorado,4574,126,392,16
2020-04-05,Colorado,4950,140,376,14
2020-04-06,Colorado,5172,150,222,10
2020-04-07,Colorado,5429,179,257,29
2020-04-08,Colorado,5655,192,226,13
2020-04-09,Colorado,6202,227,547,35
2020-04-10,Colorado,6510,253,308,26
2020-04-11,Colorado,6893,274,383,21
2020-04-12,Colorado,7303,290,410,16
2020-04-13,Colorado,7691,308,388,18
2020-04-14,Colorado,7941,329,250,21
2020-04-15,Colorado,8280,355,339,26
2020-04-16,Colorado,8675,374,395,19
2020-04-17,Colorado,9047,389,372,15
2020-04-18,Colorado,9433,409,386,20
2020-04-19,Colorado,9730,421,297,12
2020-04-20,Colorado,10106,448,376,27
2020-04-21,Colorado,10447,484,341,36
2020-04-22,Colorado,10878,526,431,42
2020-04-23,Colorado,11262,557,384,31
2020-04-24,Colorado,12255,672,993,115
2020-04-25,Colorado,12967,670,712,0
2020-04-26,Colorado,13440,678,473,8
2020-04-27,Colorado,13804,705,364,27
2020-04-28,Colorado,14239,734,435,29
2020-04-29,Colorado,14680,764,441,30
2020-04-30,Colorado,15207,775,527,11
2020-05-01,Colorado,15661,818,454,43
2020-05-02,Colorado,16118,830,457,12
2020-05-03,Colorado,16527,840,409,10
2020-05-04,Colorado,16799,849,272,9
2020-05-05,Colorado,17256,901,457,52
2020-05-06,Colorado,17720,919,464,18
2020-05-07,Colorado,18264,942,544,23
2020-05-08,Colorado,18719,958,455,16
2020-05-09,Colorado,19267,965,548,7
2020-05-10,Colorado,19595,969,328,4
2020-05-11,Colorado,19793,986,198,17
2020-05-12,Colorado,20103,1009,310,23
2020-05-13,Colorado,20442,1062,339,53
2020-05-14,Colorado,20813,1091,371,29
2020-05-15,Colorado,21207,1150,394,59
2020-05-16,Colorado,21604,1192,397,42
2020-05-17,Colorado,21909,1215,305,23
2020-05-18,Colorado,22174,1224,265,9
2020-05-19,Colorado,22454,1257,280,33
2020-05-20,Colorado,22769,1299,315,42
2020-05-21,Colorado,23161,1310,392,11
2020-05-22,Colorado,23456,1324,295,14
2020-05-23,Colorado,23932,1327,476,3
2020-05-24,Colorado,24140,1332,208,5
2020-05-25,Colorado,24256,1333,116,1
2020-05-26,Colorado,24553,1352,297,19
2020-05-27,Colorado,24775,1393,222,41
2020-05-28,Colorado,25116,1422,341,29
2020-05-29,Colorado,25602,1437,486,15
2020-05-30,Colorado,26084,1443,482,6
2020-05-31,Colorado,26364,1445,280,2
2020-06-01,Colorado,26563,1458,199,13
2020-06-02,Colorado,26774,1474,211,16
2020-06-03,Colorado,27046,1494,272,20
2020-06-04,Colorado,27346,1512,300,18
2020-06-05,Colorado,27601,1524,255,12
2020-06-06,Colorado,27834,1527,233,3
2020-06-07,Colorado,27987,1527,153,0
2020-06-08,Colorado,28169,1543,182,16
2020-06-09,Colorado,28333,1553,164,10
2020-06-10,Colorado,28484,1573,151,20
2020-06-11,Colorado,28632,1583,148,10
2020-06-12,Colorado,28807,1595,175,12
2020-06-13,Colorado,29002,1598,195,3
2020-06-14,Colorado,29115,1599,113,1
2020-06-15,Colorado,29284,1605,169,6
2020-06-16,Colorado,29427,1617,143,12
2020-06-17,Colorado,29658,1631,231,14
2020-06-18,Colorado,29886,1638,228,7
2020-06-19,Colorado,30172,1643,286,5
2020-06-20,Colorado,30334,1647,162,4
2020-06-21,Colorado,30524,1647,190,0
