date,state,total cases,total deaths,new cases,new deaths
2020-03-08,Connecticut,1,0,1,0
2020-03-09,Connecticut,2,0,1,0
2020-03-10,Connecticut,2,0,0,0
2020-03-11,Connecticut,3,0,1,0
2020-03-12,Connecticut,6,0,3,0
2020-03-13,Connecticut,11,0,5,0
2020-03-14,Connecticut,20,0,9,0
2020-03-15,Connecticut,26,0,6,0
2020-03-16,Connecticut,41,0,15,0
2020-03-17,Connecticut,68,0,27,0
2020-03-18,Connecticut,96,1,28,1
2020-03-19,Connecticut,159,4,63,3
2020-03-20,Connecticut,194,4,35,0
2020-03-21,Connecticut,223,5,29,1
2020-03-22,Connecticut,327,8,104,3
2020-03-23,Connecticut,415,10,88,2
2020-03-24,Connecticut,618,12,203,2
2020-03-25,Connecticut,875,19,257,7
2020-03-26,Connecticut,1012,21,137,2
2020-03-27,Connecticut,1291,27,279,6
2020-03-28,Connecticut,1524,33,233,6
2020-03-29,Connecticut,1993,34,469,1
2020-03-30,Connecticut,2571,36,578,2
2020-03-31,Connecticut,3128,69,557,33
2020-04-01,Connecticut,3557,85,429,16
2020-04-02,Connecticut,3824,112,267,27
2020-04-03,Connecticut,4915,132,1091,20
2020-04-04,Connecticut,5276,165,361,33
2020-04-05,Connecticut,5675,189,399,24
2020-04-06,Connecticut,6906,206,1231,17
2020-04-07,Connecticut,7781,277,875,71
2020-04-08,Connecticut,8781,335,1000,58
2020-04-09,Connecticut,9784,380,1003,45
2020-04-10,Connecticut,10538,448,754,68
2020-04-11,Connecticut,11510,494,972,46
2020-04-12,Connecticut,12035,554,525,60
2020-04-13,Connecticut,13381,602,1346,48
2020-04-14,Connecticut,13989,671,608,69
2020-04-15,Connecticut,14755,868,766,197
2020-04-16,Connecticut,15884,971,1129,103
2020-04-17,Connecticut,16809,1036,925,65
2020-04-18,Connecticut,17550,1086,741,50
2020-04-19,Connecticut,17962,1127,412,41
2020-04-20,Connecticut,19815,1331,1853,204
2020-04-21,Connecticut,20360,1423,545,92
2020-04-22,Connecticut,22469,1544,2109,121
2020-04-23,Connecticut,23100,1639,631,95
2020-04-24,Connecticut,23921,1764,821,125
2020-04-25,Connecticut,24582,1862,661,98
2020-04-26,Connecticut,25269,1925,687,63
2020-04-27,Connecticut,25997,2012,728,87
2020-04-28,Connecticut,26312,2089,315,77
2020-04-29,Connecticut,26767,2168,455,79
2020-04-30,Connecticut,27700,2257,933,89
2020-05-01,Connecticut,28764,2339,1064,82
2020-05-02,Connecticut,29287,2436,523,97
2020-05-03,Connecticut,29287,2436,0,0
2020-05-04,Connecticut,29973,2556,686,120
2020-05-05,Connecticut,30621,2633,648,77
2020-05-06,Connecticut,30995,2718,374,85
2020-05-07,Connecticut,31784,2797,789,79
2020-05-08,Connecticut,32411,2874,627,77
2020-05-09,Connecticut,32984,2932,573,58
2020-05-10,Connecticut,33554,2967,570,35
2020-05-11,Connecticut,33765,3008,211,41
2020-05-12,Connecticut,34333,3041,568,33
2020-05-13,Connecticut,34855,3125,522,84
2020-05-14,Connecticut,35464,3219,609,94
2020-05-15,Connecticut,36085,3285,621,66
2020-05-16,Connecticut,36703,3339,618,54
2020-05-17,Connecticut,37419,3408,716,69
2020-05-18,Connecticut,38116,3449,697,41
2020-05-19,Connecticut,38430,3472,314,23
2020-05-20,Connecticut,39017,3529,587,57
2020-05-21,Connecticut,39208,3582,191,53
2020-05-22,Connecticut,39640,3637,432,55
2020-05-23,Connecticut,40022,3675,382,38
2020-05-24,Connecticut,40468,3693,446,18
2020-05-25,Connecticut,40873,3742,405,49
2020-05-26,Connecticut,41303,3769,430,27
2020-05-27,Connecticut,41288,3803,0,34
2020-05-28,Connecticut,41559,3826,271,23
2020-05-29,Connecticut,41762,3868,203,42
2020-05-30,Connecticut,42022,3912,260,44
2020-05-31,Connecticut,42201,3944,179,32
2020-06-01,Connecticut,42740,3964,539,20
2020-06-02,Connecticut,42979,3972,239,8
2020-06-03,Connecticut,43091,3989,112,17
2020-06-04,Connecticut,43239,4007,148,18
2020-06-05,Connecticut,43460,4038,221,31
2020-06-06,Connecticut,43818,4055,358,17
2020-06-07,Connecticut,43968,4071,150,16
2020-06-08,Connecticut,44092,4084,124,13
2020-06-09,Connecticut,44179,4097,87,13
2020-06-10,Connecticut,44347,4120,168,23
2020-06-11,Connecticut,44461,4146,114,26
2020-06-12,Connecticut,44689,4159,228,13
2020-06-13,Connecticut,44994,4186,305,27
2020-06-14,Connecticut,45088,4201,94,15
2020-06-15,Connecticut,45235,4204,147,3
2020-06-16,Connecticut,45349,4210,114,6
2020-06-17,Connecticut,45429,4219,80,9
2020-06-18,Connecticut,45440,4226,11,7
2020-06-19,Connecticut,45557,4238,117,12
2020-06-20,Connecticut,45715,4251,158,13
2020-06-21,Connecticut,45755,4260,40,9
2020-06-22,Connecticut,45782,4263,27,3
2020-06-23,Connecticut,45899,4277,117,14
2020-06-24,Connecticut,45913,4287,14,10
2020-06-25,Connecticut,45994,4298,81,11
2020-06-26,Connecticut,46059,4307,65,9
2020-06-27,Connecticut,46206,4311,147,4
2020-06-28,Connecticut,46303,4316,97,5
2020-06-29,Connecticut,46362,4320,59,4
2020-06-30,Connecticut,46514,4322,152,2
2020-07-01,Connecticut,46572,4324,58,2
2020-07-02,Connecticut,46646,4326,74,2
2020-07-03,Connecticut,46717,4335,71,9
2020-07-04,Connecticut,46717,4335,0,0
2020-07-05,Connecticut,46717,4335,0,0
2020-07-06,Connecticut,46976,4338,259,3
2020-07-07,Connecticut,47033,4338,57,0
2020-07-08,Connecticut,47108,4343,75,5
2020-07-09,Connecticut,47209,4348,101,5
2020-07-10,Connecticut,47287,4348,78,0
2020-07-11,Connecticut,47287,4348,0,0
2020-07-12,Connecticut,47287,4348,0,0
2020-07-13,Connecticut,47510,4371,223,23
2020-07-14,Connecticut,47530,4372,20,1
2020-07-15,Connecticut,47636,4380,106,8
2020-07-16,Connecticut,47750,4389,114,9
2020-07-17,Connecticut,47893,4396,143,7
2020-07-18,Connecticut,47893,4396,0,0
2020-07-19,Connecticut,47893,4396,0,0
2020-07-20,Connecticut,48055,4406,162,10
2020-07-21,Connecticut,48096,4406,41,0
2020-07-22,Connecticut,48223,4406,127,0
2020-07-23,Connecticut,48232,4410,9,4
2020-07-24,Connecticut,48776,4413,544,3
2020-07-25,Connecticut,48776,4413,0,0
2020-07-26,Connecticut,48776,4413,0,0
2020-07-27,Connecticut,48983,4418,207,5
2020-07-28,Connecticut,49077,4423,94,5
2020-07-29,Connecticut,49540,4425,463,2
2020-07-30,Connecticut,49670,4431,130,6
2020-07-31,Connecticut,49810,4432,140,1
2020-08-01,Connecticut,49810,4432,0,0
2020-08-02,Connecticut,49810,4432,0,0
2020-08-03,Connecticut,50062,4437,252,5
2020-08-04,Connecticut,50110,4437,48,0
2020-08-05,Connecticut,50225,4437,115,0
2020-08-06,Connecticut,50245,4437,20,0
2020-08-07,Connecticut,50320,4441,75,4
2020-08-08,Connecticut,50320,4441,0,0
