date,state,total cases,total deaths,new cases,new deaths
2020-03-11,Delaware,1,0,1,0
2020-03-12,Delaware,4,0,3,0
2020-03-13,Delaware,4,0,0,0
2020-03-14,Delaware,4,0,0,0
2020-03-15,Delaware,7,0,3,0
2020-03-16,Delaware,8,0,1,0
2020-03-17,Delaware,16,0,8,0
2020-03-18,Delaware,26,0,10,0
2020-03-19,Delaware,30,0,4,0
2020-03-20,Delaware,39,0,9,0
2020-03-21,Delaware,45,0,6,0
2020-03-22,Delaware,56,0,11,0
2020-03-23,Delaware,87,0,31,0
2020-03-24,Delaware,104,0,17,0
2020-03-25,Delaware,119,0,15,0
2020-03-26,Delaware,143,1,24,1
2020-03-27,Delaware,165,2,22,1
2020-03-28,Delaware,214,5,49,3
2020-03-29,Delaware,232,6,18,1
2020-03-30,Delaware,264,7,32,1
2020-03-31,Delaware,319,10,55,3
2020-04-01,Delaware,368,11,49,1
2020-04-02,Delaware,393,12,25,1
2020-04-03,Delaware,450,14,57,2
2020-04-04,Delaware,593,14,143,0
2020-04-05,Delaware,673,14,80,0
2020-04-06,Delaware,783,15,110,1
2020-04-07,Delaware,928,16,145,1
2020-04-08,Delaware,1116,19,188,3
2020-04-09,Delaware,1209,23,93,4
2020-04-10,Delaware,1326,32,117,9
2020-04-11,Delaware,1479,33,153,1
2020-04-12,Delaware,1625,35,146,2
2020-04-13,Delaware,1761,41,136,6
2020-04-14,Delaware,1926,43,165,2
2020-04-15,Delaware,2014,46,88,3
2020-04-16,Delaware,2075,52,61,6
2020-04-17,Delaware,2323,61,248,9
2020-04-18,Delaware,2538,67,215,6
2020-04-19,Delaware,2538,67,0,0
2020-04-20,Delaware,2745,72,207,5
2020-04-21,Delaware,2931,82,186,10
2020-04-22,Delaware,3200,89,269,7
2020-04-23,Delaware,3308,92,108,3
2020-04-24,Delaware,3442,100,134,8
2020-04-25,Delaware,3576,112,134,12
2020-04-26,Delaware,4034,120,458,8
2020-04-27,Delaware,4162,125,128,5
2020-04-28,Delaware,4575,137,413,12
2020-04-29,Delaware,4655,144,80,7
2020-04-30,Delaware,4734,152,79,8
2020-05-01,Delaware,4918,159,184,7
2020-05-02,Delaware,5038,168,120,9
2020-05-03,Delaware,5208,177,170,9
2020-05-04,Delaware,5288,182,80,5
2020-05-05,Delaware,5371,187,83,5
2020-05-06,Delaware,5778,193,407,6
2020-05-07,Delaware,5939,202,161,9
2020-05-08,Delaware,6083,213,144,11
2020-05-09,Delaware,6277,221,194,8
2020-05-10,Delaware,6447,224,170,3
2020-05-11,Delaware,6565,225,118,1
2020-05-12,Delaware,6741,237,176,12
2020-05-13,Delaware,6952,247,211,10
2020-05-14,Delaware,7223,260,271,13
2020-05-15,Delaware,7373,271,150,11
2020-05-16,Delaware,7547,286,174,15
2020-05-17,Delaware,7670,290,123,4
2020-05-18,Delaware,7869,297,199,7
2020-05-19,Delaware,8037,304,168,7
2020-05-20,Delaware,8194,310,157,6
2020-05-21,Delaware,8386,317,192,7
2020-05-22,Delaware,8529,322,143,5
2020-05-23,Delaware,8690,324,161,2
2020-05-24,Delaware,8809,326,119,2
2020-05-25,Delaware,8965,332,156,6
2020-05-26,Delaware,9066,335,101,3
2020-05-27,Delaware,9096,344,30,9
2020-05-28,Delaware,9171,345,75,1
2020-05-29,Delaware,9236,356,65,11
2020-05-30,Delaware,9422,361,186,5
2020-05-31,Delaware,9498,366,76,5
2020-06-01,Delaware,9605,368,107,2
2020-06-02,Delaware,9685,373,80,5
