date,state,total cases,total deaths,new cases,new deaths
2020-03-01,Florida,2,0,2,0
2020-03-02,Florida,2,0,0,0
2020-03-03,Florida,3,0,1,0
2020-03-04,Florida,3,0,0,0
2020-03-05,Florida,4,0,1,0
2020-03-06,Florida,7,2,3,2
2020-03-07,Florida,12,2,5,0
2020-03-08,Florida,13,2,1,0
2020-03-09,Florida,14,2,1,0
2020-03-10,Florida,23,2,9,0
2020-03-11,Florida,26,2,3,0
2020-03-12,Florida,46,2,20,0
2020-03-13,Florida,70,2,24,0
2020-03-14,Florida,70,3,0,1
2020-03-15,Florida,109,3,39,0
2020-03-16,Florida,141,4,32,1
2020-03-17,Florida,210,6,69,2
2020-03-18,Florida,326,7,116,1
2020-03-19,Florida,434,8,108,1
2020-03-20,Florida,564,9,130,1
2020-03-21,Florida,764,11,200,2
2020-03-22,Florida,1000,13,236,2
2020-03-23,Florida,1222,18,222,5
2020-03-24,Florida,1467,20,245,2
2020-03-25,Florida,1971,23,504,3
2020-03-26,Florida,2478,29,507,6
2020-03-27,Florida,3198,46,720,17
2020-03-28,Florida,4038,56,840,10
2020-03-29,Florida,4943,60,905,4
2020-03-30,Florida,5695,72,752,12
2020-03-31,Florida,6742,85,1047,13
2020-04-01,Florida,7769,100,1027,15
2020-04-02,Florida,9000,144,1231,44
2020-04-03,Florida,10260,169,1260,25
2020-04-04,Florida,11537,194,1277,25
2020-04-05,Florida,12342,220,805,26
2020-04-06,Florida,13621,253,1279,33
2020-04-07,Florida,14739,295,1118,42
2020-04-08,Florida,15690,322,951,27
2020-04-09,Florida,16819,370,1129,48
2020-04-10,Florida,17960,418,1141,48
2020-04-11,Florida,18978,445,1018,27
2020-04-12,Florida,19855,460,877,15
2020-04-13,Florida,21011,498,1156,38
2020-04-14,Florida,21620,570,609,72
2020-04-15,Florida,22526,613,906,43
2020-04-16,Florida,23332,667,806,54
2020-04-17,Florida,24745,725,1413,58
2020-04-18,Florida,25484,747,739,22
2020-04-19,Florida,26306,773,822,26
2020-04-20,Florida,27050,822,744,49
2020-04-21,Florida,27861,866,811,44
2020-04-22,Florida,28301,926,440,60
2020-04-23,Florida,29640,986,1339,60
2020-04-24,Florida,30525,1045,885,59
2020-04-25,Florida,30831,1054,306,9
2020-04-26,Florida,31520,1073,689,19
2020-04-27,Florida,32130,1087,610,14
2020-04-28,Florida,32838,1170,708,83
2020-04-29,Florida,33185,1216,347,46
2020-04-30,Florida,33683,1267,498,51
2020-05-01,Florida,34720,1313,1037,46
2020-05-02,Florida,35455,1363,735,50
2020-05-03,Florida,36070,1378,615,15
2020-05-04,Florida,36889,1398,819,20
2020-05-05,Florida,37431,1470,542,72
2020-05-06,Florida,37994,1538,563,68
2020-05-07,Florida,38820,1599,826,61
2020-05-08,Florida,39191,1668,371,69
2020-05-09,Florida,39993,1714,802,46
2020-05-10,Florida,40588,1720,595,6
2020-05-11,Florida,40974,1734,386,14
2020-05-12,Florida,41915,1778,941,44
2020-05-13,Florida,42394,1826,479,48
2020-05-14,Florida,43202,1874,808,48
2020-05-15,Florida,44130,1916,928,42
2020-05-16,Florida,44803,1963,673,47
2020-05-17,Florida,45580,1972,777,9
2020-05-18,Florida,46434,1996,854,24
2020-05-19,Florida,46936,2051,502,55
2020-05-20,Florida,47463,2095,527,44
2020-05-21,Florida,48667,2143,1204,48
2020-05-22,Florida,49443,2189,776,46
2020-05-23,Florida,50119,2232,676,43
2020-05-24,Florida,50859,2236,740,4
2020-05-25,Florida,51738,2251,879,15
2020-05-26,Florida,52247,2258,509,7
2020-05-27,Florida,52626,2318,379,60
2020-05-28,Florida,53277,2363,651,45
2020-05-29,Florida,54489,2412,1212,49
2020-05-30,Florida,55416,2446,927,34
2020-05-31,Florida,56155,2450,739,4
2020-06-01,Florida,56822,2459,667,9
2020-06-02,Florida,57439,2529,617,70
2020-06-03,Florida,58756,2565,1317,36
2020-06-04,Florida,60175,2606,1419,41
2020-06-05,Florida,61480,2659,1305,53
2020-06-06,Florida,62750,2687,1270,28
2020-06-07,Florida,63930,2699,1180,12
2020-06-08,Florida,64896,2711,966,12
2020-06-09,Florida,65992,2764,1096,53
2020-06-10,Florida,67363,2800,1371,36
2020-06-11,Florida,69061,2847,1698,47
2020-06-12,Florida,70963,2876,1902,29
2020-06-13,Florida,73544,2924,2581,48
2020-06-14,Florida,75560,2930,2016,6
2020-06-15,Florida,77318,2937,1758,7
2020-06-16,Florida,80101,2992,2783,55
2020-06-17,Florida,82711,3017,2610,25
2020-06-18,Florida,85918,3060,3207,43
2020-06-19,Florida,89740,3103,3822,43
2020-06-20,Florida,93789,3143,4049,40
2020-06-21,Florida,97283,3160,3494,17
2020-06-22,Florida,100209,3172,2926,12
2020-06-23,Florida,103495,3237,3286,65
2020-06-24,Florida,109006,3280,5511,43
2020-06-25,Florida,114010,3326,5004,46
2020-06-26,Florida,122952,3365,8942,39
2020-06-27,Florida,132537,3389,9585,24
2020-06-28,Florida,141067,3418,8530,29
2020-06-29,Florida,146333,3446,5266,28
2020-06-30,Florida,152426,3504,6093,58
2020-07-01,Florida,158989,3549,6563,45
2020-07-02,Florida,169098,3616,10109,67
2020-07-03,Florida,178586,3683,9488,67
2020-07-04,Florida,190044,3701,11458,18
2020-07-05,Florida,200103,3730,10059,29
2020-07-06,Florida,206439,3777,6336,47
2020-07-07,Florida,213786,3840,7347,63
2020-07-08,Florida,223775,3888,9989,48
2020-07-09,Florida,232710,4008,8935,120
