date,state,total cases,total deaths,new cases,new deaths
2020-03-02,Georgia,2,0,2,0
2020-03-03,Georgia,2,0,0,0
2020-03-04,Georgia,2,0,0,0
2020-03-05,Georgia,2,0,0,0
2020-03-06,Georgia,3,0,1,0
2020-03-07,Georgia,7,0,4,0
2020-03-08,Georgia,11,0,4,0
2020-03-09,Georgia,17,0,6,0
2020-03-10,Georgia,22,0,5,0
2020-03-11,Georgia,31,0,9,0
2020-03-12,Georgia,31,1,0,1
2020-03-13,Georgia,41,1,10,0
2020-03-14,Georgia,65,1,24,0
2020-03-15,Georgia,97,1,32,0
2020-03-16,Georgia,118,1,21,0
2020-03-17,Georgia,142,1,24,0
2020-03-18,Georgia,193,3,51,2
2020-03-19,Georgia,282,10,89,7
2020-03-20,Georgia,482,14,200,4
2020-03-21,Georgia,552,20,70,6
2020-03-22,Georgia,620,25,68,5
2020-03-23,Georgia,800,25,180,0
2020-03-24,Georgia,1095,38,295,13
2020-03-25,Georgia,1385,47,290,9
2020-03-26,Georgia,1641,56,256,9
2020-03-27,Georgia,2198,64,557,8
2020-03-28,Georgia,2447,79,249,15
2020-03-29,Georgia,2683,83,236,4
2020-03-30,Georgia,3032,103,349,20
2020-03-31,Georgia,4116,126,1084,23
2020-04-01,Georgia,4747,154,631,28
2020-04-02,Georgia,5444,176,697,22
2020-04-03,Georgia,5967,198,523,22
2020-04-04,Georgia,6383,208,416,10
2020-04-05,Georgia,6742,219,359,11
2020-04-06,Georgia,7558,294,816,75
2020-04-07,Georgia,9156,348,1598,54
2020-04-08,Georgia,10204,370,1048,22
2020-04-09,Georgia,10885,412,681,42
2020-04-10,Georgia,11859,425,974,13
2020-04-11,Georgia,12261,432,402,7
2020-04-12,Georgia,12103,438,0,6
2020-04-13,Georgia,13125,479,1022,41
2020-04-14,Georgia,13913,517,788,38
2020-04-15,Georgia,14583,569,670,52
2020-04-16,Georgia,15644,611,1061,42
2020-04-17,Georgia,16658,661,1014,50
2020-04-18,Georgia,17014,670,356,9
2020-04-19,Georgia,17619,682,605,12
2020-04-20,Georgia,18447,767,828,85
2020-04-21,Georgia,19189,810,742,43
2020-04-22,Georgia,20099,837,910,27
2020-04-23,Georgia,20905,871,806,34
2020-04-24,Georgia,21575,889,670,18
2020-04-25,Georgia,22225,897,650,8
2020-04-26,Georgia,22459,907,234,10
2020-04-27,Georgia,23229,981,770,74
2020-04-28,Georgia,23607,1022,378,41
2020-04-29,Georgia,24300,1086,693,64
2020-04-30,Georgia,25431,1121,1131,35
2020-05-01,Georgia,26436,1153,1005,32
2020-05-02,Georgia,27268,1161,832,8
2020-05-03,Georgia,27618,1168,350,7
2020-05-04,Georgia,28350,1228,732,60
2020-05-05,Georgia,28876,1277,526,49
2020-05-06,Georgia,29724,1309,848,32
2020-05-07,Georgia,30524,1332,800,23
2020-05-08,Georgia,31089,1378,565,46
2020-05-09,Georgia,31481,1380,392,2
2020-05-10,Georgia,32267,1383,786,3
2020-05-11,Georgia,32448,1420,181,37
2020-05-12,Georgia,33311,1470,863,50
2020-05-13,Georgia,33866,1494,555,24
2020-05-14,Georgia,34422,1521,556,27
2020-05-15,Georgia,35242,1563,820,42
2020-05-16,Georgia,35655,1573,413,10
2020-05-17,Georgia,35954,1584,299,11
2020-05-18,Georgia,36634,1624,680,40
2020-05-19,Georgia,37214,1650,580,26
2020-05-20,Georgia,38162,1672,948,22
2020-05-21,Georgia,38969,1749,807,77
2020-05-22,Georgia,39734,1779,765,30
2020-05-23,Georgia,40408,1794,674,15
2020-05-24,Georgia,40989,1799,581,5
2020-05-25,Georgia,41414,1820,425,21
2020-05-26,Georgia,42066,1867,652,47
2020-05-27,Georgia,42713,1904,647,37
2020-05-28,Georgia,43363,1942,650,38
2020-05-29,Georgia,43888,1953,525,11
2020-05-30,Georgia,44336,1973,448,20
2020-05-31,Georgia,45051,2019,715,46
2020-06-01,Georgia,45757,2057,706,38
2020-06-02,Georgia,46063,2070,306,13
2020-06-03,Georgia,46711,2092,648,22
2020-06-04,Georgia,47528,2116,817,24
2020-06-05,Georgia,48280,2143,752,27
2020-06-06,Georgia,48943,2147,663,4
2020-06-07,Georgia,49371,2148,428,1
2020-06-08,Georgia,49995,2176,624,28
2020-06-09,Georgia,50769,2250,774,74
2020-06-10,Georgia,51465,2292,696,42
2020-06-11,Georgia,52332,2337,867,45
2020-06-12,Georgia,53201,2384,869,47
2020-06-13,Georgia,54178,2411,977,27
2020-06-14,Georgia,54874,2416,696,5
2020-06-15,Georgia,55505,2457,631,41
2020-06-16,Georgia,56302,2492,797,35
2020-06-17,Georgia,57217,2536,915,44
2020-06-18,Georgia,58040,2565,823,29
2020-06-19,Georgia,59117,2596,1077,31
2020-06-20,Georgia,60669,2602,1552,6
2020-06-21,Georgia,61493,2603,824,1
2020-06-22,Georgia,62705,2607,1212,4
