date,state,total cases,total deaths,new cases,new deaths
2020-03-15,Guam,3,0,3,0
2020-03-16,Guam,3,0,0,0
2020-03-17,Guam,3,0,0,0
2020-03-18,Guam,8,0,5,0
2020-03-19,Guam,12,0,4,0
2020-03-20,Guam,14,0,2,0
2020-03-21,Guam,15,0,1,0
2020-03-22,Guam,27,1,12,1
2020-03-23,Guam,29,1,2,0
2020-03-24,Guam,32,1,3,0
2020-03-25,Guam,32,1,0,0
2020-03-26,Guam,49,1,17,0
2020-03-27,Guam,53,1,4,0
2020-03-28,Guam,57,1,4,0
2020-03-29,Guam,58,1,1,0
2020-03-30,Guam,60,1,2,0
2020-03-31,Guam,139,2,79,1
2020-04-01,Guam,147,3,8,1
2020-04-02,Guam,152,3,5,0
2020-04-03,Guam,154,4,2,1
2020-04-04,Guam,223,4,69,0
2020-04-05,Guam,265,4,42,0
2020-04-06,Guam,266,4,1,0
2020-04-07,Guam,274,4,8,0
2020-04-08,Guam,409,4,135,0
2020-04-09,Guam,542,4,133,0
2020-04-10,Guam,577,4,35,0
2020-04-11,Guam,681,5,104,1
2020-04-12,Guam,716,5,35,0
2020-04-13,Guam,719,6,3,1
2020-04-14,Guam,721,6,2,0
2020-04-15,Guam,750,6,29,0
2020-04-16,Guam,790,6,40,0
2020-04-17,Guam,796,6,6,0
2020-04-18,Guam,805,6,9,0
2020-04-19,Guam,808,6,3,0
2020-04-20,Guam,811,6,3,0
2020-04-21,Guam,852,6,41,0
2020-04-22,Guam,911,6,59,0
2020-04-23,Guam,979,6,68,0
2020-04-24,Guam,997,6,18,0
2020-04-25,Guam,997,6,0,0
2020-04-26,Guam,997,6,0,0
2020-04-27,Guam,1113,6,116,0
2020-04-28,Guam,1114,6,1,0
2020-04-29,Guam,1114,6,0,0
2020-04-30,Guam,1115,6,1,0
2020-05-01,Guam,1115,6,0,0
2020-05-02,Guam,1117,6,2,0
2020-05-03,Guam,1118,6,1,0
2020-05-04,Guam,1118,6,0,0
2020-05-05,Guam,1118,6,0,0
2020-05-06,Guam,1118,6,0,0
2020-05-07,Guam,1118,6,0,0
2020-05-08,Guam,1120,6,2,0
2020-05-09,Guam,1120,6,0,0
2020-05-10,Guam,1120,6,0,0
2020-05-11,Guam,1120,6,0,0
