date,state,total cases,total deaths,new cases,new deaths
2020-03-06,Hawaii,1,0,1,0
2020-03-07,Hawaii,1,0,0,0
2020-03-08,Hawaii,2,0,1,0
2020-03-09,Hawaii,2,0,0,0
2020-03-10,Hawaii,2,0,0,0
2020-03-11,Hawaii,2,0,0,0
2020-03-12,Hawaii,2,0,0,0
2020-03-13,Hawaii,2,0,0,0
2020-03-14,Hawaii,4,0,2,0
2020-03-15,Hawaii,7,0,3,0
2020-03-16,Hawaii,10,0,3,0
2020-03-17,Hawaii,14,0,4,0
2020-03-18,Hawaii,16,0,2,0
2020-03-19,Hawaii,26,0,10,0
2020-03-20,Hawaii,37,0,11,0
2020-03-21,Hawaii,48,0,11,0
2020-03-22,Hawaii,56,0,8,0
2020-03-23,Hawaii,77,0,21,0
2020-03-24,Hawaii,90,0,13,0
2020-03-25,Hawaii,95,0,5,0
2020-03-26,Hawaii,106,0,11,0
2020-03-27,Hawaii,120,0,14,0
2020-03-28,Hawaii,151,0,31,0
2020-03-29,Hawaii,175,0,24,0
2020-03-30,Hawaii,204,0,29,0
2020-03-31,Hawaii,224,1,20,1
2020-04-01,Hawaii,258,1,34,0
2020-04-02,Hawaii,283,2,25,1
2020-04-03,Hawaii,317,3,34,1
2020-04-04,Hawaii,349,3,32,0
2020-04-05,Hawaii,369,4,20,1
2020-04-06,Hawaii,385,5,16,1
2020-04-07,Hawaii,408,5,23,0
2020-04-08,Hawaii,433,5,25,0
2020-04-09,Hawaii,440,6,7,1
2020-04-10,Hawaii,463,8,23,2
2020-04-11,Hawaii,484,8,21,0
2020-04-12,Hawaii,497,9,13,1
2020-04-13,Hawaii,502,9,5,0
2020-04-14,Hawaii,511,9,9,0
2020-04-15,Hawaii,524,9,13,0
2020-04-16,Hawaii,535,9,11,0
2020-04-17,Hawaii,547,9,12,0
2020-04-18,Hawaii,568,9,21,0
2020-04-19,Hawaii,574,10,6,1
2020-04-20,Hawaii,578,10,4,0
2020-04-21,Hawaii,580,12,2,2
2020-04-22,Hawaii,586,12,6,0
2020-04-23,Hawaii,590,12,4,0
2020-04-24,Hawaii,595,13,5,1
2020-04-25,Hawaii,597,14,2,1
2020-04-26,Hawaii,599,14,2,0
2020-04-27,Hawaii,600,16,1,2
2020-04-28,Hawaii,602,16,2,0
2020-04-29,Hawaii,605,16,3,0
2020-04-30,Hawaii,609,16,4,0
2020-05-01,Hawaii,610,16,1,0
2020-05-02,Hawaii,611,16,1,0
2020-05-03,Hawaii,611,17,0,1
