date,state,total cases,total deaths,new cases,new deaths
2020-01-24,Illinois,1,0,1,0
2020-01-25,Illinois,1,0,0,0
2020-01-26,Illinois,1,0,0,0
2020-01-27,Illinois,1,0,0,0
2020-01-28,Illinois,1,0,0,0
2020-01-29,Illinois,1,0,0,0
2020-01-30,Illinois,2,0,1,0
2020-01-31,Illinois,2,0,0,0
2020-02-01,Illinois,2,0,0,0
2020-02-02,Illinois,2,0,0,0
2020-02-03,Illinois,2,0,0,0
2020-02-04,Illinois,2,0,0,0
2020-02-05,Illinois,2,0,0,0
2020-02-06,Illinois,2,0,0,0
2020-02-07,Illinois,2,0,0,0
2020-02-08,Illinois,2,0,0,0
2020-02-09,Illinois,2,0,0,0
2020-02-10,Illinois,2,0,0,0
2020-02-11,Illinois,2,0,0,0
2020-02-12,Illinois,2,0,0,0
2020-02-13,Illinois,2,0,0,0
2020-02-14,Illinois,2,0,0,0
2020-02-15,Illinois,2,0,0,0
2020-02-16,Illinois,2,0,0,0
2020-02-17,Illinois,2,0,0,0
2020-02-18,Illinois,2,0,0,0
2020-02-19,Illinois,2,0,0,0
2020-02-20,Illinois,2,0,0,0
2020-02-21,Illinois,2,0,0,0
2020-02-22,Illinois,2,0,0,0
2020-02-23,Illinois,2,0,0,0
2020-02-24,Illinois,2,0,0,0
2020-02-25,Illinois,2,0,0,0
2020-02-26,Illinois,2,0,0,0
2020-02-27,Illinois,2,0,0,0
2020-02-28,Illinois,2,0,0,0
2020-02-29,Illinois,3,0,1,0
2020-03-01,Illinois,3,0,0,0
2020-03-02,Illinois,4,0,1,0
2020-03-03,Illinois,4,0,0,0
2020-03-04,Illinois,4,0,0,0
2020-03-05,Illinois,5,0,1,0
2020-03-06,Illinois,6,0,1,0
2020-03-07,Illinois,6,0,0,0
2020-03-08,Illinois,7,0,1,0
2020-03-09,Illinois,11,0,4,0
2020-03-10,Illinois,19,0,8,0
2020-03-11,Illinois,25,0,6,0
2020-03-12,Illinois,32,0,7,0
2020-03-13,Illinois,46,0,14,0
2020-03-14,Illinois,66,0,20,0
2020-03-15,Illinois,94,0,28,0
2020-03-16,Illinois,104,0,10,0
2020-03-17,Illinois,159,1,55,1
2020-03-18,Illinois,286,1,127,0
2020-03-19,Illinois,420,4,134,3
2020-03-20,Illinois,583,5,163,1
2020-03-21,Illinois,751,6,168,1
2020-03-22,Illinois,1047,9,296,3
2020-03-23,Illinois,1285,12,238,3
2020-03-24,Illinois,1535,16,250,4
2020-03-25,Illinois,1874,21,339,5
2020-03-26,Illinois,2538,26,664,5
2020-03-27,Illinois,3029,37,491,11
2020-03-28,Illinois,3547,50,518,13
2020-03-29,Illinois,4615,71,1068,21
2020-03-30,Illinois,5070,84,455,13
2020-03-31,Illinois,5992,107,922,23
2020-04-01,Illinois,6978,146,986,39
2020-04-02,Illinois,7695,165,717,19
2020-04-03,Illinois,8904,212,1209,47
2020-04-04,Illinois,10357,248,1453,36
2020-04-05,Illinois,11276,283,919,35
2020-04-06,Illinois,12262,309,986,26
2020-04-07,Illinois,13549,384,1287,75
2020-04-08,Illinois,15078,464,1529,80
2020-04-09,Illinois,16422,534,1344,70
2020-04-10,Illinois,17887,607,1465,73
2020-04-11,Illinois,19180,682,1293,75
2020-04-12,Illinois,20852,727,1672,45
2020-04-13,Illinois,22025,800,1173,73
2020-04-14,Illinois,23247,878,1222,78
2020-04-15,Illinois,24593,958,1346,80
2020-04-16,Illinois,25734,1081,1141,123
2020-04-17,Illinois,27575,1142,1841,61
2020-04-18,Illinois,29160,1272,1585,130
2020-04-19,Illinois,30357,1302,1197,30
2020-04-20,Illinois,31508,1359,1151,57
2020-04-21,Illinois,33059,1479,1551,120
2020-04-22,Illinois,35108,1577,2049,98
2020-04-23,Illinois,36935,1696,1827,119
2020-04-24,Illinois,39658,1804,2723,108
2020-04-25,Illinois,41777,1884,2119,80
2020-04-26,Illinois,43903,1943,2126,59
2020-04-27,Illinois,45883,1992,1980,49
2020-04-28,Illinois,48102,2132,2219,140
2020-04-29,Illinois,50355,2221,2253,89
2020-04-30,Illinois,52918,2361,2563,140
2020-05-01,Illinois,56055,2464,3137,103
2020-05-02,Illinois,58505,2576,2450,112
2020-05-03,Illinois,61499,2632,2994,56
2020-05-04,Illinois,63840,2673,2341,41
2020-05-05,Illinois,65889,2843,2049,170
2020-05-06,Illinois,68164,2977,2275,134
2020-05-07,Illinois,70802,3139,2638,162
2020-05-08,Illinois,73688,3262,2886,123
2020-05-09,Illinois,76008,3362,2320,100
2020-05-10,Illinois,77662,3426,1654,64
2020-05-11,Illinois,79123,3480,1461,54
2020-05-12,Illinois,83168,3617,4045,137
2020-05-13,Illinois,84874,3815,1706,198
2020-05-14,Illinois,88081,3945,3207,130
2020-05-15,Illinois,90528,4075,2447,130
2020-05-16,Illinois,92669,4149,2141,74
2020-05-17,Illinois,94360,4198,1691,49
2020-05-18,Illinois,96778,4257,2418,59
2020-05-19,Illinois,98298,4399,1520,142
2020-05-20,Illinois,100713,4547,2415,148
2020-05-21,Illinois,102995,4634,2282,87
2020-05-22,Illinois,105710,4740,2715,106
2020-05-23,Illinois,108100,4817,2390,77
2020-05-24,Illinois,110541,4884,2441,67
2020-05-25,Illinois,112248,4912,1707,28
2020-05-26,Illinois,113486,4960,1238,48
2020-05-27,Illinois,114612,5118,1126,158
2020-05-28,Illinois,116128,5225,1516,107
2020-05-29,Illinois,117794,5308,1666,83
2020-05-30,Illinois,119290,5368,1496,60
2020-05-31,Illinois,120588,5426,1298,58
2020-06-01,Illinois,121666,5458,1078,32
2020-06-02,Illinois,123244,5567,1578,109
2020-06-03,Illinois,124279,5665,1035,98
2020-06-04,Illinois,125149,5772,870,107
2020-06-05,Illinois,126317,5834,1168,62
2020-06-06,Illinois,127251,5898,934,64
2020-06-07,Illinois,128070,5939,819,41
2020-06-08,Illinois,129543,6142,1473,203
2020-06-09,Illinois,130321,6237,778,95
2020-06-10,Illinois,130889,6302,568,65
2020-06-11,Illinois,131731,6388,842,86
2020-06-12,Illinois,132489,6469,758,81
2020-06-13,Illinois,133117,6491,628,22
2020-06-14,Illinois,133719,6512,602,21
2020-06-15,Illinois,134247,6543,528,31
2020-06-16,Illinois,134866,6608,619,65
2020-06-17,Illinois,135416,6687,550,79
2020-06-18,Illinois,136081,6737,665,50
2020-06-19,Illinois,136917,6801,836,64
2020-06-20,Illinois,137535,6846,618,45
2020-06-21,Illinois,138154,6865,619,19
2020-06-22,Illinois,138615,6889,461,24
2020-06-23,Illinois,139282,6925,667,36
2020-06-24,Illinois,140025,6986,743,61
2020-06-25,Illinois,140935,7024,910,38
2020-06-26,Illinois,141812,7059,877,35
2020-06-27,Illinois,142536,7083,724,24
2020-06-28,Illinois,143117,7098,581,15
2020-06-29,Illinois,143885,7115,768,17
2020-06-30,Illinois,144661,7136,776,21
2020-07-01,Illinois,145541,7160,880,24
2020-07-02,Illinois,146407,7197,866,37
2020-07-03,Illinois,147293,7222,886,25
2020-07-04,Illinois,148151,7234,858,12
2020-07-05,Illinois,148730,7241,579,7
2020-07-06,Illinois,149428,7250,698,9
2020-07-07,Illinois,150110,7281,682,31
2020-07-08,Illinois,151055,7315,945,34
2020-07-09,Illinois,152188,7333,1133,18
