date,state,total cases,total deaths,new cases,new deaths
2020-03-08,Iowa,3,0,3,0
2020-03-09,Iowa,8,0,5,0
2020-03-10,Iowa,13,0,5,0
2020-03-11,Iowa,14,0,1,0
2020-03-12,Iowa,16,0,2,0
2020-03-13,Iowa,17,0,1,0
2020-03-14,Iowa,18,0,1,0
2020-03-15,Iowa,22,0,4,0
2020-03-16,Iowa,22,0,0,0
2020-03-17,Iowa,29,0,7,0
2020-03-18,Iowa,38,0,9,0
2020-03-19,Iowa,44,0,6,0
2020-03-20,Iowa,45,0,1,0
2020-03-21,Iowa,68,0,23,0
2020-03-22,Iowa,90,0,22,0
2020-03-23,Iowa,105,0,15,0
2020-03-24,Iowa,124,1,19,1
2020-03-25,Iowa,147,1,23,0
2020-03-26,Iowa,179,1,32,0
2020-03-27,Iowa,236,3,57,2
2020-03-28,Iowa,298,3,62,0
2020-03-29,Iowa,336,4,38,1
2020-03-30,Iowa,424,6,88,2
2020-03-31,Iowa,498,7,74,1
2020-04-01,Iowa,549,9,51,2
2020-04-02,Iowa,614,11,65,2
2020-04-03,Iowa,699,11,85,0
2020-04-04,Iowa,786,11,87,0
2020-04-05,Iowa,868,22,82,11
2020-04-06,Iowa,946,25,78,3
2020-04-07,Iowa,1048,26,102,1
2020-04-08,Iowa,1145,27,97,1
2020-04-09,Iowa,1270,27,125,0
2020-04-10,Iowa,1388,31,118,4
2020-04-11,Iowa,1510,34,122,3
2020-04-12,Iowa,1587,41,77,7
2020-04-13,Iowa,1710,44,123,3
2020-04-14,Iowa,1899,44,189,0
2020-04-15,Iowa,1995,53,96,9
2020-04-16,Iowa,2141,60,146,7
2020-04-17,Iowa,2332,64,191,4
2020-04-18,Iowa,2513,74,181,10
2020-04-19,Iowa,2915,75,402,1
2020-04-20,Iowa,3175,79,260,4
2020-04-21,Iowa,3641,83,466,4
2020-04-22,Iowa,3764,90,123,7
2020-04-23,Iowa,3939,96,175,6
2020-04-24,Iowa,4459,107,520,11
2020-04-25,Iowa,5109,112,650,5
2020-04-26,Iowa,5490,118,381,6
2020-04-27,Iowa,5868,127,378,9
2020-04-28,Iowa,6376,136,508,9
2020-04-29,Iowa,6843,148,467,12
2020-04-30,Iowa,7145,162,302,14
2020-05-01,Iowa,7883,170,738,8
2020-05-02,Iowa,8641,175,758,5
2020-05-03,Iowa,9169,184,528,9
2020-05-04,Iowa,9703,188,534,4
2020-05-05,Iowa,10111,207,408,19
2020-05-06,Iowa,10404,219,293,12
2020-05-07,Iowa,11059,231,655,12
2020-05-08,Iowa,11457,243,398,12
2020-05-09,Iowa,11671,252,214,9
2020-05-10,Iowa,11959,265,288,13
2020-05-11,Iowa,12373,271,414,6
2020-05-12,Iowa,12912,289,539,18
2020-05-13,Iowa,13289,306,377,17
2020-05-14,Iowa,13675,318,386,12
2020-05-15,Iowa,14049,336,374,18
2020-05-16,Iowa,14328,346,279,10
2020-05-17,Iowa,14651,351,323,5
2020-05-18,Iowa,14955,355,304,4
2020-05-19,Iowa,15296,367,341,12
2020-05-20,Iowa,15868,400,572,33
2020-05-21,Iowa,16170,414,302,14
2020-05-22,Iowa,16510,441,340,27
2020-05-23,Iowa,16898,446,388,5
2020-05-24,Iowa,17434,456,536,10
2020-05-25,Iowa,17628,460,194,4
2020-05-26,Iowa,17999,480,371,20
2020-05-27,Iowa,18446,496,447,16
2020-05-28,Iowa,18672,510,226,14
2020-05-29,Iowa,19019,525,347,15
2020-05-30,Iowa,19336,531,317,6
2020-05-31,Iowa,19621,537,285,6
2020-06-01,Iowa,19789,558,168,21
2020-06-02,Iowa,20017,564,228,6
2020-06-03,Iowa,20376,574,359,10
2020-06-04,Iowa,20943,590,567,16
2020-06-05,Iowa,21332,597,389,7
2020-06-06,Iowa,21527,602,195,5
2020-06-07,Iowa,21794,606,267,4
2020-06-08,Iowa,22111,623,317,17
2020-06-09,Iowa,22271,629,160,6
2020-06-10,Iowa,22733,638,462,9
2020-06-11,Iowa,23103,641,370,3
2020-06-12,Iowa,23455,650,352,9
2020-06-13,Iowa,23792,651,337,1
2020-06-14,Iowa,23959,652,167,1
2020-06-15,Iowa,24110,661,151,9
2020-06-16,Iowa,24263,670,153,9
2020-06-17,Iowa,24616,677,353,7
2020-06-18,Iowa,24959,680,343,3
2020-06-19,Iowa,25424,681,465,1
2020-06-20,Iowa,25552,685,128,4
2020-06-21,Iowa,26020,686,468,1
2020-06-22,Iowa,26217,687,197,1
2020-06-23,Iowa,26470,690,253,3
2020-06-24,Iowa,26897,694,427,4
