date,state,total cases,total deaths,new cases,new deaths
2020-03-06,Kentucky,1,0,1,0
2020-03-07,Kentucky,1,0,0,0
2020-03-08,Kentucky,4,0,3,0
2020-03-09,Kentucky,5,0,1,0
2020-03-10,Kentucky,7,0,2,0
2020-03-11,Kentucky,7,0,0,0
2020-03-12,Kentucky,11,0,4,0
2020-03-13,Kentucky,11,0,0,0
2020-03-14,Kentucky,18,0,7,0
2020-03-15,Kentucky,21,0,3,0
2020-03-16,Kentucky,22,1,1,1
2020-03-17,Kentucky,26,1,4,0
2020-03-18,Kentucky,35,1,9,0
2020-03-19,Kentucky,47,2,12,1
2020-03-20,Kentucky,63,2,16,0
2020-03-21,Kentucky,84,3,21,1
2020-03-22,Kentucky,103,3,19,0
2020-03-23,Kentucky,124,3,21,0
2020-03-24,Kentucky,157,3,33,0
2020-03-25,Kentucky,198,5,41,2
2020-03-26,Kentucky,248,5,50,0
2020-03-27,Kentucky,302,8,54,3
2020-03-28,Kentucky,394,9,92,1
2020-03-29,Kentucky,439,9,45,0
2020-03-30,Kentucky,480,11,41,2
2020-03-31,Kentucky,590,18,110,7
2020-04-01,Kentucky,674,20,84,2
2020-04-02,Kentucky,747,34,73,14
2020-04-03,Kentucky,762,34,15,0
2020-04-04,Kentucky,909,40,147,6
2020-04-05,Kentucky,1048,44,139,4
2020-04-06,Kentucky,1057,52,9,8
2020-04-07,Kentucky,1289,66,232,14
2020-04-08,Kentucky,1393,73,104,7
2020-04-09,Kentucky,1525,84,132,11
2020-04-10,Kentucky,1702,90,177,6
2020-04-11,Kentucky,1851,94,149,4
2020-04-12,Kentucky,1963,98,112,4
2020-04-13,Kentucky,2048,106,85,8
2020-04-14,Kentucky,2210,115,162,9
2020-04-15,Kentucky,2295,124,85,9
2020-04-16,Kentucky,2429,131,134,7
2020-04-17,Kentucky,2522,140,93,9
2020-04-18,Kentucky,2707,145,185,5
2020-04-19,Kentucky,2960,149,253,4
2020-04-20,Kentucky,3050,155,90,6
2020-04-21,Kentucky,3193,172,143,17
2020-04-22,Kentucky,3373,185,180,13
2020-04-23,Kentucky,3548,194,175,9
2020-04-24,Kentucky,3779,203,231,9
2020-04-25,Kentucky,3905,208,126,5
2020-04-26,Kentucky,4074,211,169,3
2020-04-27,Kentucky,4146,216,72,5
2020-04-28,Kentucky,4375,231,229,15
2020-04-29,Kentucky,4538,235,163,4
2020-04-30,Kentucky,4708,240,170,5
2020-05-01,Kentucky,4879,248,171,8
2020-05-02,Kentucky,4881,252,2,4
2020-05-03,Kentucky,5223,256,342,4
2020-05-04,Kentucky,5370,267,147,11
2020-05-05,Kentucky,5822,278,452,11
2020-05-06,Kentucky,5946,286,124,8
