date,state,total cases,total deaths,new cases,new deaths
2020-03-09,Louisiana,1,0,1,0
2020-03-10,Louisiana,6,0,5,0
2020-03-11,Louisiana,13,0,7,0
2020-03-12,Louisiana,14,0,1,0
2020-03-13,Louisiana,36,0,22,0
2020-03-14,Louisiana,77,1,41,1
2020-03-15,Louisiana,103,2,26,1
2020-03-16,Louisiana,137,3,34,1
2020-03-17,Louisiana,196,5,59,2
2020-03-18,Louisiana,280,7,84,2
2020-03-19,Louisiana,392,10,112,3
2020-03-20,Louisiana,537,10,145,0
2020-03-21,Louisiana,763,16,226,6
2020-03-22,Louisiana,837,20,74,4
2020-03-23,Louisiana,1172,34,335,14
2020-03-24,Louisiana,1388,46,216,12
2020-03-25,Louisiana,1795,65,407,19
2020-03-26,Louisiana,2305,83,510,18
2020-03-27,Louisiana,2746,119,441,36
2020-03-28,Louisiana,3315,137,569,18
2020-03-29,Louisiana,3539,153,224,16
2020-03-30,Louisiana,4024,186,485,33
2020-03-31,Louisiana,5237,240,1213,54
2020-04-01,Louisiana,6424,275,1187,35
2020-04-02,Louisiana,9152,310,2728,35
2020-04-03,Louisiana,10299,370,1147,60
2020-04-04,Louisiana,12500,412,2201,42
2020-04-05,Louisiana,13014,477,514,65
2020-04-06,Louisiana,14867,512,1853,35
2020-04-07,Louisiana,16284,582,1417,70
2020-04-08,Louisiana,17030,652,746,70
2020-04-09,Louisiana,18283,702,1253,50
2020-04-10,Louisiana,19253,755,970,53
2020-04-11,Louisiana,20014,806,761,51
2020-04-12,Louisiana,20595,840,581,34
2020-04-13,Louisiana,21016,884,421,44
2020-04-14,Louisiana,21518,1013,502,129
2020-04-15,Louisiana,21951,1103,433,90
2020-04-16,Louisiana,22532,1156,581,53
2020-04-17,Louisiana,23118,1213,586,57
2020-04-18,Louisiana,23580,1267,462,54
2020-04-19,Louisiana,23928,1296,348,29
2020-04-20,Louisiana,24523,1328,595,32
2020-04-21,Louisiana,24854,1405,331,77
2020-04-22,Louisiana,25317,1532,463,127
2020-04-23,Louisiana,25798,1599,481,67
2020-04-24,Louisiana,26199,1660,401,61
2020-04-25,Louisiana,26571,1703,372,43
2020-04-26,Louisiana,26832,1729,261,26
2020-04-27,Louisiana,27111,1740,279,11
2020-04-28,Louisiana,27329,1801,218,61
2020-04-29,Louisiana,27703,1845,374,44
2020-04-30,Louisiana,28044,1905,341,60
2020-05-01,Louisiana,28754,1970,710,65
2020-05-02,Louisiana,29183,1993,429,23
2020-05-03,Louisiana,29383,2012,200,19
