date,state,total cases,total deaths,new cases,new deaths
2020-03-12,Maine,1,0,1,0
2020-03-13,Maine,2,0,1,0
2020-03-14,Maine,3,0,1,0
2020-03-15,Maine,12,0,9,0
2020-03-16,Maine,17,0,5,0
2020-03-17,Maine,32,0,15,0
2020-03-18,Maine,43,0,11,0
2020-03-19,Maine,52,0,9,0
2020-03-20,Maine,57,0,5,0
2020-03-21,Maine,70,0,13,0
2020-03-22,Maine,89,0,19,0
2020-03-23,Maine,107,0,18,0
2020-03-24,Maine,118,0,11,0
2020-03-25,Maine,142,0,24,0
2020-03-26,Maine,155,0,13,0
2020-03-27,Maine,168,1,13,1
2020-03-28,Maine,211,1,43,0
2020-03-29,Maine,253,3,42,2
2020-03-30,Maine,275,3,22,0
2020-03-31,Maine,303,5,28,2
2020-04-01,Maine,344,7,41,2
2020-04-02,Maine,376,7,32,0
2020-04-03,Maine,432,9,56,2
2020-04-04,Maine,456,10,24,1
2020-04-05,Maine,470,10,14,0
2020-04-06,Maine,499,10,29,0
2020-04-07,Maine,519,12,20,2
2020-04-08,Maine,537,14,18,2
2020-04-09,Maine,560,16,23,2
2020-04-10,Maine,586,17,26,1
2020-04-11,Maine,616,19,30,2
2020-04-12,Maine,633,19,17,0
2020-04-13,Maine,698,19,65,0
2020-04-14,Maine,734,20,36,1
2020-04-15,Maine,770,24,36,4
2020-04-16,Maine,796,27,26,3
2020-04-17,Maine,827,29,31,2
2020-04-18,Maine,847,32,20,3
2020-04-19,Maine,867,34,20,2
2020-04-20,Maine,875,35,8,1
2020-04-21,Maine,888,36,13,1
2020-04-22,Maine,907,39,19,3
2020-04-23,Maine,937,44,30,5
2020-04-24,Maine,965,47,28,3
2020-04-25,Maine,990,50,25,3
2020-04-26,Maine,1015,50,25,0
2020-04-27,Maine,1023,51,8,1
2020-04-28,Maine,1040,51,17,0
2020-04-29,Maine,1056,52,16,1
2020-04-30,Maine,1095,53,39,1
2020-05-01,Maine,1123,55,28,2
2020-05-02,Maine,1152,56,29,1
2020-05-03,Maine,1185,57,33,1
2020-05-04,Maine,1205,57,20,0
2020-05-05,Maine,1226,61,21,4
2020-05-06,Maine,1254,62,28,1
2020-05-07,Maine,1330,62,76,0
2020-05-08,Maine,1374,63,44,1
2020-05-09,Maine,1408,64,34,1
2020-05-10,Maine,1436,64,28,0
2020-05-11,Maine,1462,65,26,1
2020-05-12,Maine,1477,65,15,0
2020-05-13,Maine,1515,66,38,1
2020-05-14,Maine,1565,69,50,3
2020-05-15,Maine,1603,69,38,0
2020-05-16,Maine,1648,70,45,1
2020-05-17,Maine,1687,70,39,0
2020-05-18,Maine,1713,71,26,1
2020-05-19,Maine,1741,73,28,2
2020-05-20,Maine,1819,73,78,0
2020-05-21,Maine,1877,73,58,0
2020-05-22,Maine,1948,75,71,2
2020-05-23,Maine,2013,77,65,2
