date,state,total cases,total deaths,new cases,new deaths
2020-03-05,Maryland,3,0,3,0
2020-03-06,Maryland,3,0,0,0
2020-03-07,Maryland,3,0,0,0
2020-03-08,Maryland,5,0,2,0
2020-03-09,Maryland,6,0,1,0
2020-03-10,Maryland,9,0,3,0
2020-03-11,Maryland,13,0,4,0
2020-03-12,Maryland,13,0,0,0
2020-03-13,Maryland,18,0,5,0
2020-03-14,Maryland,27,0,9,0
2020-03-15,Maryland,32,0,5,0
2020-03-16,Maryland,39,0,7,0
2020-03-17,Maryland,57,0,18,0
2020-03-18,Maryland,85,1,28,1
2020-03-19,Maryland,108,1,23,0
2020-03-20,Maryland,150,2,42,1
2020-03-21,Maryland,195,3,45,1
2020-03-22,Maryland,245,3,50,0
2020-03-23,Maryland,290,3,45,0
2020-03-24,Maryland,349,4,59,1
2020-03-25,Maryland,423,4,74,0
2020-03-26,Maryland,581,4,158,0
2020-03-27,Maryland,790,5,209,1
2020-03-28,Maryland,1066,10,276,5
2020-03-29,Maryland,1244,11,178,1
2020-03-30,Maryland,1415,15,171,4
2020-03-31,Maryland,1662,18,247,3
2020-04-01,Maryland,1985,33,323,15
2020-04-02,Maryland,2331,36,346,3
2020-04-03,Maryland,2758,42,427,6
2020-04-04,Maryland,3125,54,367,12
2020-04-05,Maryland,3609,68,484,14
2020-04-06,Maryland,4045,92,436,24
2020-04-07,Maryland,4371,104,326,12
2020-04-08,Maryland,5529,124,1158,20
2020-04-09,Maryland,6185,139,656,15
2020-04-10,Maryland,6968,172,783,33
2020-04-11,Maryland,7694,207,726,35
2020-04-12,Maryland,8225,236,531,29
2020-04-13,Maryland,8936,262,711,26
2020-04-14,Maryland,9472,302,536,40
2020-04-15,Maryland,10096,413,624,111
2020-04-16,Maryland,10851,459,755,46
2020-04-17,Maryland,11641,494,790,35
2020-04-18,Maryland,12379,534,738,40
2020-04-19,Maryland,12892,548,513,14
2020-04-20,Maryland,13750,582,858,34
2020-04-21,Maryland,14261,652,511,70
2020-04-22,Maryland,14842,698,581,46
2020-04-23,Maryland,15805,748,963,50
2020-04-24,Maryland,16693,798,888,50
2020-04-25,Maryland,17844,875,1151,77
2020-04-26,Maryland,18664,910,820,35
2020-04-27,Maryland,19574,945,910,35
2020-04-28,Maryland,20200,1016,626,71
2020-04-29,Maryland,20942,1078,742,62
2020-04-30,Maryland,21825,1139,883,61
2020-05-01,Maryland,23566,1192,1741,53
2020-05-02,Maryland,24568,1251,1002,59
2020-05-03,Maryland,25561,1281,993,30
2020-05-04,Maryland,26509,1317,948,36
2020-05-05,Maryland,27217,1390,708,73
2020-05-06,Maryland,28263,1443,1046,53
2020-05-07,Maryland,29476,1503,1213,60
2020-05-08,Maryland,30592,1560,1116,57
2020-05-09,Maryland,31638,1614,1046,54
2020-05-10,Maryland,32693,1644,1055,30
2020-05-11,Maryland,33483,1683,790,39
2020-05-12,Maryland,34174,1756,691,73
2020-05-13,Maryland,34927,1809,753,53
2020-05-14,Maryland,36021,1866,1094,57
2020-05-15,Maryland,37105,1911,1084,45
2020-05-16,Maryland,38083,1957,978,46
2020-05-17,Maryland,38920,1992,837,35
2020-05-18,Maryland,39882,2023,962,31
2020-05-19,Maryland,41664,2081,1782,58
2020-05-20,Maryland,42442,2123,778,42
2020-05-21,Maryland,43645,2159,1203,36
2020-05-22,Maryland,44539,2207,894,48
2020-05-23,Maryland,45608,2243,1069,36
2020-05-24,Maryland,46919,2277,1311,34
2020-05-25,Maryland,47754,2302,835,25
2020-05-26,Maryland,48290,2333,536,31
2020-05-27,Maryland,49042,2392,752,59
2020-05-28,Maryland,50334,2428,1292,36
2020-05-29,Maryland,51631,2466,1297,38
2020-05-30,Maryland,52662,2509,1031,43
2020-05-31,Maryland,53456,2532,794,23
2020-06-01,Maryland,54035,2552,579,20
2020-06-02,Maryland,54831,2597,796,45
2020-06-03,Maryland,55617,2641,786,44
2020-06-04,Maryland,56490,2668,873,27
2020-06-05,Maryland,57407,2702,917,34
2020-06-06,Maryland,58099,2740,692,38
2020-06-07,Maryland,58593,2749,494,9
2020-06-08,Maryland,59024,2776,431,27
2020-06-09,Maryland,59543,2811,519,35
2020-06-10,Maryland,60114,2844,571,33
2020-06-11,Maryland,60823,2875,709,31
2020-06-12,Maryland,61262,2900,439,25
2020-06-13,Maryland,61935,2926,673,26
2020-06-14,Maryland,62328,2939,393,13
2020-06-15,Maryland,62653,2947,325,8
2020-06-16,Maryland,63004,2982,351,35
2020-06-17,Maryland,63565,2996,561,14
2020-06-18,Maryland,63839,3016,274,20
2020-06-19,Maryland,64150,3030,311,14
2020-06-20,Maryland,64565,3052,415,22
2020-06-21,Maryland,64903,3066,338,14
2020-06-22,Maryland,65202,3074,299,8
2020-06-23,Maryland,65602,3092,400,18
2020-06-24,Maryland,65934,3108,332,16
2020-06-25,Maryland,66397,3129,463,21
2020-06-26,Maryland,66704,3142,307,13
2020-06-27,Maryland,67032,3157,328,15
2020-06-28,Maryland,67360,3168,328,11
2020-06-29,Maryland,67837,3175,477,7
2020-06-30,Maryland,68152,3190,315,15
2020-07-01,Maryland,68502,3205,350,15
2020-07-02,Maryland,69015,3212,513,7
2020-07-03,Maryland,69422,3223,407,11
2020-07-04,Maryland,69724,3236,302,13
2020-07-05,Maryland,69957,3243,233,7
2020-07-06,Maryland,70497,3246,540,3
2020-07-07,Maryland,70986,3266,489,20
2020-07-08,Maryland,71455,3275,469,9
2020-07-09,Maryland,72037,3288,582,13
2020-07-10,Maryland,72503,3303,466,15
2020-07-11,Maryland,73060,3310,557,7
2020-07-12,Maryland,73705,3319,645,9
2020-07-13,Maryland,74124,3325,419,6
2020-07-14,Maryland,74836,3334,712,9
2020-07-15,Maryland,75576,3341,740,7
2020-07-16,Maryland,76237,3347,661,6
2020-07-17,Maryland,76941,3359,704,12
2020-07-18,Maryland,77773,3368,832,9
2020-07-19,Maryland,78698,3377,925,9
2020-07-20,Maryland,79251,3382,553,5
2020-07-21,Maryland,80111,3402,860,20
2020-07-22,Maryland,80738,3405,627,3
2020-07-23,Maryland,81396,3409,658,4
2020-07-24,Maryland,82326,3422,930,13
2020-07-25,Maryland,83617,3433,1291,11
2020-07-26,Maryland,84306,3440,689,7
2020-07-27,Maryland,85436,3447,1130,7
2020-07-28,Maryland,86091,3458,655,11
2020-07-29,Maryland,86846,3478,755,20
2020-07-30,Maryland,87740,3488,894,10
2020-07-31,Maryland,88907,3493,1167,5
2020-08-01,Maryland,89925,3506,1018,13
2020-08-02,Maryland,90835,3515,910,9
2020-08-03,Maryland,91705,3523,870,8
2020-08-04,Maryland,92416,3530,711,7
2020-08-05,Maryland,93000,3536,584,6
2020-08-06,Maryland,93598,3551,598,15
2020-08-07,Maryland,94395,3565,797,14
2020-08-08,Maryland,95157,3577,762,12
2020-08-09,Maryland,96065,3585,908,8
2020-08-10,Maryland,96821,3591,756,6
2020-08-11,Maryland,97403,3604,582,13
2020-08-12,Maryland,97959,3612,556,8
2020-08-13,Maryland,98728,3620,769,8
2020-08-14,Maryland,99430,3631,702,11
2020-08-15,Maryland,100237,3636,807,5
2020-08-16,Maryland,100772,3639,535,3
2020-08-17,Maryland,101276,3641,504,2
2020-08-18,Maryland,101780,3650,504,9
2020-08-19,Maryland,102215,3661,435,11
2020-08-20,Maryland,102783,3669,568,8
2020-08-21,Maryland,103461,3674,678,5
2020-08-22,Maryland,104040,3685,579,11
2020-08-23,Maryland,104618,3691,578,6
2020-08-24,Maryland,105168,3694,550,3
2020-08-25,Maryland,105554,3707,386,13
2020-08-26,Maryland,105996,3717,442,10
2020-08-27,Maryland,106558,3722,562,5
2020-08-28,Maryland,107146,3736,588,14
2020-08-29,Maryland,107790,3746,644,10
2020-08-30,Maryland,108286,3752,496,6
2020-08-31,Maryland,108742,3755,456,3
2020-09-01,Maryland,109353,3761,611,6
2020-09-02,Maryland,109808,3766,455,5
2020-09-03,Maryland,110504,3778,696,12
2020-09-04,Maryland,111332,3789,828,11
2020-09-05,Maryland,112104,3796,772,7
2020-09-06,Maryland,112557,3799,453,3
2020-09-07,Maryland,113378,3804,821,5
2020-09-08,Maryland,113734,3807,356,3
2020-09-09,Maryland,114070,3816,336,9
2020-09-10,Maryland,114574,3824,504,8
2020-09-11,Maryland,115217,3828,643,4
2020-09-12,Maryland,115876,3836,659,8
2020-09-13,Maryland,116600,3838,724,2
2020-09-14,Maryland,117147,3839,547,1
2020-09-15,Maryland,117745,3849,598,10
2020-09-16,Maryland,118387,3855,642,6
2020-09-17,Maryland,119017,3861,630,6
2020-09-18,Maryland,119559,3869,542,8
2020-09-19,Maryland,120107,3876,548,7
2020-09-20,Maryland,120656,3879,549,3
2020-09-21,Maryland,121068,3883,412,4
2020-09-22,Maryland,121409,3895,341,12
2020-09-23,Maryland,121793,3902,384,7
2020-09-24,Maryland,122293,3909,500,7
2020-09-25,Maryland,122850,3917,557,8
2020-09-26,Maryland,123328,3925,478,8
2020-09-27,Maryland,123895,3935,567,10
2020-09-28,Maryland,124371,3938,476,3
2020-09-29,Maryland,124805,3946,434,8
2020-09-30,Maryland,125217,3949,412,3
2020-10-01,Maryland,125997,3949,780,0
2020-10-02,Maryland,126711,3950,714,1
2020-10-03,Maryland,127194,3957,483,7
2020-10-04,Maryland,127785,3958,591,1
2020-10-05,Maryland,128277,3961,492,3
2020-10-06,Maryland,128691,3967,414,6
2020-10-07,Maryland,129158,3973,467,6
2020-10-08,Maryland,129919,3979,761,6
2020-10-09,Maryland,130652,3990,733,11
2020-10-10,Maryland,131169,3995,517,5
2020-10-11,Maryland,131853,3999,684,4
2020-10-12,Maryland,132357,4003,504,4
2020-10-13,Maryland,132839,4012,482,9
2020-10-14,Maryland,133413,4022,574,10
2020-10-15,Maryland,134042,4028,629,6
2020-10-16,Maryland,134822,4032,780,4
2020-10-17,Maryland,135463,4036,641,4
2020-10-18,Maryland,136149,4037,686,1
2020-10-19,Maryland,136643,4041,494,4
2020-10-20,Maryland,137229,4050,586,9
2020-10-21,Maryland,137720,4058,491,8
