date,state,total cases,total deaths,new cases,new deaths
2020-03-10,Michigan,2,0,2,0
2020-03-11,Michigan,2,0,0,0
2020-03-12,Michigan,12,0,10,0
2020-03-13,Michigan,25,0,13,0
2020-03-14,Michigan,33,0,8,0
2020-03-15,Michigan,53,0,20,0
2020-03-16,Michigan,54,0,1,0
2020-03-17,Michigan,65,0,11,0
2020-03-18,Michigan,80,1,15,1
2020-03-19,Michigan,334,3,254,2
2020-03-20,Michigan,548,4,214,1
2020-03-21,Michigan,787,6,239,2
2020-03-22,Michigan,1033,9,246,3
2020-03-23,Michigan,1324,16,291,7
2020-03-24,Michigan,1791,24,467,8
2020-03-25,Michigan,2293,43,502,19
2020-03-26,Michigan,2877,63,584,20
2020-03-27,Michigan,3655,93,778,30
2020-03-28,Michigan,4634,112,979,19
2020-03-29,Michigan,5486,132,852,20
2020-03-30,Michigan,6508,197,1022,65
2020-03-31,Michigan,7629,264,1121,67
2020-04-01,Michigan,9292,336,1663,72
2020-04-02,Michigan,10791,417,1499,81
2020-04-03,Michigan,12669,478,1878,61
2020-04-04,Michigan,14225,541,1556,63
2020-04-05,Michigan,15633,617,1408,76
2020-04-06,Michigan,17129,727,1496,110
2020-04-07,Michigan,18851,845,1722,118
2020-04-08,Michigan,20220,959,1369,114
2020-04-09,Michigan,21375,1076,1155,117
2020-04-10,Michigan,22646,1280,1271,204
2020-04-11,Michigan,23855,1395,1209,115
2020-04-12,Michigan,24496,1488,641,93
2020-04-13,Michigan,25490,1603,994,115
2020-04-14,Michigan,26845,1767,1355,164
2020-04-15,Michigan,27894,1920,1049,153
2020-04-16,Michigan,29120,2092,1226,172
2020-04-17,Michigan,29954,2227,834,135
2020-04-18,Michigan,30718,2307,764,80
2020-04-19,Michigan,31349,2389,631,82
2020-04-20,Michigan,31929,2466,580,77
2020-04-21,Michigan,32936,2698,1007,232
2020-04-22,Michigan,33973,2813,1037,115
2020-04-23,Michigan,35253,2977,1280,164
2020-04-24,Michigan,36628,3084,1375,107
2020-04-25,Michigan,37302,3273,674,189
2020-04-26,Michigan,38003,3314,701,41
2020-04-27,Michigan,38457,3406,454,92
2020-04-28,Michigan,39469,3566,1012,160
2020-04-29,Michigan,40443,3670,974,104
2020-04-30,Michigan,41348,3788,905,118
2020-05-01,Michigan,42348,3866,1000,78
2020-05-02,Michigan,43191,4020,843,154
2020-05-03,Michigan,43803,4049,612,29
2020-05-04,Michigan,43996,4135,193,86
2020-05-05,Michigan,44391,4179,395,44
2020-05-06,Michigan,45079,4250,688,71
2020-05-07,Michigan,45643,4343,564,93
2020-05-08,Michigan,46319,4393,676,50
2020-05-09,Michigan,46735,4526,416,133
2020-05-10,Michigan,47116,4551,381,25
2020-05-11,Michigan,47526,4584,410,33
2020-05-12,Michigan,47946,4674,420,90
2020-05-13,Michigan,48307,4714,361,40
2020-05-14,Michigan,49489,4787,1182,73
2020-05-15,Michigan,49982,4825,493,38
2020-05-16,Michigan,50416,4880,434,55
2020-05-17,Michigan,51054,4891,638,11
2020-05-18,Michigan,51853,4915,799,24
2020-05-19,Michigan,52337,5017,484,102
2020-05-20,Michigan,52988,5060,651,43
2020-05-21,Michigan,53468,5129,480,69
2020-05-22,Michigan,53865,5158,397,29
2020-05-23,Michigan,54304,5223,439,65
2020-05-24,Michigan,54616,5228,312,5
2020-05-25,Michigan,54816,5240,200,12
2020-05-26,Michigan,55040,5266,224,26
2020-05-27,Michigan,55544,5334,504,68
2020-05-28,Michigan,55944,5372,400,38
2020-05-29,Michigan,56589,5406,645,34
2020-05-30,Michigan,56848,5463,259,57
2020-05-31,Michigan,57355,5491,507,28
2020-06-01,Michigan,58435,5525,1080,34
2020-06-02,Michigan,58680,5562,245,37
2020-06-03,Michigan,58990,5579,310,17
2020-06-04,Michigan,59215,5604,225,25
2020-06-05,Michigan,63744,5854,4529,250
2020-06-06,Michigan,64196,5894,452,40
2020-06-07,Michigan,64615,5898,419,4
2020-06-08,Michigan,64911,5916,296,18
2020-06-09,Michigan,65190,5946,279,30
2020-06-10,Michigan,65377,5958,187,12
2020-06-11,Michigan,65627,5985,250,27
2020-06-12,Michigan,65881,5994,254,9
2020-06-13,Michigan,66024,6017,143,23
2020-06-14,Michigan,66246,6020,222,3
2020-06-15,Michigan,66302,6025,56,5
2020-06-16,Michigan,66466,6039,164,14
2020-06-17,Michigan,66694,6041,228,2
2020-06-18,Michigan,66980,6064,286,23
2020-06-19,Michigan,67300,6071,320,7
2020-06-20,Michigan,67721,6091,421,20
2020-06-21,Michigan,67873,6094,152,3
2020-06-22,Michigan,68144,6101,271,7
2020-06-23,Michigan,68373,6113,229,12
2020-06-24,Michigan,68711,6118,338,5
2020-06-25,Michigan,69159,6137,448,19
2020-06-26,Michigan,69473,6138,314,1
2020-06-27,Michigan,69802,6157,329,19
2020-06-28,Michigan,70042,6161,240,4
