date,state,total cases,total deaths,new cases,new deaths
2020-03-11,Mississippi,1,0,1,0
2020-03-12,Mississippi,1,0,0,0
2020-03-13,Mississippi,6,0,5,0
2020-03-14,Mississippi,6,0,0,0
2020-03-15,Mississippi,10,0,4,0
2020-03-16,Mississippi,12,0,2,0
2020-03-17,Mississippi,21,0,9,0
2020-03-18,Mississippi,34,0,13,0
2020-03-19,Mississippi,50,1,16,1
2020-03-20,Mississippi,80,1,30,0
2020-03-21,Mississippi,140,1,60,0
2020-03-22,Mississippi,207,1,67,0
2020-03-23,Mississippi,249,1,42,0
2020-03-24,Mississippi,320,1,71,0
2020-03-25,Mississippi,376,5,56,4
2020-03-26,Mississippi,486,6,110,1
2020-03-27,Mississippi,579,8,93,2
2020-03-28,Mississippi,669,13,90,5
2020-03-29,Mississippi,759,14,90,1
2020-03-30,Mississippi,848,16,89,2
2020-03-31,Mississippi,937,20,89,4
2020-04-01,Mississippi,1073,22,136,2
2020-04-02,Mississippi,1177,26,104,4
2020-04-03,Mississippi,1358,29,181,3
2020-04-04,Mississippi,1455,35,97,6
2020-04-05,Mississippi,1638,43,183,8
2020-04-06,Mississippi,1738,51,100,8
2020-04-07,Mississippi,1915,59,177,8
2020-04-08,Mississippi,2003,67,88,8
2020-04-09,Mississippi,2260,76,257,9
2020-04-10,Mississippi,2469,82,209,6
2020-04-11,Mississippi,2642,93,173,11
2020-04-12,Mississippi,2781,96,139,3
2020-04-13,Mississippi,2942,98,161,2
2020-04-14,Mississippi,3087,111,145,13
2020-04-15,Mississippi,3360,122,273,11
2020-04-16,Mississippi,3624,129,264,7
2020-04-17,Mississippi,3793,140,169,11
2020-04-18,Mississippi,3974,152,181,12
2020-04-19,Mississippi,4274,159,300,7
2020-04-20,Mississippi,4512,169,238,10
2020-04-21,Mississippi,4716,183,204,14
2020-04-22,Mississippi,4894,193,178,10
2020-04-23,Mississippi,5153,201,259,8
2020-04-24,Mississippi,5434,209,281,8
2020-04-25,Mississippi,5718,221,284,12
2020-04-26,Mississippi,5911,227,193,6
2020-04-27,Mississippi,6094,229,183,2
2020-04-28,Mississippi,6342,239,248,10
2020-04-29,Mississippi,6569,250,227,11
2020-04-30,Mississippi,6815,261,246,11
2020-05-01,Mississippi,7212,281,397,20
2020-05-02,Mississippi,7441,291,229,10
2020-05-03,Mississippi,7550,303,109,12
2020-05-04,Mississippi,7877,310,327,7
2020-05-05,Mississippi,8207,342,330,32
2020-05-06,Mississippi,8424,374,217,32
2020-05-07,Mississippi,8686,396,262,22
2020-05-08,Mississippi,9090,409,404,13
2020-05-09,Mississippi,9378,421,288,12
2020-05-10,Mississippi,9501,430,123,9
2020-05-11,Mississippi,9674,435,173,5
2020-05-12,Mississippi,9908,457,234,22
2020-05-13,Mississippi,10090,465,182,8
2020-05-14,Mississippi,10483,480,393,15
2020-05-15,Mississippi,10801,493,318,13
2020-05-16,Mississippi,11123,510,322,17
2020-05-17,Mississippi,11296,521,173,11
2020-05-18,Mississippi,11432,528,136,7
2020-05-19,Mississippi,11704,554,272,26
2020-05-20,Mississippi,11967,570,263,16
2020-05-21,Mississippi,12222,580,255,10
2020-05-22,Mississippi,12624,596,402,16
2020-05-23,Mississippi,13005,616,381,20
2020-05-24,Mississippi,13252,625,247,9
2020-05-25,Mississippi,13458,635,206,10
2020-05-26,Mississippi,13731,652,273,17
2020-05-27,Mississippi,14044,670,313,18
2020-05-28,Mississippi,14372,693,328,23
2020-05-29,Mississippi,14790,710,418,17
2020-05-30,Mississippi,15229,723,439,13
2020-05-31,Mississippi,15501,734,272,11
2020-06-01,Mississippi,15752,739,251,5
2020-06-02,Mississippi,16020,767,268,28
2020-06-03,Mississippi,16322,782,302,15
2020-06-04,Mississippi,16560,794,238,12
2020-06-05,Mississippi,16769,803,209,9
2020-06-06,Mississippi,17034,811,265,8
2020-06-07,Mississippi,17270,817,236,6
2020-06-08,Mississippi,17768,837,498,20
2020-06-09,Mississippi,18109,847,341,10
2020-06-10,Mississippi,18483,868,374,21
2020-06-11,Mississippi,18483,868,0,0
2020-06-12,Mississippi,19091,881,608,13
2020-06-13,Mississippi,19348,889,257,8
2020-06-14,Mississippi,19516,891,168,2
2020-06-15,Mississippi,19799,895,283,4
2020-06-16,Mississippi,20152,915,353,20
2020-06-17,Mississippi,20641,938,489,23
2020-06-18,Mississippi,21022,943,381,5
2020-06-19,Mississippi,21022,943,0,0
2020-06-20,Mississippi,21022,943,0,0
2020-06-21,Mississippi,21022,943,0,0
2020-06-22,Mississippi,22287,978,1265,35
2020-06-23,Mississippi,22898,989,611,11
2020-06-24,Mississippi,23424,1011,526,22
2020-06-25,Mississippi,24516,1016,1092,5
2020-06-26,Mississippi,25066,1022,550,6
2020-06-27,Mississippi,25531,1035,465,13
2020-06-28,Mississippi,25899,1039,368,4
2020-06-29,Mississippi,26568,1059,669,20
2020-06-30,Mississippi,27248,1073,680,14
2020-07-01,Mississippi,27900,1082,652,9
2020-07-02,Mississippi,28770,1092,870,10
2020-07-03,Mississippi,29684,1103,914,11
2020-07-04,Mississippi,30674,1107,990,4
2020-07-05,Mississippi,30900,1111,226,4
2020-07-06,Mississippi,31257,1114,357,3
2020-07-07,Mississippi,32214,1158,957,44
2020-07-08,Mississippi,32888,1188,674,30
2020-07-09,Mississippi,33591,1204,703,16
2020-07-10,Mississippi,34622,1215,1031,11
2020-07-11,Mississippi,35419,1230,797,15
2020-07-12,Mississippi,36287,1249,868,19
2020-07-13,Mississippi,36680,1250,393,1
2020-07-14,Mississippi,37542,1272,862,22
2020-07-15,Mississippi,38567,1290,1025,18
2020-07-16,Mississippi,39797,1308,1230,18
2020-07-17,Mississippi,40829,1332,1032,24
2020-07-18,Mississippi,41846,1346,1017,14
2020-07-19,Mississippi,42638,1355,792,9
2020-07-20,Mississippi,43889,1358,1251,3
2020-07-21,Mississippi,45524,1389,1635,31
2020-07-22,Mississippi,47071,1423,1547,34
2020-07-23,Mississippi,48053,1436,982,13
2020-07-24,Mississippi,49663,1463,1610,27
2020-07-25,Mississippi,51097,1480,1434,17
2020-07-26,Mississippi,52304,1495,1207,15
2020-07-27,Mississippi,52957,1501,653,6
2020-07-28,Mississippi,54299,1543,1342,42
2020-07-29,Mississippi,55804,1563,1505,20
2020-07-30,Mississippi,57579,1611,1775,48
2020-07-31,Mississippi,58747,1663,1168,52
2020-08-01,Mississippi,59881,1693,1134,30
2020-08-02,Mississippi,60553,1703,672,10
2020-08-03,Mississippi,61125,1711,572,8
2020-08-04,Mississippi,62199,1753,1074,42
2020-08-05,Mississippi,63444,1804,1245,51
2020-08-06,Mississippi,64400,1825,956,21
2020-08-07,Mississippi,65436,1848,1036,23
2020-08-08,Mississippi,66646,1874,1210,26
2020-08-09,Mississippi,67173,1896,527,22
2020-08-10,Mississippi,67649,1912,476,16
2020-08-11,Mississippi,68293,1944,644,32
2020-08-12,Mississippi,69374,1989,1081,45
2020-08-13,Mississippi,69986,2011,612,22
2020-08-14,Mississippi,70930,2043,944,32
2020-08-15,Mississippi,71755,2080,825,37
2020-08-16,Mississippi,72136,2084,381,4
2020-08-17,Mississippi,72412,2095,276,11
2020-08-18,Mississippi,73207,2128,795,33
2020-08-19,Mississippi,74555,2163,1348,35
2020-08-20,Mississippi,75449,2190,894,27
2020-08-21,Mississippi,76323,2214,874,24
2020-08-22,Mississippi,77268,2237,945,23
2020-08-23,Mississippi,77894,2240,626,3
2020-08-24,Mississippi,78405,2248,511,8
2020-08-25,Mississippi,79206,2315,801,67
2020-08-26,Mississippi,80110,2373,904,58
2020-08-27,Mississippi,80695,2399,585,26
2020-08-28,Mississippi,81294,2413,599,14
