date,state,total cases,total deaths,new cases,new deaths
2020-03-13,Montana,4,0,4,0
2020-03-14,Montana,6,0,2,0
2020-03-15,Montana,6,0,0,0
2020-03-16,Montana,8,0,2,0
2020-03-17,Montana,8,0,0,0
2020-03-18,Montana,12,0,4,0
2020-03-19,Montana,19,0,7,0
2020-03-20,Montana,19,0,0,0
2020-03-21,Montana,29,0,10,0
2020-03-22,Montana,34,0,5,0
2020-03-23,Montana,45,0,11,0
2020-03-24,Montana,51,0,6,0
2020-03-25,Montana,65,0,14,0
2020-03-26,Montana,90,0,25,0
2020-03-27,Montana,121,1,31,1
2020-03-28,Montana,147,1,26,0
2020-03-29,Montana,161,1,14,0
2020-03-30,Montana,177,4,16,3
2020-03-31,Montana,198,5,21,1
2020-04-01,Montana,219,5,21,0
2020-04-02,Montana,241,5,22,0
2020-04-03,Montana,262,5,21,0
2020-04-04,Montana,281,6,19,1
2020-04-05,Montana,298,6,17,0
2020-04-06,Montana,319,6,21,0
2020-04-07,Montana,319,6,0,0
2020-04-08,Montana,332,6,13,0
2020-04-09,Montana,354,6,22,0
2020-04-10,Montana,365,6,11,0
2020-04-11,Montana,377,6,12,0
2020-04-12,Montana,387,6,10,0
2020-04-13,Montana,394,7,7,1
2020-04-14,Montana,399,7,5,0
2020-04-15,Montana,404,7,5,0
2020-04-16,Montana,415,7,11,0
2020-04-17,Montana,422,8,7,1
2020-04-18,Montana,426,10,4,2
2020-04-19,Montana,433,10,7,0
2020-04-20,Montana,433,12,0,2
2020-04-21,Montana,437,12,4,0
2020-04-22,Montana,439,14,2,2
2020-04-23,Montana,442,14,3,0
2020-04-24,Montana,444,14,2,0
2020-04-25,Montana,445,14,1,0
2020-04-26,Montana,448,14,3,0
2020-04-27,Montana,449,14,1,0
2020-04-28,Montana,451,15,2,1
2020-04-29,Montana,451,16,0,1
2020-04-30,Montana,452,16,1,0
2020-05-01,Montana,452,16,0,0
2020-05-02,Montana,454,16,2,0
2020-05-03,Montana,454,16,0,0
2020-05-04,Montana,456,16,2,0
2020-05-05,Montana,456,16,0,0
2020-05-06,Montana,456,16,0,0
2020-05-07,Montana,456,16,0,0
2020-05-08,Montana,458,16,2,0
2020-05-09,Montana,458,16,0,0
2020-05-10,Montana,458,16,0,0
2020-05-11,Montana,459,16,1,0
2020-05-12,Montana,461,16,2,0
2020-05-13,Montana,462,16,1,0
2020-05-14,Montana,462,16,0,0
2020-05-15,Montana,466,16,4,0
2020-05-16,Montana,468,16,2,0
2020-05-17,Montana,468,16,0,0
2020-05-18,Montana,470,16,2,0
2020-05-19,Montana,471,16,1,0
2020-05-20,Montana,478,16,7,0
2020-05-21,Montana,479,16,1,0
2020-05-22,Montana,479,16,0,0
2020-05-23,Montana,479,16,0,0
2020-05-24,Montana,479,16,0,0
2020-05-25,Montana,479,16,0,0
2020-05-26,Montana,479,17,0,1
2020-05-27,Montana,481,17,2,0
2020-05-28,Montana,485,17,4,0
2020-05-29,Montana,493,17,8,0
2020-05-30,Montana,505,17,12,0
2020-05-31,Montana,515,17,10,0
2020-06-01,Montana,519,17,4,0
2020-06-02,Montana,523,17,4,0
2020-06-03,Montana,525,17,2,0
2020-06-04,Montana,537,17,12,0
2020-06-05,Montana,539,18,2,1
2020-06-06,Montana,540,18,1,0
2020-06-07,Montana,545,18,5,0
2020-06-08,Montana,548,18,3,0
2020-06-09,Montana,554,18,6,0
2020-06-10,Montana,561,18,7,0
2020-06-11,Montana,563,18,2,0
2020-06-12,Montana,573,18,10,0
2020-06-13,Montana,588,18,15,0
2020-06-14,Montana,601,19,13,1
2020-06-15,Montana,609,19,8,0
2020-06-16,Montana,614,19,5,0
2020-06-17,Montana,630,20,16,1
2020-06-18,Montana,655,20,25,0
2020-06-19,Montana,666,20,11,0
2020-06-20,Montana,698,20,32,0
2020-06-21,Montana,717,20,19,0
2020-06-22,Montana,734,21,17,1
2020-06-23,Montana,743,21,9,0
2020-06-24,Montana,766,21,23,0
2020-06-25,Montana,803,21,37,0
2020-06-26,Montana,829,22,26,1
2020-06-27,Montana,852,22,23,0
2020-06-28,Montana,863,22,11,0
2020-06-29,Montana,919,22,56,0
2020-06-30,Montana,967,22,48,0
2020-07-01,Montana,1016,22,49,0
2020-07-02,Montana,1083,22,67,0
2020-07-03,Montana,1128,23,45,1
2020-07-04,Montana,1167,23,39,0
2020-07-05,Montana,1212,23,45,0
2020-07-06,Montana,1249,23,37,0
2020-07-07,Montana,1327,23,78,0
2020-07-08,Montana,1371,23,44,0
2020-07-09,Montana,1466,25,95,2
2020-07-10,Montana,1593,28,127,3
2020-07-11,Montana,1677,29,84,1
2020-07-12,Montana,1758,29,81,0
2020-07-13,Montana,1908,32,150,3
2020-07-14,Montana,2038,34,130,2
2020-07-15,Montana,2149,34,111,0
2020-07-16,Montana,2265,35,116,1
2020-07-17,Montana,2383,37,118,2
2020-07-18,Montana,2471,37,88,0
2020-07-19,Montana,2533,37,62,0
2020-07-20,Montana,2640,39,107,2
2020-07-21,Montana,2741,40,101,1
2020-07-22,Montana,2840,42,99,2
2020-07-23,Montana,2924,43,84,1
2020-07-24,Montana,3113,46,189,3
2020-07-25,Montana,3260,46,147,0
2020-07-26,Montana,3342,46,82,0
2020-07-27,Montana,3406,47,64,1
2020-07-28,Montana,3491,52,85,5
2020-07-29,Montana,3695,54,204,2
2020-07-30,Montana,3829,55,134,1
2020-07-31,Montana,3977,60,148,5
2020-08-01,Montana,4081,61,104,1
2020-08-02,Montana,4193,61,112,0
2020-08-03,Montana,4249,64,56,3
2020-08-04,Montana,4360,64,111,0
2020-08-05,Montana,4481,65,121,1
2020-08-06,Montana,4621,66,140,1
