date,state,total cases,total deaths,new cases,new deaths
2020-02-17,Nebraska,10,0,10,0
2020-02-18,Nebraska,10,0,0,0
2020-02-19,Nebraska,10,0,0,0
2020-02-20,Nebraska,11,0,1,0
2020-02-21,Nebraska,11,0,0,0
2020-02-22,Nebraska,11,0,0,0
2020-02-23,Nebraska,11,0,0,0
2020-02-24,Nebraska,12,0,1,0
2020-02-25,Nebraska,13,0,1,0
2020-02-26,Nebraska,13,0,0,0
2020-02-27,Nebraska,13,0,0,0
2020-02-28,Nebraska,13,0,0,0
2020-02-29,Nebraska,13,0,0,0
2020-03-01,Nebraska,13,0,0,0
2020-03-02,Nebraska,13,0,0,0
2020-03-03,Nebraska,13,0,0,0
2020-03-04,Nebraska,13,0,0,0
2020-03-05,Nebraska,13,0,0,0
2020-03-06,Nebraska,14,0,1,0
2020-03-07,Nebraska,14,0,0,0
2020-03-08,Nebraska,16,0,2,0
2020-03-09,Nebraska,16,0,0,0
2020-03-10,Nebraska,17,0,1,0
2020-03-11,Nebraska,23,0,6,0
2020-03-12,Nebraska,24,0,1,0
2020-03-13,Nebraska,27,0,3,0
2020-03-14,Nebraska,29,0,2,0
2020-03-15,Nebraska,31,0,2,0
2020-03-16,Nebraska,33,0,2,0
2020-03-17,Nebraska,36,0,3,0
2020-03-18,Nebraska,43,0,7,0
2020-03-19,Nebraska,47,0,4,0
2020-03-20,Nebraska,53,0,6,0
2020-03-21,Nebraska,61,0,8,0
2020-03-22,Nebraska,62,0,1,0
2020-03-23,Nebraska,73,0,11,0
2020-03-24,Nebraska,77,0,4,0
2020-03-25,Nebraska,84,0,7,0
2020-03-26,Nebraska,91,0,7,0
2020-03-27,Nebraska,102,2,11,2
2020-03-28,Nebraska,122,2,20,0
2020-03-29,Nebraska,138,2,16,0
2020-03-30,Nebraska,185,3,47,1
2020-03-31,Nebraska,199,4,14,1
2020-04-01,Nebraska,249,5,50,1
2020-04-02,Nebraska,273,6,24,1
2020-04-03,Nebraska,297,6,24,0
2020-04-04,Nebraska,339,8,42,2
2020-04-05,Nebraska,377,8,38,0
2020-04-06,Nebraska,438,10,61,2
2020-04-07,Nebraska,491,12,53,2
2020-04-08,Nebraska,538,14,47,2
2020-04-09,Nebraska,594,15,56,1
2020-04-10,Nebraska,678,18,84,3
2020-04-11,Nebraska,718,18,40,0
2020-04-12,Nebraska,805,18,87,0
2020-04-13,Nebraska,870,19,65,1
2020-04-14,Nebraska,930,21,60,2
2020-04-15,Nebraska,994,22,64,1
2020-04-16,Nebraska,1094,24,100,2
2020-04-17,Nebraska,1216,24,122,0
2020-04-18,Nebraska,1348,28,132,4
2020-04-19,Nebraska,1473,28,125,0
2020-04-20,Nebraska,1646,33,173,5
2020-04-21,Nebraska,1726,38,80,5
2020-04-22,Nebraska,1826,42,100,4
2020-04-23,Nebraska,2190,46,364,4
2020-04-24,Nebraska,2474,50,284,4
2020-04-25,Nebraska,2898,52,424,2
2020-04-26,Nebraska,3126,54,228,2
2020-04-27,Nebraska,3487,54,361,0
2020-04-28,Nebraska,3613,56,126,2
2020-04-29,Nebraska,3876,67,263,11
2020-04-30,Nebraska,4332,70,456,3
2020-05-01,Nebraska,4838,72,506,2
2020-05-02,Nebraska,5332,75,494,3
2020-05-03,Nebraska,5686,77,354,2
2020-05-04,Nebraska,6123,78,437,1
2020-05-05,Nebraska,6442,81,319,3
2020-05-06,Nebraska,6771,85,329,4
2020-05-07,Nebraska,7190,91,419,6
2020-05-08,Nebraska,7830,92,640,1
2020-05-09,Nebraska,8233,95,403,3
2020-05-10,Nebraska,8328,97,95,2
2020-05-11,Nebraska,8575,99,247,2
2020-05-12,Nebraska,8732,102,157,3
2020-05-13,Nebraska,9072,106,340,4
2020-05-14,Nebraska,9411,117,339,11
2020-05-15,Nebraska,9766,122,355,5
2020-05-16,Nebraska,10220,129,454,7
2020-05-17,Nebraska,10348,129,128,0
2020-05-18,Nebraska,10625,132,277,3
2020-05-19,Nebraska,10846,136,221,4
2020-05-20,Nebraska,11119,141,273,5
2020-05-21,Nebraska,11423,148,304,7
2020-05-22,Nebraska,11661,149,238,1
2020-05-23,Nebraska,11988,150,327,1
2020-05-24,Nebraska,12133,153,145,3
2020-05-25,Nebraska,12354,155,221,2
2020-05-26,Nebraska,12618,160,264,5
2020-05-27,Nebraska,12975,168,357,8
2020-05-28,Nebraska,13260,170,285,2
2020-05-29,Nebraska,13654,177,394,7
2020-05-30,Nebraska,13905,177,251,0
2020-05-31,Nebraska,14101,178,196,1
2020-06-01,Nebraska,14345,183,244,5
2020-06-02,Nebraska,14611,187,266,4
2020-06-03,Nebraska,14866,189,255,2
2020-06-04,Nebraska,15117,193,251,4
2020-06-05,Nebraska,15379,193,262,0
2020-06-06,Nebraska,15543,196,164,3
2020-06-07,Nebraska,15634,196,91,0
2020-06-08,Nebraska,15752,196,118,0
2020-06-09,Nebraska,15888,199,136,3
2020-06-10,Nebraska,16025,209,137,10
2020-06-11,Nebraska,16315,217,290,8
2020-06-12,Nebraska,16513,221,198,4
2020-06-13,Nebraska,16634,221,121,0
2020-06-14,Nebraska,16735,221,101,0
2020-06-15,Nebraska,16860,226,125,5
2020-06-16,Nebraska,17031,236,171,10
2020-06-17,Nebraska,17226,239,195,3
2020-06-18,Nebraska,17415,244,189,5
2020-06-19,Nebraska,17591,249,176,5
2020-06-20,Nebraska,17707,249,116,0
2020-06-21,Nebraska,17810,252,103,3
2020-06-22,Nebraska,17957,255,147,3
2020-06-23,Nebraska,18091,262,134,7
2020-06-24,Nebraska,18220,263,129,1
2020-06-25,Nebraska,18346,266,126,3
2020-06-26,Nebraska,18524,270,178,4
2020-06-27,Nebraska,18775,271,251,1
2020-06-28,Nebraska,18900,271,125,0
2020-06-29,Nebraska,19064,273,164,2
2020-06-30,Nebraska,19194,279,130,6
2020-07-01,Nebraska,19325,282,131,3
2020-07-02,Nebraska,19476,284,151,2
2020-07-03,Nebraska,19660,285,184,1
2020-07-04,Nebraska,19826,285,166,0
2020-07-05,Nebraska,19937,285,111,0
2020-07-06,Nebraska,20052,286,115,1
2020-07-07,Nebraska,20205,287,153,1
2020-07-08,Nebraska,20437,291,232,4
2020-07-09,Nebraska,20658,294,221,3
2020-07-10,Nebraska,20834,294,176,0
2020-07-11,Nebraska,21035,296,201,2
2020-07-12,Nebraska,21214,296,179,0
2020-07-13,Nebraska,21444,298,230,2
2020-07-14,Nebraska,21717,299,273,1
2020-07-15,Nebraska,21979,302,262,3
2020-07-16,Nebraska,22178,307,199,5
2020-07-17,Nebraska,22361,308,183,1
2020-07-18,Nebraska,22545,308,184,0
2020-07-19,Nebraska,22637,308,92,0
2020-07-20,Nebraska,22847,313,210,5
2020-07-21,Nebraska,23190,313,343,0
2020-07-22,Nebraska,23486,314,296,1
2020-07-23,Nebraska,23818,318,332,4
2020-07-24,Nebraska,24174,322,356,4
2020-07-25,Nebraska,24412,322,238,0
2020-07-26,Nebraska,24618,322,206,0
2020-07-27,Nebraska,24899,322,281,0
2020-07-28,Nebraska,25140,326,241,4
2020-07-29,Nebraska,25448,331,308,5
2020-07-30,Nebraska,25766,333,318,2
2020-07-31,Nebraska,26211,338,445,5
2020-08-01,Nebraska,26391,338,180,0
2020-08-02,Nebraska,26702,338,311,0
2020-08-03,Nebraska,26956,334,254,0
2020-08-04,Nebraska,27178,339,222,5
2020-08-05,Nebraska,27489,342,311,3
2020-08-06,Nebraska,27821,347,332,5
2020-08-07,Nebraska,28104,352,283,5
2020-08-08,Nebraska,28245,353,141,1
2020-08-09,Nebraska,28432,353,187,0
2020-08-10,Nebraska,28696,354,264,1
2020-08-11,Nebraska,29030,357,334,3
2020-08-12,Nebraska,29244,359,214,2
2020-08-13,Nebraska,29660,362,416,3
2020-08-14,Nebraska,29988,363,328,1
2020-08-15,Nebraska,30241,363,253,0
2020-08-16,Nebraska,30372,363,131,0
2020-08-17,Nebraska,30563,363,191,0
2020-08-18,Nebraska,30825,370,262,7
2020-08-19,Nebraska,31040,373,215,3
2020-08-20,Nebraska,31348,377,308,4
2020-08-21,Nebraska,31626,381,278,4
2020-08-22,Nebraska,31780,382,154,1
2020-08-23,Nebraska,31889,384,109,2
2020-08-24,Nebraska,32047,384,158,0
2020-08-25,Nebraska,32379,386,332,2
