date,state,total cases,total deaths,new cases,new deaths
2020-03-02,New Hampshire,1,0,1,0
2020-03-03,New Hampshire,2,0,1,0
2020-03-04,New Hampshire,2,0,0,0
2020-03-05,New Hampshire,2,0,0,0
2020-03-06,New Hampshire,2,0,0,0
2020-03-07,New Hampshire,4,0,2,0
2020-03-08,New Hampshire,4,0,0,0
2020-03-09,New Hampshire,4,0,0,0
2020-03-10,New Hampshire,5,0,1,0
2020-03-11,New Hampshire,5,0,0,0
2020-03-12,New Hampshire,6,0,1,0
2020-03-13,New Hampshire,7,0,1,0
2020-03-14,New Hampshire,7,0,0,0
2020-03-15,New Hampshire,13,0,6,0
2020-03-16,New Hampshire,17,0,4,0
2020-03-17,New Hampshire,26,0,9,0
2020-03-18,New Hampshire,39,0,13,0
2020-03-19,New Hampshire,44,0,5,0
2020-03-20,New Hampshire,55,0,11,0
2020-03-21,New Hampshire,65,0,10,0
2020-03-22,New Hampshire,78,0,13,0
2020-03-23,New Hampshire,101,1,23,1
2020-03-24,New Hampshire,108,1,7,0
2020-03-25,New Hampshire,137,1,29,0
2020-03-26,New Hampshire,158,1,21,0
2020-03-27,New Hampshire,187,2,29,1
2020-03-28,New Hampshire,214,2,27,0
2020-03-29,New Hampshire,258,3,44,1
2020-03-30,New Hampshire,314,3,56,0
2020-03-31,New Hampshire,367,3,53,0
2020-04-01,New Hampshire,415,4,48,1
2020-04-02,New Hampshire,479,5,64,1
2020-04-03,New Hampshire,540,7,61,2
2020-04-04,New Hampshire,621,9,81,2
2020-04-05,New Hampshire,669,9,48,0
2020-04-06,New Hampshire,715,9,46,0
2020-04-07,New Hampshire,747,13,32,4
2020-04-08,New Hampshire,788,18,41,5
2020-04-09,New Hampshire,819,21,31,3
2020-04-10,New Hampshire,885,22,66,1
2020-04-11,New Hampshire,929,23,44,1
2020-04-12,New Hampshire,985,23,56,0
2020-04-13,New Hampshire,1020,23,35,0
2020-04-14,New Hampshire,1091,27,71,4
2020-04-15,New Hampshire,1139,32,48,5
2020-04-16,New Hampshire,1211,34,72,2
2020-04-17,New Hampshire,1287,37,76,3
2020-04-18,New Hampshire,1342,38,55,1
2020-04-19,New Hampshire,1392,41,50,3
2020-04-20,New Hampshire,1447,42,55,1
2020-04-21,New Hampshire,1491,42,44,0
2020-04-22,New Hampshire,1588,48,97,6
2020-04-23,New Hampshire,1670,51,82,3
2020-04-24,New Hampshire,1720,53,50,2
2020-04-25,New Hampshire,1793,60,73,7
2020-04-26,New Hampshire,1864,60,71,0
2020-04-27,New Hampshire,1938,60,74,0
