date,state,total cases,total deaths,new cases,new deaths
2020-03-11,New Mexico,4,0,4,0
2020-03-12,New Mexico,6,0,2,0
2020-03-13,New Mexico,10,0,4,0
2020-03-14,New Mexico,13,0,3,0
2020-03-15,New Mexico,17,0,4,0
2020-03-16,New Mexico,21,0,4,0
2020-03-17,New Mexico,23,0,2,0
2020-03-18,New Mexico,28,0,5,0
2020-03-19,New Mexico,35,0,7,0
2020-03-20,New Mexico,43,0,8,0
2020-03-21,New Mexico,57,0,14,0
2020-03-22,New Mexico,65,0,8,0
2020-03-23,New Mexico,83,0,18,0
2020-03-24,New Mexico,100,0,17,0
2020-03-25,New Mexico,113,1,13,1
2020-03-26,New Mexico,136,1,23,0
2020-03-27,New Mexico,191,1,55,0
2020-03-28,New Mexico,210,2,19,1
2020-03-29,New Mexico,237,2,27,0
2020-03-30,New Mexico,282,4,45,2
2020-03-31,New Mexico,315,5,33,1
2020-04-01,New Mexico,363,6,48,1
2020-04-02,New Mexico,403,7,40,1
2020-04-03,New Mexico,495,10,92,3
2020-04-04,New Mexico,544,11,49,1
2020-04-05,New Mexico,624,12,80,1
2020-04-06,New Mexico,686,12,62,0
2020-04-07,New Mexico,794,13,108,1
2020-04-08,New Mexico,865,16,71,3
2020-04-09,New Mexico,989,17,124,1
2020-04-10,New Mexico,1090,19,101,2
2020-04-11,New Mexico,1174,20,84,1
2020-04-12,New Mexico,1245,26,71,6
2020-04-13,New Mexico,1345,31,100,5
2020-04-14,New Mexico,1407,36,62,5
2020-04-15,New Mexico,1484,36,77,0
2020-04-16,New Mexico,1597,44,113,8
2020-04-17,New Mexico,1711,51,114,7
2020-04-18,New Mexico,1798,53,87,2
2020-04-19,New Mexico,1845,55,47,2
2020-04-20,New Mexico,1971,58,126,3
2020-04-21,New Mexico,2072,65,101,7
2020-04-22,New Mexico,2210,71,138,6
2020-04-23,New Mexico,2379,78,169,7
2020-04-24,New Mexico,2524,84,145,6
2020-04-25,New Mexico,2662,93,138,9
2020-04-26,New Mexico,2728,99,66,6
2020-04-27,New Mexico,2825,104,97,5
2020-04-28,New Mexico,2975,110,150,6
2020-04-29,New Mexico,3213,112,238,2
2020-04-30,New Mexico,3411,123,198,11
2020-05-01,New Mexico,3513,131,102,8
2020-05-02,New Mexico,3732,139,219,8
2020-05-03,New Mexico,3850,151,118,12
2020-05-04,New Mexico,4030,156,180,5
2020-05-05,New Mexico,4137,162,107,6
2020-05-06,New Mexico,4290,169,153,7
2020-05-07,New Mexico,4492,172,202,3
2020-05-08,New Mexico,4673,181,181,9
2020-05-09,New Mexico,4778,191,105,10
2020-05-10,New Mexico,4863,200,85,9
2020-05-11,New Mexico,5069,208,206,8
2020-05-12,New Mexico,5212,219,143,11
2020-05-13,New Mexico,5364,231,152,12
2020-05-14,New Mexico,5503,242,139,11
2020-05-15,New Mexico,5662,253,159,11
2020-05-16,New Mexico,5847,259,185,6
2020-05-17,New Mexico,5938,265,91,6
2020-05-18,New Mexico,6096,270,158,5
