date,state,total cases,total deaths,new cases,new deaths
2020-03-01,New York,1,0,1,0
2020-03-02,New York,1,0,0,0
2020-03-03,New York,2,0,1,0
2020-03-04,New York,11,0,9,0
2020-03-05,New York,22,0,11,0
2020-03-06,New York,44,0,22,0
2020-03-07,New York,89,0,45,0
2020-03-08,New York,106,0,17,0
2020-03-09,New York,142,0,36,0
2020-03-10,New York,173,0,31,0
2020-03-11,New York,217,0,44,0
2020-03-12,New York,326,0,109,0
2020-03-13,New York,421,0,95,0
2020-03-14,New York,610,2,189,2
2020-03-15,New York,732,6,122,4
2020-03-16,New York,950,10,218,4
2020-03-17,New York,1375,18,425,8
2020-03-18,New York,2387,32,1012,14
2020-03-19,New York,4161,39,1774,7
2020-03-20,New York,7113,68,2952,29
2020-03-21,New York,10371,95,3258,27
2020-03-22,New York,15188,142,4817,47
2020-03-23,New York,20899,183,5711,41
2020-03-24,New York,25704,264,4805,81
2020-03-25,New York,33117,381,7413,117
2020-03-26,New York,39058,502,5941,121
2020-03-27,New York,44746,645,5688,143
2020-03-28,New York,53517,935,8771,290
2020-03-29,New York,59783,1180,6266,245
2020-03-30,New York,67504,1512,7721,332
2020-03-31,New York,76211,1929,8707,417
2020-04-01,New York,84364,2415,8153,486
2020-04-02,New York,93360,2963,8996,548
2020-04-03,New York,103689,3716,10329,753
2020-04-04,New York,115963,4535,12274,819
2020-04-05,New York,124085,5335,8122,800
2020-04-06,New York,133389,6149,9304,814
2020-04-07,New York,141703,7185,8314,1036
2020-04-08,New York,151271,8138,9568,953
2020-04-09,New York,162036,9166,10765,1028
2020-04-10,New York,172830,10162,10794,996
2020-04-11,New York,182990,11159,10160,997
2020-04-12,New York,191425,12116,8435,957
2020-04-13,New York,197973,12998,6548,882
2020-04-14,New York,205375,14001,7402,1003
2020-04-15,New York,217130,14937,11755,936
2020-04-16,New York,225761,15669,8631,732
2020-04-17,New York,233293,16473,7532,804
2020-04-18,New York,240542,17141,7249,668
2020-04-19,New York,246741,17793,6199,652
2020-04-20,New York,251608,18412,4867,619
2020-04-21,New York,255932,19040,4324,628
2020-04-22,New York,261591,19647,5659,607
2020-04-23,New York,267932,20212,6341,565
2020-04-24,New York,276218,20759,8286,547
2020-04-25,New York,286901,21326,10683,567
2020-04-26,New York,292914,21804,6013,478
2020-04-27,New York,296991,22267,4077,463
2020-04-28,New York,300276,22777,3285,510
2020-04-29,New York,304994,23287,4718,510
2020-04-30,New York,309696,23616,4702,329
2020-05-01,New York,313575,23841,3879,225
2020-05-02,New York,318134,24035,4559,194
2020-05-03,New York,321833,24576,3699,541
2020-05-04,New York,324357,24788,2524,212
2020-05-05,New York,326659,25028,2302,240
2020-05-06,New York,329405,25956,2746,928
2020-05-07,New York,332931,26206,3526,250
2020-05-08,New York,335804,26358,2873,152
2020-05-09,New York,338519,26584,2715,226
2020-05-10,New York,340657,26798,2138,214
2020-05-11,New York,342267,27003,1610,205
2020-05-12,New York,343705,27282,1438,279
2020-05-13,New York,345828,27448,2123,166
2020-05-14,New York,348192,27617,2364,169
2020-05-15,New York,350951,27755,2759,138
2020-05-16,New York,353136,27953,2185,198
2020-05-17,New York,355037,28168,1901,215
2020-05-18,New York,356278,28302,1241,134
2020-05-19,New York,357757,28437,1479,135
2020-05-20,New York,359235,28540,1478,103
2020-05-21,New York,361313,28663,2078,123
2020-05-22,New York,362991,28802,1678,139
2020-05-23,New York,364745,28900,1754,98
2020-05-24,New York,366346,29046,1601,146
2020-05-25,New York,367625,29138,1279,92
2020-05-26,New York,368669,29241,1044,103
2020-05-27,New York,369801,29339,1132,98
2020-05-28,New York,371559,29438,1758,99
2020-05-29,New York,373108,29535,1549,97
2020-05-30,New York,374471,29612,1363,77
2020-05-31,New York,375575,29699,1104,87
2020-06-01,New York,376520,29766,945,67
2020-06-02,New York,377881,29847,1361,81
2020-06-03,New York,378924,29918,1043,71
2020-06-04,New York,379977,30011,1053,93
2020-06-05,New York,381019,30066,1042,55
2020-06-06,New York,382102,30123,1083,57
2020-06-07,New York,382879,30183,777,60
2020-06-08,New York,383591,30239,712,56
2020-06-09,New York,384281,30309,690,70
2020-06-10,New York,384945,30376,664,67
2020-06-11,New York,385669,30431,724,55
2020-06-12,New York,386490,30511,821,80
2020-06-13,New York,387402,30565,912,54
2020-06-14,New York,388096,30605,694,40
2020-06-15,New York,388719,30645,623,40
2020-06-16,New York,389349,30683,630,38
2020-06-17,New York,389910,30722,561,39
2020-06-18,New York,390536,30767,626,45
2020-06-19,New York,391330,30816,794,49
2020-06-20,New York,392037,30839,707,23
2020-06-21,New York,392702,30884,665,45
2020-06-22,New York,393257,30934,555,50
2020-06-23,New York,393855,30970,598,36
2020-06-24,New York,394430,31001,575,31
2020-06-25,New York,395168,31029,738,28
2020-06-26,New York,395972,31075,804,46
2020-06-27,New York,396669,31105,697,30
2020-06-28,New York,397293,31137,624,32
2020-06-29,New York,397684,31143,391,6
2020-06-30,New York,398142,31776,458,633
2020-07-01,New York,398770,31791,628,15
2020-07-02,New York,399642,31814,872,23
2020-07-03,New York,400561,31836,919,22
2020-07-04,New York,401286,31860,725,24
2020-07-05,New York,401822,31895,536,35
2020-07-06,New York,402338,31911,516,16
2020-07-07,New York,402928,31934,590,23
2020-07-08,New York,403619,31945,691,11
2020-07-09,New York,404207,31979,588,34
2020-07-10,New York,404997,32004,790,25
2020-07-11,New York,405724,32019,727,15
2020-07-12,New York,406403,32029,679,10
2020-07-13,New York,406962,32075,559,46
2020-07-14,New York,407875,32092,913,17
2020-07-15,New York,408709,32115,834,23
2020-07-16,New York,409476,32133,767,18
2020-07-17,New York,410254,32147,778,14
2020-07-18,New York,411006,32167,752,20
2020-07-19,New York,411515,32187,509,20
2020-07-20,New York,412034,32203,519,16
2020-07-21,New York,412889,32218,855,15
2020-07-22,New York,413595,32228,706,10
2020-07-23,New York,414405,32270,810,42
2020-07-24,New York,415163,32278,758,8
2020-07-25,New York,415911,32295,748,17
2020-07-26,New York,416443,32305,532,10
2020-07-27,New York,417056,32322,613,17
2020-07-28,New York,417591,32333,535,11
2020-07-29,New York,418302,32342,711,9
2020-07-30,New York,419081,32362,779,20
2020-07-31,New York,419723,32372,642,10
2020-08-01,New York,420477,32390,754,18
2020-08-02,New York,421008,32401,531,11
2020-08-03,New York,421550,32413,542,12
2020-08-04,New York,422296,32422,746,9
2020-08-05,New York,422935,32431,639,9
2020-08-06,New York,423629,32329,694,0
2020-08-07,New York,424349,32336,720,7
2020-08-08,New York,425055,32345,706,9
2020-08-09,New York,425568,32354,513,9
2020-08-10,New York,426046,32361,478,7
2020-08-11,New York,426713,32372,667,11
2020-08-12,New York,427419,32384,706,12
2020-08-13,New York,428155,32399,736,15
2020-08-14,New York,428879,32407,724,8
2020-08-15,New York,429617,32414,738,7
2020-08-16,New York,430226,32424,609,10
2020-08-17,New York,430636,32435,410,11
2020-08-18,New York,431298,32446,662,11
2020-08-19,New York,431924,32451,626,5
2020-08-20,New York,432523,32451,599,0
2020-08-21,New York,433230,32456,707,5
2020-08-22,New York,433881,32464,651,8
2020-08-23,New York,434462,32482,581,18
2020-08-24,New York,434866,32489,404,7
2020-08-25,New York,435495,32495,629,6
2020-08-26,New York,436063,32499,568,4
2020-08-27,New York,436852,32507,789,8
2020-08-28,New York,437487,32515,635,8
2020-08-29,New York,438122,32522,635,7
2020-08-30,New York,438831,32534,709,12
2020-08-31,New York,439480,32541,649,7
2020-09-01,New York,440237,32551,757,10
2020-09-02,New York,440947,32559,710,8
2020-09-03,New York,441835,32567,888,8
2020-09-04,New York,442698,32573,863,6
2020-09-05,New York,443497,32579,799,6
2020-09-06,New York,444226,32585,729,6
2020-09-07,New York,444751,32600,525,15
2020-09-08,New York,445308,32612,557,12
2020-09-09,New York,445881,32611,573,0
2020-09-10,New York,446637,32618,756,7
2020-09-11,New York,447498,32619,861,1
2020-09-12,New York,448347,32625,849,6
2020-09-13,New York,449072,32629,725,4
2020-09-14,New York,449658,32639,586,10
2020-09-15,New York,450425,32655,767,16
2020-09-16,New York,451078,32662,653,7
2020-09-17,New York,451971,32669,893,7
2020-09-18,New York,452764,32682,793,13
2020-09-19,New York,453747,32679,983,0
2020-09-20,New York,454612,32686,865,7
2020-09-21,New York,455187,32691,575,5
2020-09-22,New York,455938,32690,751,0
2020-09-23,New York,456604,32691,666,1
2020-09-24,New York,457557,32696,953,5
2020-09-25,New York,458466,32708,909,12
2020-09-26,New York,459472,32713,1006,5
2020-09-27,New York,460340,32722,868,9
2020-09-28,New York,461176,32737,836,15
2020-09-29,New York,462364,32743,1188,6
2020-09-30,New York,463369,32757,1005,14
2020-10-01,New York,464752,32768,1383,11
2020-10-02,New York,466353,32789,1601,21
2020-10-03,New York,468081,32794,1728,5
2020-10-04,New York,469307,32813,1226,19
2020-10-05,New York,470244,32827,937,14
2020-10-06,New York,471638,32836,1394,9
2020-10-07,New York,472994,32850,1356,14
2020-10-08,New York,474829,32859,1835,9
2020-10-09,New York,476422,32867,1593,8
2020-10-10,New York,477870,32875,1448,8
2020-10-11,New York,479013,32879,1143,4
2020-10-12,New York,480045,32896,1032,17
2020-10-13,New York,481436,32905,1391,9
2020-10-14,New York,482671,32916,1235,11
2020-10-15,New York,484135,32935,1464,19
2020-10-16,New York,485838,32944,1703,9
2020-10-17,New York,487626,32959,1788,15
2020-10-18,New York,489016,32972,1390,13
2020-10-19,New York,490015,32990,999,18
2020-10-20,New York,491216,32998,1201,8
2020-10-21,New York,493245,33005,2029,7
2020-10-22,New York,494874,33022,1629,17
2020-10-23,New York,496510,33038,1636,16
2020-10-24,New York,498568,33049,2058,11
2020-10-25,New York,500201,33059,1633,10
2020-10-26,New York,501393,33073,1192,14
2020-10-27,New York,503387,33092,1994,19
2020-10-28,New York,505416,33107,2029,15
2020-10-29,New York,507913,33128,2497,21
2020-10-30,New York,510171,33143,2258,15
2020-10-31,New York,512223,33152,2052,9
2020-11-01,New York,514482,33174,2259,22
2020-11-02,New York,516114,33187,1632,13
2020-11-03,New York,518431,33198,2317,11
2020-11-04,New York,520557,33222,2126,24
2020-11-05,New York,523559,33247,3002,25
2020-11-06,New York,526767,33267,3208,20
2020-11-07,New York,530354,33287,3587,20
2020-11-08,New York,533784,33314,3430,27
2020-11-09,New York,536933,33343,3149,29
2020-11-10,New York,540897,33373,3964,30
2020-11-11,New York,545718,33398,4821,25
2020-11-12,New York,550516,33424,4798,26
2020-11-13,New York,555917,33452,5401,28
2020-11-14,New York,561308,33477,5391,25
2020-11-15,New York,564952,33508,3644,31
2020-11-16,New York,568450,33540,3498,32
2020-11-17,New York,573544,33576,5094,36
2020-11-18,New York,578826,33607,5282,31
2020-11-19,New York,584128,33648,5302,41
2020-11-20,New York,589605,33696,5477,48
2020-11-21,New York,595581,33737,5976,41
2020-11-22,New York,600967,33767,5386,30
2020-11-23,New York,606878,33804,5911,37
2020-11-24,New York,611756,33847,4878,43
2020-11-25,New York,618023,33890,6267,43
2020-11-26,New York,624961,33959,6938,69
2020-11-27,New York,633140,34004,8179,45
2020-11-28,New York,639200,34049,6060,45
2020-11-29,New York,645932,34101,6732,52
2020-11-30,New York,652748,34150,6816,49
2020-12-01,New York,660041,34222,7293,72
2020-12-02,New York,669016,34286,8975,64
2020-12-03,New York,678869,34346,9853,60
2020-12-04,New York,690143,34409,11274,63
2020-12-05,New York,700902,34488,10759,79
2020-12-06,New York,710612,34552,9710,64
2020-12-07,New York,718991,34637,8379,85
2020-12-08,New York,728010,34723,9019,86
2020-12-09,New York,738947,34799,10937,76
2020-12-10,New York,749204,34884,10257,85
2020-12-11,New York,759765,34983,10561,99
2020-12-12,New York,770804,35074,11039,91
2020-12-13,New York,780831,35198,10027,124
2020-12-14,New York,789815,35288,8984,90
2020-12-15,New York,799551,35425,9736,137
2020-12-16,New York,808929,35522,9378,97
2020-12-17,New York,819427,35647,10498,125
2020-12-18,New York,832033,35775,12606,128
2020-12-19,New York,841946,35897,9913,122
2020-12-20,New York,851400,36017,9454,120
2020-12-21,New York,860856,36147,9456,130
2020-12-22,New York,871155,36300,10299,153
2020-12-23,New York,882895,36454,11740,154
2020-12-24,New York,896242,36604,13347,150
2020-12-25,New York,909123,36739,12881,135
2020-12-26,New York,920171,36870,11048,131
2020-12-27,New York,928376,37000,8205,130
2020-12-28,New York,938710,37118,10334,118
2020-12-29,New York,950730,37256,12020,138
2020-12-30,New York,963647,37412,12917,156
2020-12-31,New York,979040,37557,15393,145
2021-01-01,New York,996073,37733,17033,176
2021-01-02,New York,1011922,37854,15849,121
2021-01-03,New York,1024154,38001,12232,147
2021-01-04,New York,1035396,38167,11242,166
2021-01-05,New York,1048538,38315,13142,148
2021-01-06,New York,1064554,38486,16016,171
2021-01-07,New York,1082142,38683,17588,197
2021-01-08,New York,1101702,38846,19560,163
2021-01-09,New York,1119541,39041,17839,195
2021-01-10,New York,1135849,39208,16308,167
2021-01-11,New York,1150028,39404,14179,196
2021-01-12,New York,1164819,39588,14791,184
2021-01-13,New York,1179523,39760,14704,172
2021-01-14,New York,1193710,39997,14187,237
2021-01-15,New York,1213179,40203,19469,206
2021-01-16,New York,1229124,40376,15945,173
2021-01-17,New York,1242818,40570,13694,194
2021-01-18,New York,1256228,40753,13410,183
2021-01-19,New York,1268949,40933,12721,180
2021-01-20,New York,1280068,41148,11119,215
2021-01-21,New York,1293976,41348,13908,200
2021-01-22,New York,1309660,41530,15684,182
2021-01-23,New York,1323569,41694,13909,164
2021-01-24,New York,1335952,41889,12383,195
2021-01-25,New York,1347924,42090,11972,201
2021-01-26,New York,1358964,42273,11040,183
2021-01-27,New York,1369329,42434,10365,161
2021-01-28,New York,1383112,42639,13783,205
2021-01-29,New York,1396063,42825,12951,186
2021-01-30,New York,1408955,42996,12892,171
2021-01-31,New York,1420164,43178,11209,182
2021-02-01,New York,1429096,43354,8932,176
2021-02-02,New York,1437045,43524,7949,170
2021-02-03,New York,1444199,43687,7154,163
2021-02-04,New York,1451169,43842,6970,155
2021-02-05,New York,1459066,44012,7897,170
2021-02-06,New York,1470558,44210,11492,198
2021-02-07,New York,1480481,44387,9923,177
2021-02-08,New York,1489453,44512,8972,125
2021-02-09,New York,1497732,44683,8279,171
2021-02-10,New York,1504316,44851,6584,168
2021-02-11,New York,1514327,44992,10011,141
2021-02-12,New York,1523042,45138,8715,146
2021-02-13,New York,1531797,45295,8755,157
2021-02-14,New York,1540127,45431,8330,136
2021-02-15,New York,1546665,45552,6538,121
2021-02-16,New York,1553374,45683,6709,131
2021-02-17,New York,1559299,45807,5925,124
2021-02-18,New York,1568881,45957,9582,150
2021-02-19,New York,1577454,46119,8573,162
2021-02-20,New York,1585692,46233,8238,114
2021-02-21,New York,1591929,46346,6237,113
2021-02-22,New York,1598226,46454,6297,108
2021-02-23,New York,1605149,46562,6923,108
2021-02-24,New York,1611288,46680,6139,118
2021-02-25,New York,1620181,46790,8893,110
2021-02-26,New York,1628255,46914,8074,124
2021-02-27,New York,1636297,47025,8042,111
2021-02-28,New York,1644124,47143,7827,118
2021-03-01,New York,1650560,47247,6436,104
2021-03-02,New York,1656941,47345,6381,98
2021-03-03,New York,1663505,47464,6564,119
2021-03-04,New York,1670973,47565,7468,101
2021-03-05,New York,1679124,47672,8151,107
2021-03-06,New York,1687250,47767,8126,95
2021-03-07,New York,1694908,47857,7658,90
2021-03-08,New York,1700348,47921,5440,64
2021-03-09,New York,1707181,48000,6833,79
2021-03-10,New York,1713287,48092,6106,92
2021-03-11,New York,1720456,48208,7169,116
2021-03-12,New York,1728900,48277,8444,69
2021-03-13,New York,1734933,48370,6033,93
2021-03-14,New York,1741620,48475,6687,105
2021-03-15,New York,1748739,48537,7119,62
2021-03-16,New York,1755450,48624,6711,87
2021-03-17,New York,1762032,48686,6582,62
2021-03-18,New York,1767547,48773,5515,87
2021-03-19,New York,1772624,48848,5077,75
2021-03-20,New York,1779291,48916,6667,68
2021-03-21,New York,1783026,48942,3735,26
2021-03-22,New York,1787934,48959,4908,17
2021-03-23,New York,1794735,48977,6801,18
2021-03-24,New York,1814919,49231,20184,254
2021-03-25,New York,1823602,49305,8683,74
2021-03-26,New York,1831605,49363,8003,58
2021-03-27,New York,1840338,49446,8733,83
2021-03-28,New York,1849190,49537,8852,91
2021-03-29,New York,1858162,49648,8972,111
2021-03-30,New York,1863912,49696,5750,48
2021-03-31,New York,1871595,49790,7683,94
2021-04-01,New York,1880768,49872,9173,82
2021-04-02,New York,1888823,49946,8055,74
2021-04-03,New York,1896534,50042,7711,96
2021-04-04,New York,1904141,50124,7607,82
2021-04-05,New York,1910858,50195,6717,71
2021-04-06,New York,1916964,50239,6106,44
2021-04-07,New York,1923414,50332,6450,93
2021-04-08,New York,1932145,50388,8731,56
2021-04-09,New York,1940703,50465,8558,77
2021-04-10,New York,1948232,50527,7529,62
2021-04-11,New York,1954809,50610,6577,83
2021-04-12,New York,1960567,50693,5758,83
2021-04-13,New York,1965610,50745,5043,52
2021-04-14,New York,1971610,50839,6000,94
2021-04-15,New York,1978594,50912,6984,73
2021-04-16,New York,1984884,50965,6290,53
