date,state,total cases,total deaths,new cases,new deaths
2020-03-09,Ohio,3,0,3,0
2020-03-10,Ohio,3,0,0,0
2020-03-11,Ohio,4,0,1,0
2020-03-12,Ohio,5,0,1,0
2020-03-13,Ohio,13,0,8,0
2020-03-14,Ohio,26,0,13,0
2020-03-15,Ohio,37,0,11,0
2020-03-16,Ohio,50,0,13,0
2020-03-17,Ohio,67,0,17,0
2020-03-18,Ohio,90,0,23,0
2020-03-19,Ohio,120,0,30,0
2020-03-20,Ohio,169,1,49,1
2020-03-21,Ohio,247,3,78,2
2020-03-22,Ohio,351,3,104,0
2020-03-23,Ohio,444,6,93,3
2020-03-24,Ohio,564,8,120,2
2020-03-25,Ohio,707,11,143,3
2020-03-26,Ohio,867,15,160,4
2020-03-27,Ohio,1144,22,277,7
2020-03-28,Ohio,1406,25,262,3
2020-03-29,Ohio,1665,30,259,5
2020-03-30,Ohio,1933,40,268,10
2020-03-31,Ohio,2199,55,266,15
2020-04-01,Ohio,2548,65,349,10
2020-04-02,Ohio,2903,81,355,16
2020-04-03,Ohio,3312,91,409,10
2020-04-04,Ohio,3739,102,427,11
2020-04-05,Ohio,4043,119,304,17
2020-04-06,Ohio,4450,142,407,23
2020-04-07,Ohio,4783,167,333,25
2020-04-08,Ohio,5149,193,366,26
2020-04-09,Ohio,5513,213,364,20
2020-04-10,Ohio,5879,231,366,18
2020-04-11,Ohio,6251,247,372,16
2020-04-12,Ohio,6605,253,354,6
2020-04-13,Ohio,6975,274,370,21
2020-04-14,Ohio,7280,324,305,50
2020-04-15,Ohio,7791,361,511,37
2020-04-16,Ohio,8414,389,623,28
2020-04-17,Ohio,9107,418,693,29
2020-04-18,Ohio,10222,451,1115,33
2020-04-19,Ohio,11602,471,1380,20
2020-04-20,Ohio,12919,509,1317,38
2020-04-21,Ohio,13725,557,806,48
2020-04-22,Ohio,14117,610,392,53
2020-04-23,Ohio,14694,656,577,46
2020-04-24,Ohio,15169,690,475,34
2020-04-25,Ohio,15587,711,418,21
2020-04-26,Ohio,15963,728,376,17
2020-04-27,Ohio,16325,753,362,25
2020-04-28,Ohio,16769,799,444,46
2020-04-29,Ohio,17303,937,534,138
2020-04-30,Ohio,18027,975,724,38
2020-05-01,Ohio,18743,1002,716,27
2020-05-02,Ohio,19335,1021,592,19
2020-05-03,Ohio,19914,1038,579,17
2020-05-04,Ohio,20474,1056,560,18
2020-05-05,Ohio,20969,1135,495,79
2020-05-06,Ohio,21576,1225,607,90
2020-05-07,Ohio,22131,1271,555,46
2020-05-08,Ohio,23018,1306,887,35
2020-05-09,Ohio,23697,1331,679,25
2020-05-10,Ohio,24086,1341,389,10
2020-05-11,Ohio,24785,1357,699,16
2020-05-12,Ohio,25257,1436,472,79
2020-05-13,Ohio,25727,1483,470,47
2020-05-14,Ohio,26363,1534,636,51
2020-05-15,Ohio,26956,1581,593,47
2020-05-16,Ohio,27476,1610,520,29
2020-05-17,Ohio,27925,1625,449,15
2020-05-18,Ohio,28455,1657,530,32
2020-05-19,Ohio,28953,1720,498,63
2020-05-20,Ohio,29437,1781,484,61
2020-05-21,Ohio,30168,1836,731,55
2020-05-22,Ohio,30795,1872,627,36
2020-05-23,Ohio,31408,1956,613,84
2020-05-24,Ohio,31911,1969,503,13
2020-05-25,Ohio,32477,1987,566,18
2020-05-26,Ohio,33006,2002,529,15
2020-05-27,Ohio,33439,2044,433,42
2020-05-28,Ohio,33915,2098,476,54
2020-05-29,Ohio,34566,2131,651,33
2020-05-30,Ohio,35034,2149,468,18
