date,state,total cases,total deaths,new cases,new deaths
2020-03-06,Oklahoma,1,0,1,0
2020-03-07,Oklahoma,1,0,0,0
2020-03-08,Oklahoma,1,0,0,0
2020-03-09,Oklahoma,1,0,0,0
2020-03-10,Oklahoma,2,0,1,0
2020-03-11,Oklahoma,2,0,0,0
2020-03-12,Oklahoma,2,0,0,0
2020-03-13,Oklahoma,3,0,1,0
2020-03-14,Oklahoma,4,0,1,0
2020-03-15,Oklahoma,8,0,4,0
2020-03-16,Oklahoma,10,0,2,0
2020-03-17,Oklahoma,18,0,8,0
2020-03-18,Oklahoma,29,0,11,0
2020-03-19,Oklahoma,44,1,15,1
2020-03-20,Oklahoma,49,1,5,0
2020-03-21,Oklahoma,53,1,4,0
2020-03-22,Oklahoma,67,2,14,1
2020-03-23,Oklahoma,81,2,14,0
2020-03-24,Oklahoma,106,3,25,1
2020-03-25,Oklahoma,164,5,58,2
2020-03-26,Oklahoma,248,7,84,2
2020-03-27,Oklahoma,322,8,74,1
2020-03-28,Oklahoma,377,15,55,7
2020-03-29,Oklahoma,429,16,52,1
2020-03-30,Oklahoma,481,17,52,1
2020-03-31,Oklahoma,566,23,85,6
2020-04-01,Oklahoma,719,30,153,7
2020-04-02,Oklahoma,879,34,160,4
2020-04-03,Oklahoma,989,38,110,4
2020-04-04,Oklahoma,1159,42,170,4
2020-04-05,Oklahoma,1251,46,92,4
2020-04-06,Oklahoma,1326,51,75,5
2020-04-07,Oklahoma,1470,67,144,16
2020-04-08,Oklahoma,1523,79,53,12
2020-04-09,Oklahoma,1683,80,160,1
2020-04-10,Oklahoma,1794,88,111,8
2020-04-11,Oklahoma,1868,93,74,5
2020-04-12,Oklahoma,1970,96,102,3
2020-04-13,Oklahoma,2069,98,99,2
2020-04-14,Oklahoma,2184,109,115,11
2020-04-15,Oklahoma,2263,123,79,14
2020-04-16,Oklahoma,2357,131,94,8
2020-04-17,Oklahoma,2465,136,108,5
2020-04-18,Oklahoma,2570,139,105,3
2020-04-19,Oklahoma,2599,140,29,1
2020-04-20,Oklahoma,2680,143,81,3
2020-04-21,Oklahoma,2807,164,127,21
2020-04-22,Oklahoma,2894,169,87,5
2020-04-23,Oklahoma,3017,179,123,10
2020-04-24,Oklahoma,3120,188,103,9
2020-04-25,Oklahoma,3193,194,73,6
2020-04-26,Oklahoma,3253,195,60,1
2020-04-27,Oklahoma,3280,197,27,2
2020-04-28,Oklahoma,3410,207,130,10
2020-04-29,Oklahoma,3473,214,63,7
2020-04-30,Oklahoma,3618,222,145,8
2020-05-01,Oklahoma,3748,230,130,8
2020-05-02,Oklahoma,3851,238,103,8
2020-05-03,Oklahoma,3972,238,121,0
2020-05-04,Oklahoma,4044,238,72,0
2020-05-05,Oklahoma,4127,247,83,9
2020-05-06,Oklahoma,4201,253,74,6
2020-05-07,Oklahoma,4330,260,129,7
2020-05-08,Oklahoma,4424,266,94,6
2020-05-09,Oklahoma,4490,270,66,4
2020-05-10,Oklahoma,4589,272,99,2
2020-05-11,Oklahoma,4613,274,24,2
2020-05-12,Oklahoma,4731,278,118,4
