date,state,total cases,total deaths,new cases,new deaths
2020-02-28,Oregon,1,0,1,0
2020-02-29,Oregon,1,0,0,0
2020-03-01,Oregon,2,0,1,0
2020-03-02,Oregon,2,0,0,0
2020-03-03,Oregon,2,0,0,0
2020-03-04,Oregon,2,0,0,0
2020-03-05,Oregon,2,0,0,0
2020-03-06,Oregon,2,0,0,0
2020-03-07,Oregon,6,0,4,0
2020-03-08,Oregon,13,0,7,0
2020-03-09,Oregon,13,0,0,0
2020-03-10,Oregon,14,0,1,0
2020-03-11,Oregon,20,0,6,0
2020-03-12,Oregon,30,0,10,0
2020-03-13,Oregon,30,0,0,0
2020-03-14,Oregon,36,1,6,1
2020-03-15,Oregon,39,1,3,0
2020-03-16,Oregon,46,1,7,0
2020-03-17,Oregon,66,2,20,1
2020-03-18,Oregon,74,3,8,1
2020-03-19,Oregon,87,3,13,0
2020-03-20,Oregon,114,3,27,0
2020-03-21,Oregon,137,4,23,1
2020-03-22,Oregon,161,5,24,1
2020-03-23,Oregon,191,5,30,0
2020-03-24,Oregon,209,8,18,3
2020-03-25,Oregon,266,10,57,2
2020-03-26,Oregon,316,11,50,1
2020-03-27,Oregon,415,12,99,1
2020-03-28,Oregon,480,13,65,1
2020-03-29,Oregon,549,13,69,0
2020-03-30,Oregon,607,16,58,3
2020-03-31,Oregon,690,18,83,2
2020-04-01,Oregon,737,19,47,1
2020-04-02,Oregon,827,21,90,2
2020-04-03,Oregon,899,22,72,1
2020-04-04,Oregon,1000,26,101,4
2020-04-05,Oregon,1068,27,68,1
2020-04-06,Oregon,1132,29,64,2
2020-04-07,Oregon,1181,33,49,4
2020-04-08,Oregon,1239,38,58,5
2020-04-09,Oregon,1321,44,82,6
2020-04-10,Oregon,1371,48,50,4
2020-04-11,Oregon,1447,51,76,3
2020-04-12,Oregon,1527,52,80,1
2020-04-13,Oregon,1584,53,57,1
2020-04-14,Oregon,1633,55,49,2
2020-04-15,Oregon,1663,58,30,3
2020-04-16,Oregon,1736,64,73,6
2020-04-17,Oregon,1785,70,49,6
2020-04-18,Oregon,1844,72,59,2
2020-04-19,Oregon,1910,74,66,2
2020-04-20,Oregon,1956,75,46,1
2020-04-21,Oregon,2002,78,46,3
2020-04-22,Oregon,2059,78,57,0
2020-04-23,Oregon,2127,83,68,5
2020-04-24,Oregon,2177,86,50,3
2020-04-25,Oregon,2253,87,76,1
2020-04-26,Oregon,2311,91,58,4
2020-04-27,Oregon,2354,92,43,1
2020-04-28,Oregon,2385,99,31,7
2020-04-29,Oregon,2446,101,61,2
2020-04-30,Oregon,2510,103,64,2
2020-05-01,Oregon,2579,104,69,1
2020-05-02,Oregon,2635,109,56,5
2020-05-03,Oregon,2680,109,45,0
2020-05-04,Oregon,2759,109,79,0
2020-05-05,Oregon,2839,113,80,4
2020-05-06,Oregon,2916,115,77,2
2020-05-07,Oregon,2989,121,73,6
2020-05-08,Oregon,3068,124,79,3
2020-05-09,Oregon,3160,127,92,3
2020-05-10,Oregon,3228,127,68,0
2020-05-11,Oregon,3286,130,58,3
2020-05-12,Oregon,3359,130,73,0
2020-05-13,Oregon,3416,134,57,4
2020-05-14,Oregon,3479,137,63,3
2020-05-15,Oregon,3541,137,62,0
2020-05-16,Oregon,3612,137,71,0
2020-05-17,Oregon,3623,137,11,0
2020-05-18,Oregon,3687,138,64,1
2020-05-19,Oregon,3726,140,39,2
2020-05-20,Oregon,3801,144,75,4
2020-05-21,Oregon,3817,145,16,1
2020-05-22,Oregon,3864,147,47,2
2020-05-23,Oregon,3888,147,24,0
2020-05-24,Oregon,3927,148,39,1
2020-05-25,Oregon,3949,148,22,0
2020-05-26,Oregon,3968,148,19,0
2020-05-27,Oregon,4041,148,73,0
2020-05-28,Oregon,4087,151,46,3
2020-05-29,Oregon,4133,151,46,0
2020-05-30,Oregon,4185,153,52,2
2020-05-31,Oregon,4243,153,58,0
2020-06-01,Oregon,4303,154,60,1
2020-06-02,Oregon,4338,157,35,3
2020-06-03,Oregon,4399,159,61,2
2020-06-04,Oregon,4475,159,76,0
2020-06-05,Oregon,4585,161,110,2
2020-06-06,Oregon,4672,163,87,2
2020-06-07,Oregon,4809,164,137,1
2020-06-08,Oregon,4927,164,118,0
2020-06-09,Oregon,5027,169,100,5
2020-06-10,Oregon,5099,169,72,0
2020-06-11,Oregon,5252,171,153,2
2020-06-12,Oregon,5388,174,136,3
2020-06-13,Oregon,5543,175,155,1
2020-06-14,Oregon,5644,176,101,1
2020-06-15,Oregon,5831,180,187,4
2020-06-16,Oregon,6111,182,280,2
2020-06-17,Oregon,6235,183,124,1
2020-06-18,Oregon,6390,187,155,4
2020-06-19,Oregon,6592,188,202,1
2020-06-20,Oregon,6682,188,90,0
2020-06-21,Oregon,6945,190,263,2
2020-06-22,Oregon,7115,192,170,2
2020-06-23,Oregon,7317,192,202,0
2020-06-24,Oregon,7462,195,145,3
2020-06-25,Oregon,7605,199,143,4
2020-06-26,Oregon,8008,204,403,5
2020-06-27,Oregon,8110,204,102,0
2020-06-28,Oregon,8348,204,238,0
2020-06-29,Oregon,8509,207,161,3
2020-06-30,Oregon,8695,210,186,3
2020-07-01,Oregon,9019,211,324,1
2020-07-02,Oregon,9344,212,325,1
2020-07-03,Oregon,9643,215,299,3
2020-07-04,Oregon,9937,216,294,1
2020-07-05,Oregon,10237,218,300,2
2020-07-06,Oregon,10413,218,176,0
2020-07-07,Oregon,10654,224,241,6
2020-07-08,Oregon,10872,228,218,4
2020-07-09,Oregon,11247,233,375,5
