date,state,total cases,total deaths,new cases,new deaths
2020-03-13,Puerto Rico,3,0,3,0
2020-03-14,Puerto Rico,4,0,1,0
2020-03-15,Puerto Rico,5,0,1,0
2020-03-16,Puerto Rico,5,0,0,0
2020-03-17,Puerto Rico,5,0,0,0
2020-03-18,Puerto Rico,5,0,0,0
2020-03-19,Puerto Rico,6,0,1,0
2020-03-20,Puerto Rico,14,0,8,0
2020-03-21,Puerto Rico,21,1,7,1
2020-03-22,Puerto Rico,23,1,2,0
2020-03-23,Puerto Rico,31,2,8,1
2020-03-24,Puerto Rico,39,2,8,0
2020-03-25,Puerto Rico,51,2,12,0
2020-03-26,Puerto Rico,64,2,13,0
2020-03-27,Puerto Rico,79,3,15,1
2020-03-28,Puerto Rico,100,3,21,0
2020-03-29,Puerto Rico,127,5,27,2
2020-03-30,Puerto Rico,174,6,47,1
2020-03-31,Puerto Rico,239,8,65,2
2020-04-01,Puerto Rico,286,11,47,3
2020-04-02,Puerto Rico,316,12,30,1
2020-04-03,Puerto Rico,378,15,62,3
2020-04-04,Puerto Rico,452,18,74,3
2020-04-05,Puerto Rico,475,20,23,2
2020-04-06,Puerto Rico,513,21,38,1
2020-04-07,Puerto Rico,573,23,60,2
2020-04-08,Puerto Rico,620,24,47,1
2020-04-09,Puerto Rico,683,33,63,9
2020-04-10,Puerto Rico,725,39,42,6
2020-04-11,Puerto Rico,788,42,63,3
2020-04-12,Puerto Rico,897,44,109,2
2020-04-13,Puerto Rico,903,45,6,1
2020-04-14,Puerto Rico,923,45,20,0
2020-04-15,Puerto Rico,974,51,51,6
2020-04-16,Puerto Rico,1043,56,69,5
2020-04-17,Puerto Rico,1068,58,25,2
2020-04-18,Puerto Rico,1118,60,50,2
2020-04-19,Puerto Rico,1213,41,95,0
2020-04-20,Puerto Rico,1252,42,39,1
2020-04-21,Puerto Rico,915,43,0,1
2020-04-22,Puerto Rico,915,46,0,3
2020-04-23,Puerto Rico,1230,69,315,23
2020-04-24,Puerto Rico,1276,77,46,8
2020-04-25,Puerto Rico,1307,83,31,6
2020-04-26,Puerto Rico,1371,84,64,1
2020-04-27,Puerto Rico,1388,84,17,0
2020-04-28,Puerto Rico,1400,86,12,2
2020-04-29,Puerto Rico,1465,86,65,0
2020-04-30,Puerto Rico,1537,92,72,6
2020-05-01,Puerto Rico,1573,94,36,2
2020-05-02,Puerto Rico,1755,95,182,1
2020-05-03,Puerto Rico,1806,97,51,2
2020-05-04,Puerto Rico,1875,97,69,0
2020-05-05,Puerto Rico,1924,99,49,2
2020-05-06,Puerto Rico,1968,99,44,0
2020-05-07,Puerto Rico,2031,102,63,3
2020-05-08,Puerto Rico,2156,107,125,5
2020-05-09,Puerto Rico,2173,108,17,1
2020-05-10,Puerto Rico,2198,111,25,3
2020-05-11,Puerto Rico,2256,113,58,2
2020-05-12,Puerto Rico,2299,114,43,1
2020-05-13,Puerto Rico,2329,115,30,1
2020-05-14,Puerto Rico,2427,117,98,2
2020-05-15,Puerto Rico,2542,122,115,5
2020-05-16,Puerto Rico,2589,122,47,0
2020-05-17,Puerto Rico,2646,123,57,1
2020-05-18,Puerto Rico,2710,124,64,1
2020-05-19,Puerto Rico,2805,124,95,0
2020-05-20,Puerto Rico,2866,125,61,1
2020-05-21,Puerto Rico,2913,126,47,1
2020-05-22,Puerto Rico,3030,126,117,0
2020-05-23,Puerto Rico,3100,127,70,1
2020-05-24,Puerto Rico,3189,127,89,0
2020-05-25,Puerto Rico,3260,129,71,2
2020-05-26,Puerto Rico,3324,129,64,0
2020-05-27,Puerto Rico,3397,129,73,0
2020-05-28,Puerto Rico,3486,131,89,2
2020-05-29,Puerto Rico,3647,132,161,1
2020-05-30,Puerto Rico,3718,133,71,1
2020-05-31,Puerto Rico,3776,136,58,3
2020-06-01,Puerto Rico,3873,136,97,0
2020-06-02,Puerto Rico,3935,138,62,2
2020-06-03,Puerto Rico,4023,140,88,2
2020-06-04,Puerto Rico,4508,140,485,0
2020-06-05,Puerto Rico,4620,141,112,1
2020-06-06,Puerto Rico,4915,142,295,1
2020-06-07,Puerto Rico,4985,142,70,0
2020-06-08,Puerto Rico,5046,142,61,0
2020-06-09,Puerto Rico,5185,142,139,0
2020-06-10,Puerto Rico,5329,143,144,1
2020-06-11,Puerto Rico,5352,144,23,1
2020-06-12,Puerto Rico,5536,146,184,2
2020-06-13,Puerto Rico,5690,146,154,0
2020-06-14,Puerto Rico,5811,147,121,1
2020-06-15,Puerto Rico,5890,147,79,0
2020-06-16,Puerto Rico,5951,147,61,0
2020-06-17,Puerto Rico,6003,147,52,0
2020-06-18,Puerto Rico,6111,147,108,0
2020-06-19,Puerto Rico,6195,147,84,0
2020-06-20,Puerto Rico,6463,147,268,0
2020-06-21,Puerto Rico,6525,149,62,2
2020-06-22,Puerto Rico,6564,149,39,0
2020-06-23,Puerto Rico,6685,149,121,0
2020-06-24,Puerto Rico,6820,149,135,0
2020-06-25,Puerto Rico,6877,151,57,2
2020-06-26,Puerto Rico,6922,151,45,0
2020-06-27,Puerto Rico,7066,152,144,1
2020-06-28,Puerto Rico,7189,153,123,1
2020-06-29,Puerto Rico,7250,153,61,0
2020-06-30,Puerto Rico,7465,153,215,0
2020-07-01,Puerto Rico,7537,153,72,0
2020-07-02,Puerto Rico,7608,153,71,0
2020-07-03,Puerto Rico,7683,154,75,1
2020-07-04,Puerto Rico,7787,155,104,1
2020-07-05,Puerto Rico,7916,155,129,0
2020-07-06,Puerto Rico,8585,155,669,0
2020-07-07,Puerto Rico,8714,157,129,2
2020-07-08,Puerto Rico,8745,159,31,2
2020-07-09,Puerto Rico,8862,159,117,0
2020-07-10,Puerto Rico,9137,159,275,0
2020-07-11,Puerto Rico,9366,167,229,8
2020-07-12,Puerto Rico,9654,167,288,0
2020-07-13,Puerto Rico,10010,167,356,0
2020-07-14,Puerto Rico,10123,169,113,2
2020-07-15,Puerto Rico,10379,171,256,2
2020-07-16,Puerto Rico,10574,172,195,1
2020-07-17,Puerto Rico,11120,177,546,5
2020-07-18,Puerto Rico,11453,178,333,1
2020-07-19,Puerto Rico,12063,178,610,0
2020-07-20,Puerto Rico,12461,180,398,2
2020-07-21,Puerto Rico,12940,180,479,0
2020-07-22,Puerto Rico,13038,185,98,5
2020-07-23,Puerto Rico,13473,188,435,3
2020-07-24,Puerto Rico,13967,191,494,3
2020-07-25,Puerto Rico,14540,201,573,10
2020-07-26,Puerto Rico,15143,201,603,0
2020-07-27,Puerto Rico,15431,201,288,0
2020-07-28,Puerto Rico,15840,209,409,8
2020-07-29,Puerto Rico,16061,211,221,2
2020-07-30,Puerto Rico,16572,214,511,3
2020-07-31,Puerto Rico,16781,219,209,5
2020-08-01,Puerto Rico,17872,225,1091,6
2020-08-02,Puerto Rico,18411,230,539,5
2020-08-03,Puerto Rico,18791,230,380,0
2020-08-04,Puerto Rico,19324,237,533,7
2020-08-05,Puerto Rico,19651,246,327,9
