date,state,total cases,total deaths,new cases,new deaths
2020-03-01,Rhode Island,2,0,2,0
2020-03-02,Rhode Island,2,0,0,0
2020-03-03,Rhode Island,2,0,0,0
2020-03-04,Rhode Island,2,0,0,0
2020-03-05,Rhode Island,2,0,0,0
2020-03-06,Rhode Island,3,0,1,0
2020-03-07,Rhode Island,3,0,0,0
2020-03-08,Rhode Island,3,0,0,0
2020-03-09,Rhode Island,3,0,0,0
2020-03-10,Rhode Island,5,0,2,0
2020-03-11,Rhode Island,5,0,0,0
2020-03-12,Rhode Island,5,0,0,0
2020-03-13,Rhode Island,20,0,15,0
2020-03-14,Rhode Island,20,0,0,0
2020-03-15,Rhode Island,20,0,0,0
2020-03-16,Rhode Island,21,0,1,0
2020-03-17,Rhode Island,23,0,2,0
2020-03-18,Rhode Island,33,0,10,0
2020-03-19,Rhode Island,44,0,11,0
2020-03-20,Rhode Island,44,0,0,0
2020-03-21,Rhode Island,66,0,22,0
2020-03-22,Rhode Island,83,0,17,0
2020-03-23,Rhode Island,106,0,23,0
2020-03-24,Rhode Island,124,0,18,0
2020-03-25,Rhode Island,132,0,8,0
2020-03-26,Rhode Island,165,0,33,0
2020-03-27,Rhode Island,203,0,38,0
2020-03-28,Rhode Island,239,2,36,2
2020-03-29,Rhode Island,294,3,55,1
2020-03-30,Rhode Island,408,4,114,1
2020-03-31,Rhode Island,488,8,80,4
2020-04-01,Rhode Island,566,10,78,2
2020-04-02,Rhode Island,657,12,91,2
2020-04-03,Rhode Island,711,14,54,2
2020-04-04,Rhode Island,806,17,95,3
2020-04-05,Rhode Island,922,25,116,8
2020-04-06,Rhode Island,1082,27,160,2
2020-04-07,Rhode Island,1229,30,147,3
2020-04-08,Rhode Island,1450,35,221,5
2020-04-09,Rhode Island,1727,43,277,8
2020-04-10,Rhode Island,2015,49,288,6
2020-04-11,Rhode Island,2349,56,334,7
2020-04-12,Rhode Island,2665,63,316,7
2020-04-13,Rhode Island,2976,73,311,10
2020-04-14,Rhode Island,3251,80,275,7
2020-04-15,Rhode Island,3529,87,278,7
2020-04-16,Rhode Island,3838,105,309,18
2020-04-17,Rhode Island,4177,118,339,13
2020-04-18,Rhode Island,4491,137,314,19
2020-04-19,Rhode Island,4706,150,215,13
2020-04-20,Rhode Island,5090,155,384,5
2020-04-21,Rhode Island,5500,171,410,16
2020-04-22,Rhode Island,5841,181,341,10
2020-04-23,Rhode Island,6256,189,415,8
2020-04-24,Rhode Island,6699,202,443,13
2020-04-25,Rhode Island,7129,215,430,13
2020-04-26,Rhode Island,7439,226,310,11
2020-04-27,Rhode Island,7708,233,269,7
2020-04-28,Rhode Island,7926,239,218,6
2020-04-29,Rhode Island,8247,251,321,12
2020-04-30,Rhode Island,8621,266,374,15
2020-05-01,Rhode Island,8962,279,341,13
2020-05-02,Rhode Island,9289,296,327,17
2020-05-03,Rhode Island,9477,320,188,24
2020-05-04,Rhode Island,9652,341,175,21
2020-05-05,Rhode Island,9933,355,281,14
2020-05-06,Rhode Island,10205,370,272,15
2020-05-07,Rhode Island,10530,388,325,18
2020-05-08,Rhode Island,10779,399,249,11
2020-05-09,Rhode Island,10989,418,210,19
2020-05-10,Rhode Island,11274,422,285,4
2020-05-11,Rhode Island,11450,430,176,8
2020-05-12,Rhode Island,11614,444,164,14
2020-05-13,Rhode Island,11835,462,221,18
2020-05-14,Rhode Island,12016,468,181,6
2020-05-15,Rhode Island,12219,479,203,11
2020-05-16,Rhode Island,12434,489,215,10
2020-05-17,Rhode Island,12674,499,240,10
2020-05-18,Rhode Island,12795,506,121,7
2020-05-19,Rhode Island,12951,532,156,26
2020-05-20,Rhode Island,13356,538,405,6
2020-05-21,Rhode Island,13571,556,215,18
2020-05-22,Rhode Island,13736,579,165,23
2020-05-23,Rhode Island,13952,597,216,18
2020-05-24,Rhode Island,14065,608,113,11
2020-05-25,Rhode Island,14065,608,0,0
2020-05-26,Rhode Island,14210,634,145,26
2020-05-27,Rhode Island,14353,655,143,21
2020-05-28,Rhode Island,14494,677,141,22
2020-05-29,Rhode Island,14635,693,141,16
2020-05-30,Rhode Island,14819,711,184,18
2020-05-31,Rhode Island,14928,718,109,7
2020-06-01,Rhode Island,14991,720,63,2
2020-06-02,Rhode Island,15112,732,121,12
2020-06-03,Rhode Island,15219,742,107,10
2020-06-04,Rhode Island,15325,756,106,14
2020-06-05,Rhode Island,15441,772,116,16
2020-06-06,Rhode Island,15441,772,0,0
2020-06-07,Rhode Island,15441,772,0,0
2020-06-08,Rhode Island,15642,799,201,27
2020-06-09,Rhode Island,15691,808,49,9
2020-06-10,Rhode Island,15756,812,65,4
2020-06-11,Rhode Island,15862,823,106,11
2020-06-12,Rhode Island,15947,833,85,10
2020-06-13,Rhode Island,15947,833,0,0
2020-06-14,Rhode Island,15947,833,0,0
2020-06-15,Rhode Island,16093,851,146,18
2020-06-16,Rhode Island,16164,865,71,14
2020-06-17,Rhode Island,16213,876,49,11
2020-06-18,Rhode Island,16269,885,56,9
2020-06-19,Rhode Island,16337,894,68,9
2020-06-20,Rhode Island,16337,894,0,0
2020-06-21,Rhode Island,16337,894,0,0
2020-06-22,Rhode Island,16459,903,122,9
2020-06-23,Rhode Island,16533,906,74,3
2020-06-24,Rhode Island,16606,912,73,6
2020-06-25,Rhode Island,16640,920,34,8
2020-06-26,Rhode Island,16661,927,21,7
2020-06-27,Rhode Island,16661,927,0,0
2020-06-28,Rhode Island,16661,927,0,0
2020-06-29,Rhode Island,16764,946,103,19
2020-06-30,Rhode Island,16813,950,49,4
2020-07-01,Rhode Island,16853,956,40,6
2020-07-02,Rhode Island,16941,959,88,3
2020-07-03,Rhode Island,16991,960,50,1
2020-07-04,Rhode Island,16991,960,0,0
2020-07-05,Rhode Island,16991,960,0,0
2020-07-06,Rhode Island,16991,960,0,0
2020-07-07,Rhode Island,17154,969,163,9
2020-07-08,Rhode Island,17204,971,50,2
2020-07-09,Rhode Island,17243,974,39,3
2020-07-10,Rhode Island,17312,976,69,2
2020-07-11,Rhode Island,17312,976,0,0
2020-07-12,Rhode Island,17312,976,0,0
2020-07-13,Rhode Island,17487,984,175,8
2020-07-14,Rhode Island,17588,985,101,1
2020-07-15,Rhode Island,17640,987,52,2
2020-07-16,Rhode Island,17711,988,71,1
2020-07-17,Rhode Island,17793,990,82,2
2020-07-18,Rhode Island,17793,990,0,0
2020-07-19,Rhode Island,17793,990,0,0
2020-07-20,Rhode Island,17904,995,111,5
2020-07-21,Rhode Island,17986,996,82,1
2020-07-22,Rhode Island,18062,997,76,1
2020-07-23,Rhode Island,18148,1001,86,4
2020-07-24,Rhode Island,18224,1002,76,1
2020-07-25,Rhode Island,18224,1002,0,0
2020-07-26,Rhode Island,18224,1002,0,0
2020-07-27,Rhode Island,18515,1004,291,2
2020-07-28,Rhode Island,18725,1005,210,1
2020-07-29,Rhode Island,18800,1007,75,2
2020-07-30,Rhode Island,18950,1007,150,0
2020-07-31,Rhode Island,19022,1007,72,0
2020-08-01,Rhode Island,19022,1007,0,0
2020-08-02,Rhode Island,19022,1007,0,0
2020-08-03,Rhode Island,19246,1010,224,3
2020-08-04,Rhode Island,19390,1011,144,1
2020-08-05,Rhode Island,19481,1012,91,1
2020-08-06,Rhode Island,19611,1014,130,2
2020-08-07,Rhode Island,19738,1014,127,0
2020-08-08,Rhode Island,19738,1014,0,0
2020-08-09,Rhode Island,19738,1014,0,0
2020-08-10,Rhode Island,19934,1015,196,1
2020-08-11,Rhode Island,20053,1016,119,1
2020-08-12,Rhode Island,20129,1018,76,2
2020-08-13,Rhode Island,20240,1019,111,1
2020-08-14,Rhode Island,20335,1021,95,2
2020-08-15,Rhode Island,20335,1021,0,0
2020-08-16,Rhode Island,20335,1021,0,0
2020-08-17,Rhode Island,20572,1023,237,2
2020-08-18,Rhode Island,20692,1024,120,1
2020-08-19,Rhode Island,20795,1027,103,3
2020-08-20,Rhode Island,20871,1028,76,1
2020-08-21,Rhode Island,21022,1030,151,2
2020-08-22,Rhode Island,21022,1030,0,0
2020-08-23,Rhode Island,21022,1030,0,0
2020-08-24,Rhode Island,21302,1035,280,5
2020-08-25,Rhode Island,21372,1039,70,4
2020-08-26,Rhode Island,21454,1041,82,2
2020-08-27,Rhode Island,21589,1044,135,3
2020-08-28,Rhode Island,21683,1046,94,2
2020-08-29,Rhode Island,21683,1046,0,0
2020-08-30,Rhode Island,21683,1046,0,0
2020-08-31,Rhode Island,21949,1048,266,2
2020-09-01,Rhode Island,22002,1050,53,2
2020-09-02,Rhode Island,22078,1051,76,1
2020-09-03,Rhode Island,22143,1055,65,4
2020-09-04,Rhode Island,22243,1055,100,0
2020-09-05,Rhode Island,22243,1055,0,0
2020-09-06,Rhode Island,22243,1055,0,0
2020-09-07,Rhode Island,22243,1055,0,0
2020-09-08,Rhode Island,22592,1059,349,4
2020-09-09,Rhode Island,22676,1062,84,3
2020-09-10,Rhode Island,22782,1067,106,5
2020-09-11,Rhode Island,22905,1071,123,4
2020-09-12,Rhode Island,22905,1071,0,0
2020-09-13,Rhode Island,22905,1071,0,0
2020-09-14,Rhode Island,23130,1075,225,4
2020-09-15,Rhode Island,23250,1078,120,3
2020-09-16,Rhode Island,23358,1081,108,3
2020-09-17,Rhode Island,23488,1085,130,4
2020-09-18,Rhode Island,23620,1088,132,3
2020-09-19,Rhode Island,23620,1088,0,0
2020-09-20,Rhode Island,23620,1088,0,0
2020-09-21,Rhode Island,23932,1097,312,9
2020-09-22,Rhode Island,24044,1099,112,2
2020-09-23,Rhode Island,24177,1102,133,3
2020-09-24,Rhode Island,24311,1106,134,4
2020-09-25,Rhode Island,24181,1107,0,1
2020-09-26,Rhode Island,24181,1107,0,0
2020-09-27,Rhode Island,24181,1107,0,0
2020-09-28,Rhode Island,24424,1110,243,3
2020-09-29,Rhode Island,24556,1113,132,3
2020-09-30,Rhode Island,24748,1114,192,1
2020-10-01,Rhode Island,24914,1117,166,3
2020-10-02,Rhode Island,25076,1118,162,1
2020-10-03,Rhode Island,25076,1118,0,0
2020-10-04,Rhode Island,25076,1118,0,0
2020-10-05,Rhode Island,25419,1121,343,3
2020-10-06,Rhode Island,25596,1125,177,4
2020-10-07,Rhode Island,25776,1126,180,1
2020-10-08,Rhode Island,26045,1127,269,1
2020-10-09,Rhode Island,26294,1130,249,3
2020-10-10,Rhode Island,26294,1130,0,0
2020-10-11,Rhode Island,26294,1130,0,0
2020-10-12,Rhode Island,26294,1130,0,0
2020-10-13,Rhode Island,26960,1139,666,9
2020-10-14,Rhode Island,27164,1147,204,8
2020-10-15,Rhode Island,27438,1149,274,2
2020-10-16,Rhode Island,27691,1152,253,3
2020-10-17,Rhode Island,27691,1152,0,0
2020-10-18,Rhode Island,27691,1152,0,0
2020-10-19,Rhode Island,28347,1159,656,7
2020-10-20,Rhode Island,28649,1164,302,5
2020-10-21,Rhode Island,29123,1169,474,5
2020-10-22,Rhode Island,29594,1173,471,4
2020-10-23,Rhode Island,30118,1177,524,4
2020-10-24,Rhode Island,30118,1177,0,0
2020-10-25,Rhode Island,30118,1177,0,0
2020-10-26,Rhode Island,31024,1184,906,7
2020-10-27,Rhode Island,31445,1188,421,4
2020-10-28,Rhode Island,31944,1192,499,4
2020-10-29,Rhode Island,32312,1195,368,3
2020-10-30,Rhode Island,32874,1201,562,6
2020-10-31,Rhode Island,32874,1201,0,0
2020-11-01,Rhode Island,32874,1201,0,0
2020-11-02,Rhode Island,34120,1210,1246,9
2020-11-03,Rhode Island,34543,1212,423,2
2020-11-04,Rhode Island,35122,1214,579,2
2020-11-05,Rhode Island,35750,1222,628,8
2020-11-06,Rhode Island,36380,1224,630,2
2020-11-07,Rhode Island,36380,1224,0,0
2020-11-08,Rhode Island,36380,1224,0,0
2020-11-09,Rhode Island,38009,1233,1629,9
2020-11-10,Rhode Island,38798,1237,789,4
2020-11-11,Rhode Island,39776,1243,978,6
2020-11-12,Rhode Island,40764,1250,988,7
2020-11-13,Rhode Island,41529,1254,765,4
2020-11-14,Rhode Island,41529,1254,0,0
2020-11-15,Rhode Island,41529,1254,0,0
2020-11-16,Rhode Island,43923,1270,2394,16
2020-11-17,Rhode Island,44528,1278,605,8
2020-11-18,Rhode Island,45911,1284,1383,6
2020-11-19,Rhode Island,46951,1288,1040,4
2020-11-20,Rhode Island,48001,1294,1050,6
2020-11-21,Rhode Island,48001,1294,0,0
2020-11-22,Rhode Island,48001,1294,0,0
2020-11-23,Rhode Island,50573,1309,2572,15
2020-11-24,Rhode Island,51424,1325,851,16
2020-11-25,Rhode Island,52317,1335,893,10
2020-11-26,Rhode Island,52317,1335,0,0
2020-11-27,Rhode Island,53954,1346,1637,11
2020-11-28,Rhode Island,53954,1346,0,0
2020-11-29,Rhode Island,53954,1346,0,0
2020-11-30,Rhode Island,56723,1373,2769,27
2020-12-01,Rhode Island,57906,1380,1183,7
2020-12-02,Rhode Island,59005,1391,1099,11
2020-12-03,Rhode Island,60722,1400,1717,9
2020-12-04,Rhode Island,62137,1413,1415,13
2020-12-05,Rhode Island,62137,1413,0,0
2020-12-06,Rhode Island,62137,1413,0,0
2020-12-07,Rhode Island,65818,1448,3681,35
2020-12-08,Rhode Island,67067,1470,1249,22
2020-12-09,Rhode Island,68299,1484,1232,14
2020-12-10,Rhode Island,69247,1498,948,14
2020-12-11,Rhode Island,70818,1509,1571,11
2020-12-12,Rhode Island,70818,1509,0,0
2020-12-13,Rhode Island,70818,1509,0,0
2020-12-14,Rhode Island,74071,1555,3253,46
2020-12-15,Rhode Island,75237,1570,1166,15
2020-12-16,Rhode Island,76209,1590,972,20
2020-12-17,Rhode Island,77290,1602,1081,12
2020-12-18,Rhode Island,77812,1625,522,23
2020-12-19,Rhode Island,77812,1625,0,0
2020-12-20,Rhode Island,77812,1625,0,0
2020-12-21,Rhode Island,80231,1670,2419,45
2020-12-22,Rhode Island,81187,1678,956,8
2020-12-23,Rhode Island,82066,1704,879,26
2020-12-24,Rhode Island,82066,1704,0,0
2020-12-25,Rhode Island,82066,1704,0,0
2020-12-26,Rhode Island,82066,1704,0,0
2020-12-27,Rhode Island,82066,1704,0,0
2020-12-28,Rhode Island,85602,1742,3536,38
2020-12-29,Rhode Island,86789,1760,1187,18
2020-12-30,Rhode Island,87949,1777,1160,17
2020-12-31,Rhode Island,87949,1777,0,0
2021-01-01,Rhode Island,87949,1777,0,0
2021-01-02,Rhode Island,87949,1777,0,0
2021-01-03,Rhode Island,87949,1777,0,0
2021-01-04,Rhode Island,92708,1855,4759,78
2021-01-05,Rhode Island,93852,1870,1144,15
2021-01-06,Rhode Island,95463,1890,1611,20
2021-01-07,Rhode Island,96591,1910,1128,20
2021-01-08,Rhode Island,97614,1916,1023,6
2021-01-09,Rhode Island,97614,1916,0,0
2021-01-10,Rhode Island,97614,1916,0,0
2021-01-11,Rhode Island,100607,1947,2993,31
2021-01-12,Rhode Island,101393,1970,786,23
2021-01-13,Rhode Island,102485,1987,1092,17
2021-01-14,Rhode Island,103386,1996,901,9
2021-01-15,Rhode Island,104443,2005,1057,9
2021-01-16,Rhode Island,104443,2005,0,0
2021-01-17,Rhode Island,104443,2005,0,0
2021-01-18,Rhode Island,104443,2005,0,0
2021-01-19,Rhode Island,107066,2045,2623,40
