date,state,total cases,total deaths,new cases,new deaths
2020-03-06,South Carolina,2,0,2,0
2020-03-07,South Carolina,2,0,0,0
2020-03-08,South Carolina,6,0,4,0
2020-03-09,South Carolina,7,0,1,0
2020-03-10,South Carolina,9,0,2,0
2020-03-11,South Carolina,10,0,1,0
2020-03-12,South Carolina,12,0,2,0
2020-03-13,South Carolina,13,0,1,0
2020-03-14,South Carolina,19,0,6,0
2020-03-15,South Carolina,28,0,9,0
2020-03-16,South Carolina,33,1,5,1
2020-03-17,South Carolina,47,1,14,0
2020-03-18,South Carolina,60,1,13,0
2020-03-19,South Carolina,81,1,21,0
2020-03-20,South Carolina,126,3,45,2
2020-03-21,South Carolina,172,3,46,0
2020-03-22,South Carolina,194,3,22,0
2020-03-23,South Carolina,299,5,105,2
2020-03-24,South Carolina,342,8,43,3
2020-03-25,South Carolina,425,8,83,0
2020-03-26,South Carolina,456,9,31,1
2020-03-27,South Carolina,542,13,86,4
2020-03-28,South Carolina,661,15,119,2
2020-03-29,South Carolina,775,16,114,1
2020-03-30,South Carolina,925,18,150,2
2020-03-31,South Carolina,1083,22,158,4
2020-04-01,South Carolina,1293,26,210,4
2020-04-02,South Carolina,1554,31,261,5
2020-04-03,South Carolina,1700,34,146,3
2020-04-04,South Carolina,1917,40,217,6
2020-04-05,South Carolina,2049,44,132,4
2020-04-06,South Carolina,2232,48,183,4
2020-04-07,South Carolina,2417,51,185,3
2020-04-08,South Carolina,2552,63,135,12
2020-04-09,South Carolina,2792,67,240,4
2020-04-10,South Carolina,3065,72,273,5
2020-04-11,South Carolina,3207,80,142,8
2020-04-12,South Carolina,3319,82,112,2
2020-04-13,South Carolina,3439,87,120,5
2020-04-14,South Carolina,3553,97,114,10
2020-04-15,South Carolina,3656,107,103,10
2020-04-16,South Carolina,3931,109,275,2
2020-04-17,South Carolina,4086,116,155,7
2020-04-18,South Carolina,4246,119,160,3
2020-04-19,South Carolina,4377,120,131,1
2020-04-20,South Carolina,4439,124,62,4
2020-04-21,South Carolina,4608,135,169,11
2020-04-22,South Carolina,4761,140,153,5
2020-04-23,South Carolina,4917,150,156,10
2020-04-24,South Carolina,5070,157,153,7
2020-04-25,South Carolina,5253,166,183,9
2020-04-26,South Carolina,5490,174,237,8
2020-04-27,South Carolina,5613,177,123,3
2020-04-28,South Carolina,5735,192,122,15
