date,state,total cases,total deaths,new cases,new deaths
2020-03-05,Tennessee,1,0,1,0
2020-03-06,Tennessee,1,0,0,0
2020-03-07,Tennessee,1,0,0,0
2020-03-08,Tennessee,3,0,2,0
2020-03-09,Tennessee,4,0,1,0
2020-03-10,Tennessee,7,0,3,0
2020-03-11,Tennessee,8,0,1,0
2020-03-12,Tennessee,18,0,10,0
2020-03-13,Tennessee,26,0,8,0
2020-03-14,Tennessee,32,0,6,0
2020-03-15,Tennessee,39,0,7,0
2020-03-16,Tennessee,52,0,13,0
2020-03-17,Tennessee,73,0,21,0
2020-03-18,Tennessee,98,0,25,0
2020-03-19,Tennessee,155,0,57,0
2020-03-20,Tennessee,237,0,82,0
2020-03-21,Tennessee,312,2,75,2
2020-03-22,Tennessee,424,2,112,0
2020-03-23,Tennessee,522,2,98,0
2020-03-24,Tennessee,678,2,156,0
2020-03-25,Tennessee,806,3,128,1
2020-03-26,Tennessee,981,3,175,0
2020-03-27,Tennessee,1180,6,199,3
2020-03-28,Tennessee,1363,6,183,0
2020-03-29,Tennessee,1569,7,206,1
2020-03-30,Tennessee,1721,13,152,6
2020-03-31,Tennessee,2049,13,328,0
2020-04-01,Tennessee,2689,23,640,10
2020-04-02,Tennessee,2868,32,179,9
2020-04-03,Tennessee,3032,38,164,6
2020-04-04,Tennessee,3265,47,233,9
2020-04-05,Tennessee,3538,50,273,3
2020-04-06,Tennessee,3753,65,215,15
2020-04-07,Tennessee,4010,72,257,7
2020-04-08,Tennessee,4246,83,236,11
2020-04-09,Tennessee,4456,95,210,12
2020-04-10,Tennessee,4793,104,337,9
2020-04-11,Tennessee,4983,107,190,3
2020-04-12,Tennessee,5144,107,161,0
2020-04-13,Tennessee,5483,114,339,7
2020-04-14,Tennessee,5654,123,171,9
2020-04-15,Tennessee,5864,135,210,12
2020-04-16,Tennessee,6077,142,213,7
2020-04-17,Tennessee,6423,146,346,4
2020-04-18,Tennessee,6624,148,201,2
2020-04-19,Tennessee,6824,151,200,3
2020-04-20,Tennessee,6994,156,170,5
2020-04-21,Tennessee,7317,159,323,3
2020-04-22,Tennessee,7681,169,364,10
2020-04-23,Tennessee,8169,172,488,3
2020-04-24,Tennessee,8618,172,449,0
2020-04-25,Tennessee,8918,179,300,7
2020-04-26,Tennessee,9435,182,517,3
2020-04-27,Tennessee,9739,184,304,2
2020-04-28,Tennessee,9974,190,235,6
2020-04-29,Tennessee,10255,196,281,6
2020-04-30,Tennessee,10506,200,251,4
2020-05-01,Tennessee,11781,205,1275,5
2020-05-02,Tennessee,12376,210,595,5
2020-05-03,Tennessee,12871,211,495,1
2020-05-04,Tennessee,13283,216,412,5
2020-05-05,Tennessee,13555,225,272,9
2020-05-06,Tennessee,13737,237,182,12
2020-05-07,Tennessee,14108,238,371,1
2020-05-08,Tennessee,14276,240,168,2
2020-05-09,Tennessee,14675,241,399,1
2020-05-10,Tennessee,15060,242,385,1
2020-05-11,Tennessee,15423,248,363,6
2020-05-12,Tennessee,15777,264,354,16
2020-05-13,Tennessee,16261,271,484,7
2020-05-14,Tennessee,16588,284,327,13
2020-05-15,Tennessee,16917,288,329,4
2020-05-16,Tennessee,17204,292,287,4
2020-05-17,Tennessee,17391,293,187,1
2020-05-18,Tennessee,17767,296,376,3
2020-05-19,Tennessee,18301,301,534,5
2020-05-20,Tennessee,18534,309,233,8
2020-05-21,Tennessee,18970,313,436,4
2020-05-22,Tennessee,19364,315,394,2
2020-05-23,Tennessee,19765,325,401,10
2020-05-24,Tennessee,20116,332,351,7
2020-05-25,Tennessee,20533,334,417,2
2020-05-26,Tennessee,20960,339,427,5
2020-05-27,Tennessee,21360,353,400,14
2020-05-28,Tennessee,21763,352,403,0
2020-05-29,Tennessee,22199,356,436,4
2020-05-30,Tennessee,22676,360,477,4
2020-05-31,Tennessee,22832,360,156,0
2020-06-01,Tennessee,23242,361,410,1
2020-06-02,Tennessee,24498,378,1256,17
2020-06-03,Tennessee,25024,386,526,8
2020-06-04,Tennessee,25374,401,350,15
2020-06-05,Tennessee,25799,405,425,4
2020-06-06,Tennessee,26359,413,560,8
2020-06-07,Tennessee,26811,414,452,1
2020-06-08,Tennessee,27217,417,406,3
2020-06-09,Tennessee,27865,430,648,13
2020-06-10,Tennessee,28379,436,514,6
2020-06-11,Tennessee,28766,441,387,5
2020-06-12,Tennessee,29218,461,452,20
2020-06-13,Tennessee,29616,465,398,4
2020-06-14,Tennessee,30174,467,558,2
2020-06-15,Tennessee,30945,477,771,10
2020-06-16,Tennessee,31623,487,678,10
2020-06-17,Tennessee,32112,493,489,6
2020-06-18,Tennessee,32604,504,492,11
2020-06-19,Tennessee,33603,508,999,4
2020-06-20,Tennessee,34223,516,620,8
2020-06-21,Tennessee,34719,519,496,3
2020-06-22,Tennessee,35255,525,536,6
2020-06-23,Tennessee,36018,535,763,10
2020-06-24,Tennessee,36822,548,804,13
2020-06-25,Tennessee,37695,558,873,10
2020-06-26,Tennessee,38802,569,1107,11
2020-06-27,Tennessee,39813,577,1011,8
2020-06-28,Tennessee,39945,577,132,0
2020-06-29,Tennessee,41388,585,1443,8
2020-06-30,Tennessee,42815,597,1427,12
2020-07-01,Tennessee,44360,602,1545,5
2020-07-02,Tennessee,46176,612,1816,10
2020-07-03,Tennessee,47882,626,1706,14
2020-07-04,Tennessee,49232,630,1350,4
2020-07-05,Tennessee,50365,639,1133,9
2020-07-06,Tennessee,51509,646,1144,7
2020-07-07,Tennessee,52643,657,1134,11
2020-07-08,Tennessee,54756,678,2113,21
2020-07-09,Tennessee,56531,700,1775,22
2020-07-10,Tennessee,58224,713,1693,13
2020-07-11,Tennessee,59981,728,1757,15
2020-07-12,Tennessee,61106,731,1125,3
2020-07-13,Tennessee,63615,738,2509,7
2020-07-14,Tennessee,65412,757,1797,19
2020-07-15,Tennessee,67515,773,2103,16
2020-07-16,Tennessee,69827,786,2312,13
2020-07-17,Tennessee,72072,805,2245,19
2020-07-18,Tennessee,74518,828,2446,23
2020-07-19,Tennessee,76180,834,1662,6
2020-07-20,Tennessee,77944,838,1764,4
2020-07-21,Tennessee,80026,863,2082,25
2020-07-22,Tennessee,82172,878,2146,15
2020-07-23,Tennessee,84652,913,2480,35
2020-07-24,Tennessee,86667,926,2015,13
2020-07-25,Tennessee,88459,953,1792,27
2020-07-26,Tennessee,91330,955,2871,2
2020-07-27,Tennessee,93869,965,2539,10
2020-07-28,Tennessee,96318,988,2449,23
2020-07-29,Tennessee,98145,1008,1827,20
2020-07-30,Tennessee,100166,1022,2021,14
2020-07-31,Tennessee,103144,1047,2978,25
2020-08-01,Tennessee,105455,1056,2311,9
2020-08-02,Tennessee,106804,1062,1349,6
2020-08-03,Tennessee,107900,1078,1096,16
2020-08-04,Tennessee,109652,1103,1752,25
2020-08-05,Tennessee,111305,1130,1653,27
2020-08-06,Tennessee,113519,1170,2214,40
2020-08-07,Tennessee,115940,1190,2421,20
2020-08-08,Tennessee,117725,1201,1785,11
2020-08-09,Tennessee,119788,1209,2063,8
2020-08-10,Tennessee,120967,1223,1179,14
2020-08-11,Tennessee,122003,1259,1036,36
2020-08-12,Tennessee,123489,1274,1486,15
2020-08-13,Tennessee,125487,1300,1998,26
2020-08-14,Tennessee,127465,1312,1978,12
2020-08-15,Tennessee,128771,1331,1306,19
2020-08-16,Tennessee,130620,1349,1849,18
