date,state,total cases,total deaths,new cases,new deaths
2020-03-07,Vermont,1,0,1,0
2020-03-08,Vermont,1,0,0,0
2020-03-09,Vermont,1,0,0,0
2020-03-10,Vermont,1,0,0,0
2020-03-11,Vermont,2,0,1,0
2020-03-12,Vermont,2,0,0,0
2020-03-13,Vermont,2,0,0,0
2020-03-14,Vermont,5,0,3,0
2020-03-15,Vermont,8,0,3,0
2020-03-16,Vermont,12,0,4,0
2020-03-17,Vermont,14,0,2,0
2020-03-18,Vermont,19,0,5,0
2020-03-19,Vermont,22,2,3,2
2020-03-20,Vermont,29,2,7,0
2020-03-21,Vermont,49,2,20,0
2020-03-22,Vermont,52,2,3,0
2020-03-23,Vermont,75,2,23,0
2020-03-24,Vermont,95,7,20,5
2020-03-25,Vermont,123,8,28,1
2020-03-26,Vermont,158,9,35,1
2020-03-27,Vermont,184,10,26,1
2020-03-28,Vermont,211,12,27,2
2020-03-29,Vermont,235,12,24,0
2020-03-30,Vermont,256,12,21,0
2020-03-31,Vermont,293,13,37,1
2020-04-01,Vermont,321,16,28,3
2020-04-02,Vermont,338,17,17,1
2020-04-03,Vermont,389,17,51,0
2020-04-04,Vermont,461,20,72,3
2020-04-05,Vermont,512,22,51,2
2020-04-06,Vermont,543,23,31,1
2020-04-07,Vermont,575,23,32,0
2020-04-08,Vermont,605,23,30,0
2020-04-09,Vermont,628,23,23,0
2020-04-10,Vermont,679,24,51,1
2020-04-11,Vermont,711,24,32,0
2020-04-12,Vermont,727,26,16,2
2020-04-13,Vermont,748,27,21,1
2020-04-14,Vermont,752,28,4,1
2020-04-15,Vermont,759,29,7,1
2020-04-16,Vermont,768,34,9,5
2020-04-17,Vermont,779,34,11,0
2020-04-18,Vermont,803,36,24,2
2020-04-19,Vermont,812,36,9,0
2020-04-20,Vermont,816,37,4,1
2020-04-21,Vermont,818,39,2,2
2020-04-22,Vermont,823,39,5,0
2020-04-23,Vermont,825,42,2,3
2020-04-24,Vermont,827,43,2,1
2020-04-25,Vermont,843,45,16,2
2020-04-26,Vermont,851,45,8,0
2020-04-27,Vermont,855,46,4,1
2020-04-28,Vermont,862,46,7,0
2020-04-29,Vermont,862,46,0,0
2020-04-30,Vermont,866,48,4,2
2020-05-01,Vermont,879,49,13,1
2020-05-02,Vermont,886,50,7,1
2020-05-03,Vermont,897,52,11,2
2020-05-04,Vermont,902,52,5,0
2020-05-05,Vermont,907,52,5,0
2020-05-06,Vermont,908,52,1,0
2020-05-07,Vermont,916,53,8,1
2020-05-08,Vermont,919,53,3,0
2020-05-09,Vermont,921,53,2,0
