date,state,total cases,total deaths,new cases,new deaths
2020-03-14,Virgin Islands,1,0,1,0
2020-03-15,Virgin Islands,1,0,0,0
2020-03-16,Virgin Islands,2,0,1,0
2020-03-17,Virgin Islands,2,0,0,0
2020-03-18,Virgin Islands,3,0,1,0
2020-03-19,Virgin Islands,3,0,0,0
2020-03-20,Virgin Islands,6,0,3,0
2020-03-21,Virgin Islands,6,0,0,0
2020-03-22,Virgin Islands,17,0,11,0
2020-03-23,Virgin Islands,17,0,0,0
2020-03-24,Virgin Islands,17,0,0,0
2020-03-25,Virgin Islands,17,0,0,0
2020-03-26,Virgin Islands,17,0,0,0
2020-03-27,Virgin Islands,19,0,2,0
2020-03-28,Virgin Islands,19,0,0,0
2020-03-29,Virgin Islands,23,0,4,0
2020-03-30,Virgin Islands,30,0,7,0
2020-03-31,Virgin Islands,30,0,0,0
2020-04-01,Virgin Islands,30,0,0,0
2020-04-02,Virgin Islands,37,0,7,0
2020-04-03,Virgin Islands,38,0,1,0
2020-04-04,Virgin Islands,42,0,4,0
2020-04-05,Virgin Islands,42,0,0,0
2020-04-06,Virgin Islands,44,1,2,1
2020-04-07,Virgin Islands,45,1,1,0
2020-04-08,Virgin Islands,46,1,1,0
2020-04-09,Virgin Islands,50,1,4,0
2020-04-10,Virgin Islands,51,1,1,0
2020-04-11,Virgin Islands,51,1,0,0
2020-04-12,Virgin Islands,51,1,0,0
2020-04-13,Virgin Islands,51,1,0,0
2020-04-14,Virgin Islands,51,1,0,0
2020-04-15,Virgin Islands,51,1,0,0
2020-04-16,Virgin Islands,51,2,0,1
2020-04-17,Virgin Islands,53,3,2,1
2020-04-18,Virgin Islands,53,3,0,0
2020-04-19,Virgin Islands,53,3,0,0
2020-04-20,Virgin Islands,54,3,1,0
2020-04-21,Virgin Islands,54,3,0,0
2020-04-22,Virgin Islands,54,3,0,0
2020-04-23,Virgin Islands,54,3,0,0
2020-04-24,Virgin Islands,55,3,1,0
2020-04-25,Virgin Islands,57,4,2,1
2020-04-26,Virgin Islands,59,4,2,0
2020-04-27,Virgin Islands,59,4,0,0
2020-04-28,Virgin Islands,62,4,3,0
2020-04-29,Virgin Islands,66,4,4,0
2020-04-30,Virgin Islands,66,4,0,0
2020-05-01,Virgin Islands,66,4,0,0
2020-05-02,Virgin Islands,66,4,0,0
2020-05-03,Virgin Islands,66,4,0,0
2020-05-04,Virgin Islands,66,4,0,0
2020-05-05,Virgin Islands,66,4,0,0
2020-05-06,Virgin Islands,66,4,0,0
2020-05-07,Virgin Islands,68,4,2,0
2020-05-08,Virgin Islands,69,4,1,0
2020-05-09,Virgin Islands,69,4,0,0
2020-05-10,Virgin Islands,69,5,0,1
2020-05-11,Virgin Islands,69,6,0,1
2020-05-12,Virgin Islands,69,6,0,0
2020-05-13,Virgin Islands,69,6,0,0
2020-05-14,Virgin Islands,69,6,0,0
2020-05-15,Virgin Islands,69,6,0,0
2020-05-16,Virgin Islands,69,6,0,0
2020-05-17,Virgin Islands,69,6,0,0
2020-05-18,Virgin Islands,69,6,0,0
2020-05-19,Virgin Islands,69,6,0,0
2020-05-20,Virgin Islands,69,6,0,0
2020-05-21,Virgin Islands,69,6,0,0
2020-05-22,Virgin Islands,69,6,0,0
2020-05-23,Virgin Islands,69,6,0,0
2020-05-24,Virgin Islands,69,6,0,0
2020-05-25,Virgin Islands,69,6,0,0
2020-05-26,Virgin Islands,69,6,0,0
2020-05-27,Virgin Islands,69,6,0,0
2020-05-28,Virgin Islands,69,6,0,0
2020-05-29,Virgin Islands,69,6,0,0
2020-05-30,Virgin Islands,70,6,1,0
2020-05-31,Virgin Islands,70,6,0,0
2020-06-01,Virgin Islands,70,6,0,0
2020-06-02,Virgin Islands,70,6,0,0
2020-06-03,Virgin Islands,71,6,1,0
2020-06-04,Virgin Islands,71,6,0,0
2020-06-05,Virgin Islands,71,6,0,0
2020-06-06,Virgin Islands,71,6,0,0
