date,state,total cases,total deaths,new cases,new deaths
2020-03-07,Virginia,1,0,1,0
2020-03-08,Virginia,2,0,1,0
2020-03-09,Virginia,5,0,3,0
2020-03-10,Virginia,8,0,3,0
2020-03-11,Virginia,10,0,2,0
2020-03-12,Virginia,17,0,7,0
2020-03-13,Virginia,30,0,13,0
2020-03-14,Virginia,42,1,12,1
2020-03-15,Virginia,45,1,3,0
2020-03-16,Virginia,51,1,6,0
2020-03-17,Virginia,67,2,16,1
2020-03-18,Virginia,78,2,11,0
2020-03-19,Virginia,94,2,16,0
2020-03-20,Virginia,115,2,21,0
2020-03-21,Virginia,152,3,37,1
2020-03-22,Virginia,219,6,67,3
2020-03-23,Virginia,254,6,35,0
2020-03-24,Virginia,291,7,37,1
2020-03-25,Virginia,390,9,99,2
2020-03-26,Virginia,603,14,213,5
2020-03-27,Virginia,605,14,2,0
2020-03-28,Virginia,739,17,134,3
2020-03-29,Virginia,889,22,150,5
2020-03-30,Virginia,1020,26,131,4
2020-03-31,Virginia,1249,27,229,1
2020-04-01,Virginia,1511,18,262,0
2020-04-02,Virginia,1706,18,195,0
2020-04-03,Virginia,2011,46,305,28
2020-04-04,Virginia,2408,52,397,6
2020-04-05,Virginia,2636,52,228,0
2020-04-06,Virginia,2877,54,241,2
2020-04-07,Virginia,3332,69,455,15
2020-04-08,Virginia,3644,60,312,0
2020-04-09,Virginia,4041,109,397,49
2020-04-10,Virginia,4509,121,468,12
2020-04-11,Virginia,5076,130,567,9
2020-04-12,Virginia,5273,141,197,11
2020-04-13,Virginia,5746,149,473,8
2020-04-14,Virginia,6173,154,427,5
2020-04-15,Virginia,6502,195,329,41
2020-04-16,Virginia,6891,208,389,13
2020-04-17,Virginia,7492,238,601,30
2020-04-18,Virginia,8053,258,561,20
2020-04-19,Virginia,8536,277,483,19
2020-04-20,Virginia,8989,300,453,23
2020-04-21,Virginia,9629,325,640,25
2020-04-22,Virginia,10265,349,636,24
2020-04-23,Virginia,10999,375,734,26
2020-04-24,Virginia,11595,413,596,38
2020-04-25,Virginia,12365,436,770,23
2020-04-26,Virginia,12969,448,604,12
2020-04-27,Virginia,13534,458,565,10
2020-04-28,Virginia,14338,492,804,34
2020-04-29,Virginia,14961,522,623,30
2020-04-30,Virginia,15846,552,885,30
2020-05-01,Virginia,16901,581,1055,29
2020-05-02,Virginia,17731,616,830,35
2020-05-03,Virginia,18671,660,940,44
2020-05-04,Virginia,19492,684,821,24
2020-05-05,Virginia,20256,713,764,29
2020-05-06,Virginia,20256,713,0,0
2020-05-07,Virginia,21570,769,1314,56
2020-05-08,Virginia,22342,812,772,43
2020-05-09,Virginia,23196,827,854,15
2020-05-10,Virginia,24081,839,885,12
2020-05-11,Virginia,25070,850,989,11
2020-05-12,Virginia,25800,891,730,41
2020-05-13,Virginia,26746,927,946,36
2020-05-14,Virginia,27813,955,1067,28
2020-05-15,Virginia,28672,977,859,22
2020-05-16,Virginia,29683,1002,1011,25
2020-05-17,Virginia,30388,1009,705,7
2020-05-18,Virginia,31140,1014,752,5
2020-05-19,Virginia,32145,1041,1005,27
2020-05-20,Virginia,32908,1074,763,33
2020-05-21,Virginia,34137,1099,1229,25
2020-05-22,Virginia,34950,1136,813,37
2020-05-23,Virginia,35749,1159,799,23
2020-05-24,Virginia,36244,1171,495,12
2020-05-25,Virginia,37727,1208,1483,37
2020-05-26,Virginia,39342,1236,1615,28
2020-05-27,Virginia,40249,1281,907,45
2020-05-28,Virginia,41401,1338,1152,57
2020-05-29,Virginia,42533,1358,1132,20
2020-05-30,Virginia,43611,1370,1078,12
2020-05-31,Virginia,44607,1375,996,5
2020-06-01,Virginia,45398,1392,791,17
2020-06-02,Virginia,46239,1407,841,15
2020-06-03,Virginia,46905,1428,666,21
2020-06-04,Virginia,47856,1445,951,17
2020-06-05,Virginia,48532,1453,676,8
2020-06-06,Virginia,49397,1460,865,7
2020-06-07,Virginia,50681,1472,1284,12
2020-06-08,Virginia,51251,1477,570,5
2020-06-09,Virginia,51738,1496,487,19
2020-06-10,Virginia,52177,1514,439,18
2020-06-11,Virginia,52647,1520,470,6
