date,state,total cases,total deaths,new cases,new deaths
2020-03-17,West Virginia,1,0,1,0
2020-03-18,West Virginia,2,0,1,0
2020-03-19,West Virginia,5,0,3,0
2020-03-20,West Virginia,8,0,3,0
2020-03-21,West Virginia,12,0,4,0
2020-03-22,West Virginia,16,0,4,0
2020-03-23,West Virginia,16,0,0,0
2020-03-24,West Virginia,39,0,23,0
2020-03-25,West Virginia,51,0,12,0
2020-03-26,West Virginia,76,0,25,0
2020-03-27,West Virginia,96,0,20,0
2020-03-28,West Virginia,113,0,17,0
2020-03-29,West Virginia,124,1,11,1
2020-03-30,West Virginia,145,1,21,0
2020-03-31,West Virginia,162,1,17,0
2020-04-01,West Virginia,191,2,29,1
2020-04-02,West Virginia,217,2,26,0
2020-04-03,West Virginia,242,2,25,0
2020-04-04,West Virginia,282,2,40,0
2020-04-05,West Virginia,325,3,43,1
2020-04-06,West Virginia,347,4,22,1
2020-04-07,West Virginia,413,4,66,0
2020-04-08,West Virginia,483,4,70,0
2020-04-09,West Virginia,524,5,41,1
2020-04-10,West Virginia,537,5,13,0
2020-04-11,West Virginia,593,6,56,1
2020-04-12,West Virginia,615,8,22,2
2020-04-13,West Virginia,638,9,23,1
2020-04-14,West Virginia,697,10,59,1
2020-04-15,West Virginia,725,12,28,2
2020-04-16,West Virginia,739,13,14,1
2020-04-17,West Virginia,776,16,37,3
2020-04-18,West Virginia,825,18,49,2
2020-04-19,West Virginia,890,20,65,2
2020-04-20,West Virginia,908,26,18,6
2020-04-21,West Virginia,929,26,21,0
2020-04-22,West Virginia,939,29,10,3
2020-04-23,West Virginia,981,31,42,2
2020-04-24,West Virginia,1010,32,29,1
2020-04-25,West Virginia,1025,33,15,1
2020-04-26,West Virginia,1054,34,29,1
2020-04-27,West Virginia,1078,37,24,3
2020-04-28,West Virginia,1096,38,18,1
2020-04-29,West Virginia,1110,40,14,2
2020-04-30,West Virginia,1126,44,16,4
2020-05-01,West Virginia,1152,47,26,3
2020-05-02,West Virginia,1185,50,33,3
2020-05-03,West Virginia,1196,50,11,0
2020-05-04,West Virginia,1225,50,29,0
2020-05-05,West Virginia,1243,50,18,0
2020-05-06,West Virginia,1277,51,34,1
2020-05-07,West Virginia,1298,51,21,0
