date,state,total cases,total deaths,new cases,new deaths
2020-02-05,Wisconsin,1,0,1,0
2020-02-06,Wisconsin,1,0,0,0
2020-02-07,Wisconsin,1,0,0,0
2020-02-08,Wisconsin,1,0,0,0
2020-02-09,Wisconsin,1,0,0,0
2020-02-10,Wisconsin,1,0,0,0
2020-02-11,Wisconsin,1,0,0,0
2020-02-12,Wisconsin,1,0,0,0
2020-02-13,Wisconsin,1,0,0,0
2020-02-14,Wisconsin,1,0,0,0
2020-02-15,Wisconsin,1,0,0,0
2020-02-16,Wisconsin,1,0,0,0
2020-02-17,Wisconsin,1,0,0,0
2020-02-18,Wisconsin,1,0,0,0
2020-02-19,Wisconsin,1,0,0,0
2020-02-20,Wisconsin,1,0,0,0
2020-02-21,Wisconsin,1,0,0,0
2020-02-22,Wisconsin,1,0,0,0
2020-02-23,Wisconsin,1,0,0,0
2020-02-24,Wisconsin,1,0,0,0
2020-02-25,Wisconsin,1,0,0,0
2020-02-26,Wisconsin,1,0,0,0
2020-02-27,Wisconsin,1,0,0,0
2020-02-28,Wisconsin,1,0,0,0
2020-02-29,Wisconsin,1,0,0,0
2020-03-01,Wisconsin,1,0,0,0
2020-03-02,Wisconsin,1,0,0,0
2020-03-03,Wisconsin,1,0,0,0
2020-03-04,Wisconsin,1,0,0,0
2020-03-05,Wisconsin,1,0,0,0
2020-03-06,Wisconsin,1,0,0,0
2020-03-07,Wisconsin,1,0,0,0
2020-03-08,Wisconsin,1,0,0,0
2020-03-09,Wisconsin,2,0,1,0
2020-03-10,Wisconsin,3,0,1,0
2020-03-11,Wisconsin,6,0,3,0
2020-03-12,Wisconsin,8,0,2,0
2020-03-13,Wisconsin,19,0,11,0
2020-03-14,Wisconsin,27,0,8,0
2020-03-15,Wisconsin,33,0,6,0
2020-03-16,Wisconsin,47,0,14,0
2020-03-17,Wisconsin,72,0,25,0
2020-03-18,Wisconsin,106,0,34,0
2020-03-19,Wisconsin,155,2,49,2
2020-03-20,Wisconsin,216,3,61,1
2020-03-21,Wisconsin,281,4,65,1
2020-03-22,Wisconsin,382,4,101,0
