date,state,total cases,total deaths,new cases,new deaths
2020-03-11,Wyoming,1,0,1,0
2020-03-12,Wyoming,1,0,0,0
2020-03-13,Wyoming,2,0,1,0
2020-03-14,Wyoming,3,0,1,0
2020-03-15,Wyoming,3,0,0,0
2020-03-16,Wyoming,10,0,7,0
2020-03-17,Wyoming,15,0,5,0
2020-03-18,Wyoming,17,0,2,0
2020-03-19,Wyoming,18,0,1,0
2020-03-20,Wyoming,22,0,4,0
2020-03-21,Wyoming,24,0,2,0
2020-03-22,Wyoming,26,0,2,0
2020-03-23,Wyoming,28,0,2,0
2020-03-24,Wyoming,37,0,9,0
2020-03-25,Wyoming,49,0,12,0
2020-03-26,Wyoming,56,0,7,0
2020-03-27,Wyoming,74,0,18,0
2020-03-28,Wyoming,85,0,11,0
2020-03-29,Wyoming,88,0,3,0
2020-03-30,Wyoming,96,0,8,0
2020-03-31,Wyoming,121,0,25,0
2020-04-01,Wyoming,138,0,17,0
2020-04-02,Wyoming,154,0,16,0
2020-04-03,Wyoming,167,0,13,0
2020-04-04,Wyoming,189,0,22,0
2020-04-05,Wyoming,200,0,11,0
2020-04-06,Wyoming,213,0,13,0
2020-04-07,Wyoming,221,0,8,0
2020-04-08,Wyoming,230,0,9,0
2020-04-09,Wyoming,303,0,73,0
2020-04-10,Wyoming,320,0,17,0
2020-04-11,Wyoming,343,0,23,0
2020-04-12,Wyoming,364,0,21,0
2020-04-13,Wyoming,373,1,9,1
2020-04-14,Wyoming,373,1,0,0
2020-04-15,Wyoming,392,2,19,1
2020-04-16,Wyoming,393,2,1,0
2020-04-17,Wyoming,401,2,8,0
2020-04-18,Wyoming,412,2,11,0
2020-04-19,Wyoming,422,2,10,0
2020-04-20,Wyoming,426,2,4,0
2020-04-21,Wyoming,442,6,16,4
2020-04-22,Wyoming,447,6,5,0
2020-04-23,Wyoming,453,7,6,1
2020-04-24,Wyoming,473,7,20,0
2020-04-25,Wyoming,477,7,4,0
2020-04-26,Wyoming,502,7,25,0
2020-04-27,Wyoming,520,7,18,0
2020-04-28,Wyoming,536,7,16,0
2020-04-29,Wyoming,544,7,8,0
2020-04-30,Wyoming,559,7,15,0
2020-05-01,Wyoming,566,7,7,0
2020-05-02,Wyoming,579,7,13,0
2020-05-03,Wyoming,586,7,7,0
2020-05-04,Wyoming,596,7,10,0
2020-05-05,Wyoming,604,7,8,0
2020-05-06,Wyoming,631,7,27,0
2020-05-07,Wyoming,635,7,4,0
2020-05-08,Wyoming,644,7,9,0
2020-05-09,Wyoming,653,7,9,0
2020-05-10,Wyoming,662,7,9,0
2020-05-11,Wyoming,669,7,7,0
2020-05-12,Wyoming,675,7,6,0
2020-05-13,Wyoming,688,7,13,0
2020-05-14,Wyoming,701,7,13,0
2020-05-15,Wyoming,716,7,15,0
2020-05-16,Wyoming,741,7,25,0
2020-05-17,Wyoming,754,8,13,1
2020-05-18,Wyoming,766,10,12,2
2020-05-19,Wyoming,776,10,10,0
2020-05-20,Wyoming,787,11,11,1
2020-05-21,Wyoming,801,12,14,1
2020-05-22,Wyoming,803,12,2,0
2020-05-23,Wyoming,813,12,10,0
2020-05-24,Wyoming,813,12,0,0
2020-05-25,Wyoming,843,12,30,0
2020-05-26,Wyoming,850,13,7,1
2020-05-27,Wyoming,860,14,10,1
2020-05-28,Wyoming,876,15,16,1
2020-05-29,Wyoming,891,15,15,0
2020-05-30,Wyoming,898,16,7,1
2020-05-31,Wyoming,903,16,5,0
2020-06-01,Wyoming,910,17,7,1
2020-06-02,Wyoming,912,17,2,0
2020-06-03,Wyoming,915,17,3,0
2020-06-04,Wyoming,921,17,6,0
2020-06-05,Wyoming,933,17,12,0
2020-06-06,Wyoming,939,17,6,0
2020-06-07,Wyoming,947,17,8,0
2020-06-08,Wyoming,960,17,13,0
2020-06-09,Wyoming,970,17,10,0
2020-06-10,Wyoming,980,18,10,1
2020-06-11,Wyoming,1009,18,29,0
2020-06-12,Wyoming,1027,18,18,0
2020-06-13,Wyoming,1050,18,23,0
2020-06-14,Wyoming,1060,18,10,0
2020-06-15,Wyoming,1079,18,19,0
2020-06-16,Wyoming,1089,18,10,0
2020-06-17,Wyoming,1114,18,25,0
2020-06-18,Wyoming,1144,18,30,0
2020-06-19,Wyoming,1173,20,29,2
2020-06-20,Wyoming,1179,20,6,0
2020-06-21,Wyoming,1197,20,18,0
2020-06-22,Wyoming,1230,20,33,0
2020-06-23,Wyoming,1254,20,24,0
2020-06-24,Wyoming,1282,20,28,0
2020-06-25,Wyoming,1326,20,44,0
2020-06-26,Wyoming,1368,20,42,0
2020-06-27,Wyoming,1392,20,24,0
2020-06-28,Wyoming,1417,20,25,0
2020-06-29,Wyoming,1450,20,33,0
2020-06-30,Wyoming,1487,20,37,0
2020-07-01,Wyoming,1514,20,27,0
2020-07-02,Wyoming,1550,20,36,0
2020-07-03,Wyoming,1582,20,32,0
2020-07-04,Wyoming,1606,20,24,0
2020-07-05,Wyoming,1634,20,28,0
2020-07-06,Wyoming,1675,20,41,0
2020-07-07,Wyoming,1711,21,36,1
2020-07-08,Wyoming,1740,21,29,0
2020-07-09,Wyoming,1774,21,34,0
2020-07-10,Wyoming,1790,21,16,0
2020-07-11,Wyoming,1839,21,49,0
2020-07-12,Wyoming,1862,21,23,0
2020-07-13,Wyoming,1903,21,41,0
2020-07-14,Wyoming,1951,22,48,1
2020-07-15,Wyoming,1985,22,34,0
2020-07-16,Wyoming,2026,24,41,2
2020-07-17,Wyoming,2069,24,43,0
2020-07-18,Wyoming,2108,24,39,0
2020-07-19,Wyoming,2126,24,18,0
2020-07-20,Wyoming,2187,24,61,0
2020-07-21,Wyoming,2238,25,51,1
2020-07-22,Wyoming,2288,25,50,0
2020-07-23,Wyoming,2347,25,59,0
2020-07-24,Wyoming,2405,25,58,0
2020-07-25,Wyoming,2446,25,41,0
2020-07-26,Wyoming,2475,25,29,0
2020-07-27,Wyoming,2520,25,45,0
2020-07-28,Wyoming,2589,26,69,1
2020-07-29,Wyoming,2628,26,39,0
2020-07-30,Wyoming,2686,26,58,0
2020-07-31,Wyoming,2726,26,40,0
2020-08-01,Wyoming,2769,26,43,0
2020-08-02,Wyoming,2808,26,39,0
2020-08-03,Wyoming,2848,27,40,1
2020-08-04,Wyoming,2884,27,36,0
2020-08-05,Wyoming,2923,27,39,0
2020-08-06,Wyoming,2958,27,35,0
2020-08-07,Wyoming,3000,28,42,1
2020-08-08,Wyoming,3013,28,13,0
2020-08-09,Wyoming,3050,28,37,0
2020-08-10,Wyoming,3042,28,0,0
2020-08-11,Wyoming,3073,29,31,1
2020-08-12,Wyoming,3086,29,13,0
2020-08-13,Wyoming,3119,29,33,0
2020-08-14,Wyoming,3183,30,64,1
2020-08-15,Wyoming,3227,30,44,0
2020-08-16,Wyoming,3286,30,59,0
2020-08-17,Wyoming,3331,33,45,3
2020-08-18,Wyoming,3360,34,29,1
2020-08-19,Wyoming,3430,34,70,0
2020-08-20,Wyoming,3468,34,38,0
2020-08-21,Wyoming,3524,37,56,3
2020-08-22,Wyoming,3543,37,19,0
2020-08-23,Wyoming,3579,37,36,0
2020-08-24,Wyoming,3603,37,24,0
2020-08-25,Wyoming,3634,37,31,0
2020-08-26,Wyoming,3684,37,50,0
2020-08-27,Wyoming,3722,37,38,0
2020-08-28,Wyoming,3763,37,41,0
2020-08-29,Wyoming,3784,37,21,0
2020-08-30,Wyoming,3820,37,36,0
2020-08-31,Wyoming,3842,37,22,0
2020-09-01,Wyoming,3866,41,24,4
2020-09-02,Wyoming,3911,41,45,0
2020-09-03,Wyoming,3939,41,28,0
2020-09-04,Wyoming,3989,42,50,1
2020-09-05,Wyoming,4006,42,17,0
2020-09-06,Wyoming,4032,42,26,0
2020-09-07,Wyoming,4032,42,0,0
2020-09-08,Wyoming,4103,42,71,0
2020-09-09,Wyoming,4151,42,48,0
2020-09-10,Wyoming,4199,42,48,0
2020-09-11,Wyoming,4264,42,65,0
2020-09-12,Wyoming,4297,42,33,0
2020-09-13,Wyoming,4346,42,49,0
2020-09-14,Wyoming,4392,46,46,4
2020-09-15,Wyoming,4438,46,46,0
2020-09-16,Wyoming,4566,46,128,0
2020-09-17,Wyoming,4652,49,86,3
2020-09-18,Wyoming,4747,49,95,0
2020-09-19,Wyoming,4780,49,33,0
2020-09-20,Wyoming,4871,49,91,0
2020-09-21,Wyoming,4944,49,73,0
2020-09-22,Wyoming,5016,49,72,0
2020-09-23,Wyoming,5169,50,153,1
2020-09-24,Wyoming,5305,50,136,0
2020-09-25,Wyoming,5420,50,115,0
2020-09-26,Wyoming,5465,50,45,0
2020-09-27,Wyoming,5633,50,168,0
