date,state,total doses,first dose,second dose
2021-01-12,Alabama,78131,70861,7270
2021-01-13,Alabama,84037,74792,9245
2021-01-14,Alabama,91846,80480,11366
2021-01-15,Alabama,100444,86956,13488
2021-01-16,Alabama,107998,93796,14202
2021-01-17,Alabama,115554,100637,14917
2021-01-18,Alabama,123109,107478,15631
2021-01-19,Alabama,130665,114319,16346
2021-01-20,Alabama,139069,121113,17956
2021-01-21,Alabama,165774,144429,21345
2021-01-22,Alabama,199157,174317,24840
2021-01-23,Alabama,221377,193955,27422
2021-01-24,Alabama,243569,213833,29736
2021-01-25,Alabama,250442,220464,29978
2021-01-26,Alabama,254787,223854,30933
2021-01-27,Alabama,266228,232633,33595
2021-01-28,Alabama,278768,241337,37431
2021-01-29,Alabama,300674,256601,44073
2021-01-30,Alabama,342110,288368,53742
2021-01-31,Alabama,353632,298301,55331
2021-02-01,Alabama,357936,301628,56308
2021-02-02,Alabama,371536,312711,58825
2021-02-03,Alabama,387988,324998,62990
2021-02-04,Alabama,408000,338845,69155
2021-02-05,Alabama,430125,353522,76603
2021-02-06,Alabama,454553,370275,84278
2021-02-07,Alabama,461708,375567,86141
2021-02-08,Alabama,466967,378514,88453
2021-02-09,Alabama,490229,395196,95033
2021-02-10,Alabama,514982,412462,102520
2021-02-11,Alabama,542295,431259,111036
2021-02-12,Alabama,570090,448071,122019
2021-02-13,Alabama,600061,467032,133029
2021-02-14,Alabama,611097,474065,137032
2021-02-15,Alabama,623295,480135,143160
2021-02-16,Alabama,635494,486206,149288
2021-02-17,Alabama,648765,494424,154341
2021-02-18,Alabama,670764,505660,165104
2021-02-19,Alabama,737735,545431,192304
2021-02-20,Alabama,775480,560968,214512
2021-02-21,Alabama,787144,567505,219639
2021-02-22,Alabama,811842,583741,228101
2021-02-23,Alabama,833361,593936,239425
2021-02-24,Alabama,858217,604602,253615
2021-02-25,Alabama,883565,615100,268465
2021-02-26,Alabama,913158,627063,286095
2021-02-27,Alabama,951076,643208,307868
2021-02-28,Alabama,963035,649745,313290
2021-03-01,Alabama,969382,653309,316073
2021-03-02,Alabama,993233,663187,330046
2021-03-03,Alabama,1021651,674810,346841
2021-03-04,Alabama,1054247,688791,365456
2021-03-05,Alabama,1087251,704173,383078
2021-03-06,Alabama,1123170,721109,402061
2021-03-07,Alabama,1134404,727681,406723
2021-03-08,Alabama,1142904,732967,409937
2021-03-09,Alabama,1167351,747268,420083
2021-03-10,Alabama,1203520,768502,435018
2021-03-11,Alabama,1243610,790864,452746
2021-03-12,Alabama,1288743,816418,472325
2021-03-13,Alabama,1334149,841394,492755
2021-03-14,Alabama,1346990,849337,497653
2021-03-15,Alabama,1355646,854302,501344
2021-03-16,Alabama,1383405,871536,511869
2021-03-17,Alabama,1417416,893767,523649
2021-03-18,Alabama,1446038,912663,533375
2021-03-19,Alabama,1484871,937614,547257
2021-03-20,Alabama,1521793,960539,561254
2021-03-21,Alabama,1535091,968459,566632
2021-03-22,Alabama,1542113,972986,569127
2021-03-23,Alabama,1573851,994253,579598
2021-03-24,Alabama,1609837,1019858,589979
2021-03-25,Alabama,1649504,1048838,600666
2021-03-26,Alabama,1684317,1072623,611694
2021-03-27,Alabama,1721982,1098597,623385
2021-03-28,Alabama,1736753,1108253,628500
2021-03-29,Alabama,1745312,1113924,631388
2021-03-30,Alabama,1778189,1134739,643450
2021-03-31,Alabama,1812038,1155139,656899
2021-04-01,Alabama,1858057,1184284,673773
2021-04-02,Alabama,1902506,1211424,691082
2021-04-03,Alabama,1939328,1234131,705197
2021-04-04,Alabama,1952555,1242706,709849
2021-04-05,Alabama,1959625,1248029,711596
2021-04-06,Alabama,1993129,1267859,725270
2021-04-07,Alabama,2036448,1291487,744961
2021-04-08,Alabama,2082445,1317995,764450
2021-04-09,Alabama,2132983,1344658,788325
2021-04-10,Alabama,2182524,1371201,811323
2021-04-11,Alabama,2202501,1382951,819550
2021-04-12,Alabama,2213650,1389598,824052
2021-04-13,Alabama,2251816,1407463,844353
2021-04-14,Alabama,2295080,1426530,868550
2021-04-15,Alabama,2335053,1442051,893002
2021-04-16,Alabama,2375031,1459377,915654
2021-04-17,Alabama,2411539,1476162,935377
2021-04-18,Alabama,2424443,1481314,943129
2021-04-19,Alabama,2430112,1483779,946333
2021-04-20,Alabama,2460672,1494421,966251
2021-04-21,Alabama,2494495,1507116,987379
2021-04-22,Alabama,2529343,1518928,1010415
2021-04-23,Alabama,2565737,1531741,1033996
2021-04-24,Alabama,2598407,1543544,1054863
2021-04-25,Alabama,2609183,1546659,1062524
2021-04-26,Alabama,2616441,1549782,1066659
2021-04-27,Alabama,2638467,1558652,1079815
2021-04-28,Alabama,2667135,1568315,1098820
2021-04-29,Alabama,2700441,1579093,1121348
2021-04-30,Alabama,2733006,1589518,1143488
2021-05-01,Alabama,2760855,1599130,1161725
2021-05-02,Alabama,2766912,1601433,1165479
2021-05-03,Alabama,2771689,1603454,1168235
2021-05-04,Alabama,2789712,1609919,1179793
2021-05-05,Alabama,2817855,1618791,1199064
2021-05-06,Alabama,2821086,1619783,1201303
2021-05-07,Alabama,2877045,1636710,1240335
2021-05-08,Alabama,2913653,1649688,1263965
2021-05-09,Alabama,2925125,1654267,1270858
2021-05-10,Alabama,2931342,1657672,1273670
2021-05-11,Alabama,2932190,1658191,1273999
2021-05-12,Alabama,2950918,1664353,1286565
2021-05-13,Alabama,2992653,1678119,1314534
2021-05-14,Alabama,3022051,1687875,1334176
2021-05-15,Alabama,3045312,1697289,1348023
2021-05-16,Alabama,3050394,1699751,1350643
2021-05-17,Alabama,3050745,1699915,1350830
2021-05-18,Alabama,3071713,1709333,1362380
2021-05-19,Alabama,3072595,1709761,1362834
2021-05-20,Alabama,3108021,1725694,1382327
2021-05-21,Alabama,3114793,1727437,1387356
2021-05-22,Alabama,3133635,1736645,1396990
2021-05-23,Alabama,3154589,1746820,1407769
2021-05-24,Alabama,3154929,1747012,1407917
2021-05-25,Alabama,3170065,1754294,1415771
2021-05-26,Alabama,3177206,1757607,1419599
2021-05-27,Alabama,3182455,1758850,1423605
2021-05-28,Alabama,3192791,1763553,1429238
2021-05-29,Alabama,3197184,1765515,1431669
2021-05-30,Alabama,3198501,1766055,1432446
2021-05-31,Alabama,3199275,1766419,1432856
2021-06-01,Alabama,3200051,1766784,1433267
2021-06-02,Alabama,3203379,1768055,1435324
2021-06-03,Alabama,3204007,1768288,1435719
2021-06-04,Alabama,3212065,1771964,1440101
2021-06-05,Alabama,3212534,1772245,1440289
2021-06-06,Alabama,3215213,1773379,1441834
2021-06-07,Alabama,3216914,1774139,1442775
2021-06-08,Alabama,3217765,1774535,1443230
2021-06-09,Alabama,3221886,1776278,1445608
2021-06-10,Alabama,3247247,1787017,1460230
2021-06-11,Alabama,3262017,1793119,1468898
2021-06-12,Alabama,3290594,1805486,1485108
2021-06-13,Alabama,3300922,1810074,1490848
2021-06-14,Alabama,3315826,1815885,1499941
2021-06-15,Alabama,3317940,1816769,1501171
2021-06-16,Alabama,3330650,1822146,1508504
2021-06-17,Alabama,3444250,1898131,1546119
