date,state,total doses,first dose,second dose
2021-01-12,Alaska,27886,22486,5400
2021-01-13,Alaska,30707,24541,6166
2021-01-14,Alaska,43294,35508,7786
2021-01-15,Alaska,48952,39546,9406
2021-01-16,Alaska,53273,43518,9755
2021-01-17,Alaska,57594,47490,10104
2021-01-18,Alaska,61915,51462,10453
2021-01-19,Alaska,66236,55434,10802
2021-01-20,Alaska,68194,56911,11283
2021-01-21,Alaska,71801,59449,12352
2021-01-22,Alaska,80980,67262,13718
2021-01-23,Alaska,88220,73014,15206
2021-01-24,Alaska,94126,77925,16201
2021-01-25,Alaska,96899,80226,16673
2021-01-26,Alaska,98015,81200,16815
2021-01-27,Alaska,101460,83363,18097
2021-01-28,Alaska,105717,85672,20045
2021-01-29,Alaska,110247,88654,21593
2021-01-30,Alaska,115114,91794,23320
2021-01-31,Alaska,119434,94889,24545
2021-02-01,Alaska,121863,96396,25467
2021-02-02,Alaska,123283,97076,26207
2021-02-03,Alaska,125604,98076,27528
2021-02-04,Alaska,129768,99596,30172
2021-02-05,Alaska,133818,101225,32593
2021-02-06,Alaska,138936,103163,35773
2021-02-07,Alaska,145852,106311,39541
2021-02-08,Alaska,150702,109890,40812
2021-02-09,Alaska,152634,110936,41698
2021-02-10,Alaska,156000,112448,43552
2021-02-11,Alaska,162007,116001,46006
2021-02-12,Alaska,167158,118189,48969
2021-02-13,Alaska,174843,122463,52380
2021-02-14,Alaska,183498,126381,57117
2021-02-15,Alaska,187059,128019,59040
2021-02-16,Alaska,190622,129658,60964
2021-02-17,Alaska,193225,130751,62474
2021-02-18,Alaska,198736,133491,65245
2021-02-19,Alaska,215779,143887,71892
2021-02-20,Alaska,226922,148299,78623
2021-02-21,Alaska,234621,152349,82272
2021-02-22,Alaska,237703,153572,84131
2021-02-23,Alaska,239364,154618,84746
2021-02-24,Alaska,243103,156267,86836
2021-02-25,Alaska,249006,158792,90214
2021-02-26,Alaska,253828,161595,92233
2021-02-27,Alaska,259070,163739,95331
2021-02-28,Alaska,264289,166735,97554
2021-03-01,Alaska,267985,168069,99916
2021-03-02,Alaska,269548,168646,100902
2021-03-03,Alaska,272968,170586,102382
2021-03-04,Alaska,276543,172414,104129
2021-03-05,Alaska,281146,174588,106558
2021-03-06,Alaska,288290,178237,110053
2021-03-07,Alaska,294735,180948,113787
2021-03-08,Alaska,297865,182230,115635
2021-03-09,Alaska,302251,184906,117345
2021-03-10,Alaska,307354,188281,119073
2021-03-11,Alaska,312909,190712,122197
2021-03-12,Alaska,318121,193951,124170
2021-03-13,Alaska,324083,197436,126647
2021-03-14,Alaska,333267,202410,130857
2021-03-15,Alaska,337788,205256,132532
2021-03-16,Alaska,340310,206403,133907
2021-03-17,Alaska,346742,210932,135810
2021-03-18,Alaska,351896,213432,138464
2021-03-19,Alaska,356950,216781,140169
2021-03-20,Alaska,364506,221157,143349
2021-03-21,Alaska,374308,228333,145975
2021-03-22,Alaska,377517,230614,146903
2021-03-23,Alaska,378556,231342,147214
2021-03-24,Alaska,381762,233037,148725
2021-03-25,Alaska,387042,236062,150980
2021-03-26,Alaska,393305,239599,153706
2021-03-27,Alaska,399431,242733,156698
2021-03-28,Alaska,405552,245355,160197
2021-03-29,Alaska,407447,246515,160932
2021-03-30,Alaska,408601,247097,161504
2021-03-31,Alaska,411811,248711,163100
2021-04-01,Alaska,415703,250378,165325
2021-04-02,Alaska,420147,252586,167561
2021-04-03,Alaska,425010,254263,170747
2021-04-04,Alaska,434200,257375,176825
2021-04-05,Alaska,437262,258376,178886
2021-04-06,Alaska,438243,258884,179359
2021-04-07,Alaska,442546,260622,181924
2021-04-08,Alaska,449716,263119,186597
2021-04-09,Alaska,455426,265468,189958
2021-04-10,Alaska,463401,268587,194814
2021-04-11,Alaska,469630,270838,198792
2021-04-12,Alaska,474007,272212,201795
2021-04-13,Alaska,505091,282684,222407
2021-04-14,Alaska,509241,284110,225131
2021-04-15,Alaska,509414,284193,225221
2021-04-16,Alaska,514433,286100,228333
2021-04-17,Alaska,519433,288040,231393
2021-04-18,Alaska,525056,290503,234553
2021-04-19,Alaska,527122,291456,235666
2021-04-20,Alaska,528627,291921,236706
2021-04-21,Alaska,534144,294331,239813
2021-04-22,Alaska,539385,296911,242474
2021-04-23,Alaska,542775,298047,244728
2021-04-24,Alaska,546133,299312,246821
2021-04-25,Alaska,548779,300351,248428
2021-04-26,Alaska,549742,300706,249036
2021-04-27,Alaska,550759,301212,249547
2021-04-28,Alaska,552464,301770,250694
2021-04-29,Alaska,559665,304657,255008
2021-04-30,Alaska,561959,305395,256564
2021-05-01,Alaska,569928,307711,262217
2021-05-02,Alaska,571792,308462,263330
2021-05-03,Alaska,572259,308656,263603
2021-05-04,Alaska,572600,308846,263754
2021-05-05,Alaska,574083,309518,264565
2021-05-06,Alaska,576284,310415,265869
2021-05-07,Alaska,578357,311397,266960
2021-05-08,Alaska,580794,312475,268319
2021-05-09,Alaska,580940,312535,268405
2021-05-10,Alaska,584992,314070,270922
2021-05-11,Alaska,586063,314577,271486
2021-05-12,Alaska,587388,315132,272256
2021-05-13,Alaska,589193,315883,273310
2021-05-14,Alaska,591217,316924,274293
2021-05-15,Alaska,594274,318593,275681
2021-05-16,Alaska,597607,320705,276902
2021-05-17,Alaska,598319,321214,277105
2021-05-18,Alaska,599125,321664,277461
2021-05-19,Alaska,602168,323863,278305
2021-05-20,Alaska,604693,325229,279464
2021-05-21,Alaska,607628,327119,280509
2021-05-22,Alaska,610480,328869,281611
2021-05-23,Alaska,613332,330605,282727
2021-05-24,Alaska,614293,331243,283050
2021-05-25,Alaska,614854,331563,283291
2021-05-26,Alaska,616432,332524,283908
2021-05-27,Alaska,618323,333592,284731
2021-05-28,Alaska,620869,335110,285759
2021-05-29,Alaska,623187,336394,286793
2021-05-30,Alaska,624898,337367,287531
2021-05-31,Alaska,625507,337730,287777
2021-06-01,Alaska,626117,338093,288024
2021-06-02,Alaska,626352,338229,288123
2021-06-03,Alaska,628282,339124,289158
2021-06-04,Alaska,630196,340100,290096
2021-06-05,Alaska,632265,340957,291308
2021-06-06,Alaska,634932,341938,292994
2021-06-07,Alaska,636714,342656,294058
2021-06-08,Alaska,637236,342912,294324
2021-06-09,Alaska,637429,343010,294419
2021-06-10,Alaska,639914,343730,296184
2021-06-11,Alaska,641651,344459,297192
2021-06-12,Alaska,643827,345283,298544
2021-06-13,Alaska,645262,345834,299428
2021-06-14,Alaska,646909,346459,300450
2021-06-15,Alaska,647893,346864,301029
2021-06-16,Alaska,649448,347501,301947
2021-06-17,Alaska,650946,348126,302820
2021-06-18,Alaska,652364,348668,303696
2021-06-19,Alaska,653834,349289,304545
2021-06-20,Alaska,654964,349769,305195
2021-06-21,Alaska,656293,350345,305948
2021-06-22,Alaska,656545,350473,306072
2021-06-23,Alaska,657186,350776,306410
2021-06-24,Alaska,658796,351550,307246
2021-06-25,Alaska,660024,352136,307888
2021-06-26,Alaska,664183,353979,310204
