date,state,total doses,first dose,second dose
2021-01-12,Bureau of Prisons,6276,5199,1077
2021-01-13,Bureau of Prisons,6472,5395,1077
2021-01-14,Bureau of Prisons,15578,13997,1581
2021-01-15,Bureau of Prisons,16651,14565,2086
2021-01-16,Bureau of Prisons,16885,14798,2087
2021-01-17,Bureau of Prisons,17120,15032,2088
2021-01-18,Bureau of Prisons,17355,15266,2089
2021-01-19,Bureau of Prisons,17591,15500,2091
2021-01-20,Bureau of Prisons,19041,15949,3092
2021-01-21,Bureau of Prisons,20803,17003,3800
2021-01-22,Bureau of Prisons,21278,17316,3962
2021-01-23,Bureau of Prisons,23273,18296,4977
2021-01-24,Bureau of Prisons,24009,18965,5044
2021-01-25,Bureau of Prisons,24289,18988,5301
2021-01-26,Bureau of Prisons,25442,19471,5971
2021-01-27,Bureau of Prisons,27261,20415,6846
2021-01-28,Bureau of Prisons,28449,21081,7368
2021-01-29,Bureau of Prisons,29685,21674,8011
2021-01-30,Bureau of Prisons,30875,22486,8389
2021-01-31,Bureau of Prisons,31215,22725,8490
2021-02-01,Bureau of Prisons,31215,22725,8490
2021-02-02,Bureau of Prisons,32279,23200,9079
2021-02-03,Bureau of Prisons,34179,24049,10130
2021-02-04,Bureau of Prisons,36117,24858,11259
2021-02-05,Bureau of Prisons,38083,25657,12426
2021-02-06,Bureau of Prisons,39529,26167,13362
2021-02-07,Bureau of Prisons,40236,26410,13826
2021-02-08,Bureau of Prisons,40236,26410,13826
2021-02-09,Bureau of Prisons,40943,26770,14173
2021-02-10,Bureau of Prisons,42649,27564,15085
2021-02-11,Bureau of Prisons,44070,28139,15931
2021-02-12,Bureau of Prisons,45509,29060,16449
2021-02-13,Bureau of Prisons,46814,29797,17017
2021-02-14,Bureau of Prisons,47449,30193,17256
2021-02-15,Bureau of Prisons,47712,30456,17256
2021-02-16,Bureau of Prisons,47975,30719,17256
2021-02-17,Bureau of Prisons,48499,30901,17598
2021-02-18,Bureau of Prisons,48935,31146,17789
2021-02-19,Bureau of Prisons,49795,31519,18276
2021-02-20,Bureau of Prisons,50953,32074,18879
2021-02-21,Bureau of Prisons,52147,32591,19556
2021-02-22,Bureau of Prisons,52228,32591,19637
2021-02-23,Bureau of Prisons,52624,32628,19996
2021-02-24,Bureau of Prisons,53608,32980,20628
2021-02-25,Bureau of Prisons,54972,33533,21439
2021-02-26,Bureau of Prisons,57180,34841,22339
2021-02-27,Bureau of Prisons,59003,36064,22939
2021-02-28,Bureau of Prisons,60052,36995,23057
2021-03-01,Bureau of Prisons,60052,36995,23057
2021-03-02,Bureau of Prisons,60771,37239,23532
2021-03-03,Bureau of Prisons,62513,38000,24513
2021-03-04,Bureau of Prisons,66143,40290,25853
2021-03-05,Bureau of Prisons,69894,42853,27041
2021-03-06,Bureau of Prisons,71521,43896,27625
2021-03-07,Bureau of Prisons,71931,44090,27841
2021-03-08,Bureau of Prisons,71931,44090,27841
2021-03-09,Bureau of Prisons,72296,44155,28141
2021-03-10,Bureau of Prisons,72998,44353,28645
2021-03-11,Bureau of Prisons,75962,46675,29287
2021-03-12,Bureau of Prisons,78420,48186,30234
2021-03-13,Bureau of Prisons,80282,49551,30731
2021-03-14,Bureau of Prisons,80282,49551,30731
2021-03-15,Bureau of Prisons,80282,49551,30731
2021-03-16,Bureau of Prisons,80820,49808,31012
2021-03-17,Bureau of Prisons,81744,50170,31574
2021-03-18,Bureau of Prisons,84031,51305,32726
2021-03-19,Bureau of Prisons,86169,52733,33436
2021-03-20,Bureau of Prisons,87833,53968,33865
2021-03-21,Bureau of Prisons,88689,54297,34392
2021-03-22,Bureau of Prisons,88879,54486,34393
2021-03-23,Bureau of Prisons,89059,54537,34522
2021-03-24,Bureau of Prisons,90168,55109,35059
2021-03-25,Bureau of Prisons,95035,57195,37840
2021-03-26,Bureau of Prisons,98690,59260,39430
2021-03-27,Bureau of Prisons,100931,60463,40468
2021-03-28,Bureau of Prisons,101561,60988,40573
2021-03-29,Bureau of Prisons,101563,60990,40573
2021-03-30,Bureau of Prisons,101672,61016,40656
2021-03-31,Bureau of Prisons,101883,61091,40792
2021-04-01,Bureau of Prisons,107329,63178,44151
2021-04-02,Bureau of Prisons,110812,64308,46504
2021-04-03,Bureau of Prisons,111599,64749,46850
2021-04-04,Bureau of Prisons,112088,65102,46986
2021-04-05,Bureau of Prisons,112088,65102,46986
2021-04-06,Bureau of Prisons,112202,65127,47075
2021-04-07,Bureau of Prisons,113339,65779,47560
2021-04-08,Bureau of Prisons,119964,69297,50667
2021-04-09,Bureau of Prisons,123617,71671,51946
2021-04-10,Bureau of Prisons,126633,73538,53095
2021-04-11,Bureau of Prisons,127723,74459,53264
2021-04-12,Bureau of Prisons,127779,74487,53292
2021-04-13,Bureau of Prisons,127995,74597,53398
2021-04-14,Bureau of Prisons,129518,75510,54008
2021-04-15,Bureau of Prisons,129661,75587,54074
2021-04-16,Bureau of Prisons,132743,77232,55511
2021-04-17,Bureau of Prisons,134040,77970,56070
2021-04-18,Bureau of Prisons,134382,78272,56110
2021-04-19,Bureau of Prisons,134382,78272,56110
2021-04-20,Bureau of Prisons,134450,78321,56129
2021-04-21,Bureau of Prisons,135329,78922,56407
2021-04-22,Bureau of Prisons,138582,80613,57969
2021-04-23,Bureau of Prisons,140897,81663,59234
2021-04-24,Bureau of Prisons,142971,82720,60251
2021-04-25,Bureau of Prisons,143555,83085,60470
2021-04-26,Bureau of Prisons,143555,83085,60470
2021-04-27,Bureau of Prisons,143575,83099,60476
2021-04-28,Bureau of Prisons,144539,83367,61172
2021-04-29,Bureau of Prisons,149355,84258,65097
2021-04-30,Bureau of Prisons,152805,85721,67084
2021-05-01,Bureau of Prisons,155597,86840,68757
2021-05-02,Bureau of Prisons,156113,87100,69013
2021-05-03,Bureau of Prisons,156113,87100,69013
2021-05-04,Bureau of Prisons,156136,87107,69029
2021-05-05,Bureau of Prisons,157072,87422,69650
2021-05-06,Bureau of Prisons,160514,89447,71067
2021-05-07,Bureau of Prisons,163795,90948,72847
2021-05-08,Bureau of Prisons,163832,90964,72868
2021-05-09,Bureau of Prisons,166491,92403,74088
2021-05-10,Bureau of Prisons,166491,92403,74088
2021-05-11,Bureau of Prisons,166538,92435,74103
2021-05-12,Bureau of Prisons,167060,92526,74534
2021-05-13,Bureau of Prisons,169185,93331,75854
2021-05-14,Bureau of Prisons,169225,93345,75880
2021-05-15,Bureau of Prisons,173898,95382,78516
2021-05-16,Bureau of Prisons,174668,95945,78723
2021-05-17,Bureau of Prisons,174670,95946,78724
2021-05-18,Bureau of Prisons,174723,95950,78773
2021-05-19,Bureau of Prisons,175750,96101,79649
2021-05-20,Bureau of Prisons,177618,96698,80920
2021-05-21,Bureau of Prisons,180219,97872,82347
2021-05-22,Bureau of Prisons,181128,98316,82812
2021-05-23,Bureau of Prisons,181128,98316,82812
2021-05-24,Bureau of Prisons,181693,98583,83110
2021-05-25,Bureau of Prisons,181710,98591,83119
2021-05-26,Bureau of Prisons,182314,98788,83526
2021-05-27,Bureau of Prisons,184527,99337,85190
2021-05-28,Bureau of Prisons,186310,100203,86107
2021-05-29,Bureau of Prisons,187655,100561,87094
2021-05-30,Bureau of Prisons,187655,100561,87094
2021-05-31,Bureau of Prisons,187915,100703,87212
2021-06-01,Bureau of Prisons,188176,100845,87331
2021-06-02,Bureau of Prisons,188192,100850,87342
