date,state,total doses,first dose,second dose
2021-01-12,District of Columbia,0,0,0
2021-01-13,District of Columbia,3232,1957,1275
2021-01-14,District of Columbia,34689,29927,4762
2021-01-15,District of Columbia,39917,31667,8250
2021-01-16,District of Columbia,42423,33687,8736
2021-01-17,District of Columbia,44930,35707,9223
2021-01-18,District of Columbia,47436,37727,9709
2021-01-19,District of Columbia,49943,39747,10196
2021-01-20,District of Columbia,51688,41135,10553
2021-01-21,District of Columbia,55062,43377,11685
2021-01-22,District of Columbia,56818,44773,12045
2021-01-23,District of Columbia,59737,47088,12649
2021-01-24,District of Columbia,62335,49292,13043
2021-01-25,District of Columbia,64138,50902,13236
2021-01-26,District of Columbia,64692,51399,13293
2021-01-27,District of Columbia,68024,53590,14434
2021-01-28,District of Columbia,70776,55599,15177
2021-01-29,District of Columbia,73264,57152,16112
2021-01-30,District of Columbia,76599,59570,17029
2021-01-31,District of Columbia,80447,61737,18710
2021-02-01,District of Columbia,82425,63208,19217
2021-02-02,District of Columbia,83459,64241,19218
2021-02-03,District of Columbia,84960,65207,19753
2021-02-04,District of Columbia,87958,66645,21313
2021-02-05,District of Columbia,92718,69999,22719
2021-02-06,District of Columbia,95879,71810,24069
2021-02-07,District of Columbia,99656,73505,26151
2021-02-08,District of Columbia,102308,75351,26957
2021-02-09,District of Columbia,102308,75351,26957
2021-02-10,District of Columbia,102308,75351,26957
2021-02-11,District of Columbia,111562,79776,31786
2021-02-12,District of Columbia,113939,80772,33167
2021-02-13,District of Columbia,116087,81699,34388
2021-02-14,District of Columbia,121128,84740,36388
2021-02-15,District of Columbia,123715,85991,37724
2021-02-16,District of Columbia,126303,87243,39060
2021-02-17,District of Columbia,128260,88287,39973
2021-02-18,District of Columbia,130235,88924,41311
2021-02-19,District of Columbia,156837,106692,50145
2021-02-20,District of Columbia,159316,107751,51565
2021-02-21,District of Columbia,162289,109045,53244
2021-02-22,District of Columbia,102513,71399,31114
2021-02-23,District of Columbia,104026,72181,31845
2021-02-24,District of Columbia,106586,73826,32760
2021-02-25,District of Columbia,108606,74825,33781
2021-02-26,District of Columbia,111117,76194,34923
2021-02-27,District of Columbia,117940,79693,38247
2021-02-28,District of Columbia,123774,83668,40106
2021-03-01,District of Columbia,125934,84724,41210
2021-03-02,District of Columbia,127228,85368,41860
2021-03-03,District of Columbia,129964,87114,42850
2021-03-04,District of Columbia,134276,90190,44086
2021-03-05,District of Columbia,137985,92623,45362
2021-03-06,District of Columbia,144452,95302,49150
2021-03-07,District of Columbia,148904,98505,50399
2021-03-08,District of Columbia,152294,100571,51723
2021-03-09,District of Columbia,155205,102392,52813
2021-03-10,District of Columbia,160005,105267,54738
2021-03-11,District of Columbia,165159,108700,56459
2021-03-12,District of Columbia,170273,112244,58029
2021-03-13,District of Columbia,175577,115660,59917
2021-03-14,District of Columbia,182916,120982,61934
2021-03-15,District of Columbia,191901,126422,65479
2021-03-16,District of Columbia,196017,128836,67181
2021-03-17,District of Columbia,202407,133611,68796
2021-03-18,District of Columbia,206027,136208,69819
2021-03-19,District of Columbia,210749,139568,71181
2021-03-20,District of Columbia,215227,142923,72304
2021-03-21,District of Columbia,221276,147691,73585
2021-03-22,District of Columbia,224840,150379,74461
2021-03-23,District of Columbia,226985,152058,74927
2021-03-24,District of Columbia,231043,154836,76207
2021-03-25,District of Columbia,239088,159355,79733
2021-03-26,District of Columbia,245345,163251,82094
2021-03-27,District of Columbia,253208,168663,84545
2021-03-28,District of Columbia,263590,175453,88137
2021-03-29,District of Columbia,272691,181374,91317
2021-03-30,District of Columbia,279278,185928,93350
2021-03-31,District of Columbia,291265,193796,97469
2021-04-01,District of Columbia,298566,198018,100548
2021-04-02,District of Columbia,306484,202602,103882
2021-04-03,District of Columbia,316075,208953,107122
2021-04-04,District of Columbia,324116,214219,109897
2021-04-05,District of Columbia,328376,216518,111858
2021-04-06,District of Columbia,332037,218769,113268
2021-04-07,District of Columbia,334894,220702,114192
2021-04-08,District of Columbia,352388,230713,121675
2021-04-09,District of Columbia,362339,236659,125680
2021-04-10,District of Columbia,375323,244653,130670
2021-04-11,District of Columbia,386329,250917,135412
2021-04-12,District of Columbia,395604,256132,139472
2021-04-13,District of Columbia,404940,260750,144190
2021-04-14,District of Columbia,411622,263823,147799
2021-04-15,District of Columbia,423142,270051,153091
2021-04-16,District of Columbia,432780,275427,157353
2021-04-17,District of Columbia,442392,281190,161202
2021-04-18,District of Columbia,454216,288396,165820
2021-04-19,District of Columbia,464015,294659,169356
2021-04-20,District of Columbia,468145,297607,170538
2021-04-21,District of Columbia,475992,301868,174124
2021-04-22,District of Columbia,483706,305618,178088
2021-04-23,District of Columbia,493164,310555,182609
2021-04-24,District of Columbia,502694,315394,187300
2021-04-25,District of Columbia,512942,319465,193477
2021-04-26,District of Columbia,520996,324137,196859
2021-04-27,District of Columbia,526235,326687,199548
2021-04-28,District of Columbia,533358,330670,202688
2021-04-29,District of Columbia,540546,334206,206340
2021-04-30,District of Columbia,547881,337803,210078
2021-05-01,District of Columbia,555497,341552,213945
2021-05-02,District of Columbia,561938,344415,217523
2021-05-03,District of Columbia,566443,346567,219876
2021-05-04,District of Columbia,568058,347171,220887
2021-05-05,District of Columbia,573675,349238,224437
2021-05-06,District of Columbia,578286,350697,227589
2021-05-07,District of Columbia,585572,354000,231572
2021-05-08,District of Columbia,594796,357991,236805
2021-05-09,District of Columbia,602544,360914,241630
2021-05-10,District of Columbia,612314,363961,248353
2021-05-11,District of Columbia,618866,366484,252382
2021-05-12,District of Columbia,628246,369925,258321
2021-05-13,District of Columbia,632330,371201,261129
2021-05-14,District of Columbia,638668,373491,265177
2021-05-15,District of Columbia,645179,375790,269389
2021-05-16,District of Columbia,658993,379065,279928
2021-05-17,District of Columbia,668421,381520,286901
2021-05-18,District of Columbia,672960,383078,289882
2021-05-19,District of Columbia,677382,384233,293149
2021-05-20,District of Columbia,683856,386455,297401
2021-05-21,District of Columbia,691619,388817,302802
2021-05-22,District of Columbia,697096,390523,306573
2021-05-23,District of Columbia,704086,393181,310905
2021-05-24,District of Columbia,707022,394259,312763
2021-05-25,District of Columbia,709208,395158,314050
2021-05-26,District of Columbia,712811,396264,316547
2021-05-27,District of Columbia,716092,397218,318874
2021-05-28,District of Columbia,721606,399580,322026
2021-05-29,District of Columbia,725777,401192,324585
2021-05-30,District of Columbia,728084,402041,326043
2021-05-31,District of Columbia,729549,402726,326823
2021-06-01,District of Columbia,731015,403411,327604
2021-06-02,District of Columbia,731742,403743,327999
2021-06-03,District of Columbia,733120,404264,328856
2021-06-04,District of Columbia,735585,405393,330192
2021-06-05,District of Columbia,738221,406506,331715
2021-06-06,District of Columbia,738859,406810,332049
2021-06-07,District of Columbia,743911,408830,335081
2021-06-08,District of Columbia,745739,409540,336199
2021-06-09,District of Columbia,747424,410171,337253
2021-06-10,District of Columbia,749885,411039,338846
2021-06-11,District of Columbia,750082,411129,338953
2021-06-12,District of Columbia,752739,412337,340402
2021-06-13,District of Columbia,755312,413373,341939
2021-06-14,District of Columbia,762008,415522,346486
2021-06-15,District of Columbia,764137,416216,347921
2021-06-16,District of Columbia,767191,417466,349725
2021-06-17,District of Columbia,772181,419800,352381
2021-06-18,District of Columbia,774299,420635,353664
2021-06-19,District of Columbia,780235,423813,356422
2021-06-20,District of Columbia,781716,424482,357234
2021-06-21,District of Columbia,782886,425069,357817
2021-06-22,District of Columbia,784127,425695,358432
2021-06-23,District of Columbia,785255,426224,359031
2021-06-24,District of Columbia,787114,427158,359956
2021-06-25,District of Columbia,790512,427963,362549
2021-06-26,District of Columbia,792081,428669,363412
2021-06-27,District of Columbia,795392,429801,365591
2021-06-28,District of Columbia,798004,430821,367183
2021-06-29,District of Columbia,798874,431271,367603
2021-06-30,District of Columbia,800758,432227,368531
2021-07-01,District of Columbia,802219,432968,369251
2021-07-02,District of Columbia,804171,433940,370231
2021-07-03,District of Columbia,807331,434887,372444
2021-07-04,District of Columbia,808715,435507,373208
