date,state,total doses,first dose,second dose
2021-01-12,Guam,401,401,0
2021-01-13,Guam,-9223372036854775407,401,-9223372036854775808
2021-01-14,Guam,-9223372036854772023,3785,-9223372036854775808
2021-01-15,Guam,-9223372036854772023,3785,-9223372036854775808
2021-01-16,Guam,-9223372036854772023,3785,-9223372036854775808
2021-01-17,Guam,-9223372036854772023,3785,-9223372036854775808
2021-01-18,Guam,-9223372036854772023,3785,-9223372036854775808
2021-01-19,Guam,-9223372036854772023,3785,-9223372036854775808
2021-01-20,Guam,-9223372036854772023,3785,-9223372036854775808
2021-01-21,Guam,-9223372036854772023,3785,-9223372036854775808
2021-01-22,Guam,-9223372036854772023,3785,-9223372036854775808
2021-01-23,Guam,4735,3785,950
2021-01-24,Guam,5686,3785,1901
2021-01-25,Guam,6637,3785,2852
2021-01-26,Guam,17181,13378,3803
2021-01-27,Guam,18138,14269,3869
2021-01-28,Guam,19374,15405,3969
2021-01-29,Guam,21105,16747,4358
2021-01-30,Guam,22283,17784,4499
2021-01-31,Guam,22283,17784,4499
2021-02-01,Guam,23274,18538,4736
2021-02-02,Guam,24636,19700,4936
2021-02-03,Guam,25893,20785,5108
2021-02-04,Guam,25893,20785,5108
2021-02-05,Guam,27192,21871,5321
2021-02-06,Guam,28776,23195,5581
2021-02-07,Guam,29384,23564,5820
2021-02-08,Guam,29531,23693,5838
2021-02-09,Guam,30680,24420,6260
2021-02-10,Guam,32181,25308,6873
2021-02-11,Guam,33730,26019,7711
2021-02-12,Guam,35654,26699,8955
2021-02-13,Guam,37465,27348,10117
2021-02-14,Guam,38335,27647,10688
2021-02-15,Guam,38773,27796,10977
2021-02-16,Guam,39212,27946,11266
2021-02-17,Guam,40711,28460,12251
2021-02-18,Guam,42366,29055,13311
2021-02-19,Guam,46582,31432,15150
2021-02-20,Guam,48054,31950,16104
2021-02-21,Guam,48145,32024,16121
2021-02-22,Guam,49235,32377,16858
2021-02-23,Guam,50133,32799,17334
2021-02-24,Guam,51146,33183,17963
2021-02-25,Guam,52288,33677,18611
2021-02-26,Guam,52327,33696,18631
2021-02-27,Guam,53743,34205,19538
2021-02-28,Guam,54708,34485,20223
2021-03-01,Guam,54752,34489,20263
2021-03-02,Guam,54899,34532,20367
2021-03-03,Guam,54935,34553,20382
2021-03-04,Guam,55627,34944,20683
2021-03-05,Guam,55899,35076,20823
2021-03-06,Guam,55972,35123,20849
2021-03-07,Guam,55981,35130,20851
2021-03-08,Guam,56085,35161,20924
2021-03-09,Guam,57880,35680,22200
2021-03-10,Guam,59858,36034,23824
2021-03-11,Guam,61541,36283,25258
2021-03-12,Guam,63180,36600,26580
2021-03-13,Guam,64846,36826,28020
2021-03-14,Guam,65978,36978,29000
2021-03-15,Guam,66061,36979,29082
2021-03-16,Guam,66528,37235,29293
2021-03-17,Guam,67889,38212,29677
2021-03-18,Guam,69486,39483,30003
2021-03-19,Guam,71278,40907,30371
2021-03-20,Guam,71407,40955,30452
2021-03-21,Guam,71431,40965,30466
2021-03-22,Guam,73268,42544,30724
2021-03-23,Guam,74980,43983,30997
2021-03-24,Guam,76891,45768,31123
2021-03-25,Guam,78603,47355,31248
2021-03-26,Guam,80651,49193,31458
2021-03-27,Guam,81006,49393,31613
2021-03-28,Guam,82529,50793,31736
2021-03-29,Guam,84272,52481,31791
2021-03-30,Guam,84400,52535,31865
2021-03-31,Guam,86972,54839,32133
2021-04-01,Guam,88041,55807,32234
2021-04-02,Guam,89647,57175,32472
2021-04-03,Guam,91289,58550,32739
2021-04-04,Guam,91414,58622,32792
2021-04-05,Guam,91615,58778,32837
2021-04-06,Guam,91733,58839,32894
2021-04-07,Guam,95360,61319,34041
2021-04-08,Guam,97126,62313,34813
2021-04-09,Guam,98975,63340,35635
2021-04-10,Guam,99273,63481,35792
2021-04-11,Guam,100264,64054,36210
2021-04-12,Guam,100344,64118,36226
2021-04-13,Guam,103512,65745,37767
2021-04-14,Guam,105801,66748,39053
2021-04-15,Guam,108076,67747,40329
2021-04-16,Guam,109595,68499,41096
2021-04-17,Guam,111869,69439,42430
2021-04-18,Guam,111875,69441,42434
2021-04-19,Guam,113513,69972,43541
2021-04-20,Guam,115248,70588,44660
2021-04-21,Guam,117552,71783,45769
2021-04-22,Guam,119419,72226,47193
2021-04-23,Guam,121159,72729,48430
2021-04-24,Guam,122657,73202,49455
2021-04-25,Guam,122753,73290,49463
2021-04-26,Guam,123913,73651,50262
2021-04-27,Guam,125317,74105,51212
2021-04-28,Guam,126756,74749,52007
2021-04-29,Guam,129103,75689,53414
2021-04-30,Guam,130925,76408,54517
2021-05-01,Guam,131009,76429,54580
2021-05-02,Guam,132363,76808,55555
2021-05-03,Guam,133617,77325,56292
2021-05-04,Guam,134555,77693,56862
2021-05-05,Guam,134689,77754,56935
2021-05-06,Guam,134808,77817,56991
2021-05-07,Guam,139801,79570,60231
2021-05-08,Guam,141304,80450,60854
2021-05-09,Guam,141844,80657,61187
2021-05-10,Guam,141983,80701,61282
2021-05-11,Guam,142011,80715,61296
2021-05-12,Guam,142154,80803,61351
2021-05-13,Guam,146564,81866,64698
2021-05-14,Guam,146688,81890,64798
2021-05-15,Guam,146741,81916,64825
2021-05-16,Guam,146746,81918,64828
2021-05-17,Guam,146752,81922,64830
2021-05-18,Guam,146779,81933,64846
2021-05-19,Guam,151590,83930,67660
2021-05-20,Guam,151689,83979,67710
2021-05-21,Guam,153698,85017,68681
2021-05-22,Guam,156072,86385,69687
2021-05-23,Guam,156094,86396,69698
2021-05-24,Guam,156094,86396,69698
2021-05-25,Guam,156956,86892,70064
2021-05-26,Guam,157078,86948,70130
2021-05-27,Guam,157173,86996,70177
2021-05-28,Guam,161161,88973,72188
2021-05-29,Guam,161187,88986,72201
2021-05-30,Guam,161192,88989,72203
2021-05-31,Guam,162281,89465,72816
2021-06-01,Guam,163372,89942,73430
2021-06-02,Guam,163497,89995,73502
2021-06-03,Guam,164061,90294,73767
2021-06-04,Guam,166343,91416,74927
2021-06-05,Guam,166402,91440,74962
2021-06-06,Guam,169056,92925,76131
2021-06-07,Guam,169936,93367,76569
2021-06-08,Guam,169966,93377,76589
2021-06-09,Guam,171826,94305,77521
2021-06-10,Guam,171903,94357,77546
2021-06-11,Guam,171905,94359,77546
2021-06-12,Guam,172006,94405,77601
2021-06-13,Guam,174939,95758,79181
2021-06-14,Guam,176595,95896,80699
2021-06-15,Guam,176623,95909,80714
2021-06-16,Guam,176628,95910,80718
2021-06-17,Guam,179819,97289,82530
2021-06-18,Guam,179916,97327,82589
2021-06-19,Guam,183858,98779,85079
2021-06-20,Guam,183859,98779,85080
2021-06-21,Guam,183862,98780,85082
2021-06-22,Guam,183891,98793,85098
2021-06-23,Guam,183947,98810,85137
2021-06-24,Guam,184065,98879,85186
2021-06-25,Guam,189371,100930,88441
2021-06-26,Guam,189447,100966,88481
2021-06-27,Guam,190624,101251,89373
2021-06-28,Guam,190642,101261,89381
2021-06-29,Guam,190867,101377,89490
2021-06-30,Guam,191008,101434,89574
2021-07-01,Guam,192909,102154,90755
2021-07-02,Guam,192984,102185,90799
2021-07-03,Guam,194863,103013,91850
2021-07-04,Guam,194866,103014,91852
2021-07-05,Guam,194985,103063,91922
2021-07-06,Guam,195105,103112,91993
2021-07-07,Guam,195188,103144,92044
2021-07-08,Guam,195947,103490,92457
2021-07-09,Guam,197779,104194,93585
2021-07-10,Guam,197849,104231,93618
2021-07-11,Guam,197867,104239,93628
2021-07-12,Guam,198633,104651,93982
2021-07-13,Guam,198672,104668,94004
2021-07-14,Guam,198706,104682,94024
2021-07-15,Guam,199948,105299,94649
2021-07-16,Guam,200415,105517,94898
2021-07-17,Guam,201283,105886,95397
2021-07-18,Guam,201285,105887,95398
2021-07-19,Guam,201289,105889,95400
2021-07-20,Guam,201536,105860,95676
2021-07-21,Guam,202643,106370,96273
2021-07-22,Guam,202653,106374,96279
2021-07-23,Guam,203718,106888,96830
2021-07-24,Guam,203761,106912,96849
2021-07-25,Guam,204160,107088,97072
2021-07-26,Guam,204162,107089,97073
2021-07-27,Guam,204172,107094,97078
2021-07-28,Guam,204232,107127,97105
2021-07-29,Guam,205559,107736,97823
