date,state,total doses,first dose,second dose
2021-01-12,Iowa,98068,91969,6099
2021-01-13,Iowa,111462,101859,9603
2021-01-14,Iowa,110977,100805,10172
2021-01-15,Iowa,118798,108056,10742
2021-01-16,Iowa,124765,113552,11213
2021-01-17,Iowa,130734,119049,11685
2021-01-18,Iowa,136702,124545,12157
2021-01-19,Iowa,142671,130042,12629
2021-01-20,Iowa,147523,133528,13995
2021-01-21,Iowa,156360,139500,16860
2021-01-22,Iowa,168071,145642,22429
2021-01-23,Iowa,177571,151145,26426
2021-01-24,Iowa,188584,157635,30949
2021-01-25,Iowa,193594,161445,32149
2021-01-26,Iowa,195342,162795,32547
2021-01-27,Iowa,201533,165466,36067
2021-01-28,Iowa,209818,169341,40477
2021-01-29,Iowa,221440,174655,46785
2021-01-30,Iowa,234861,182537,52324
2021-01-31,Iowa,249056,190689,58367
2021-02-01,Iowa,254268,194009,60259
2021-02-02,Iowa,256319,195234,61085
2021-02-03,Iowa,263476,199242,64234
2021-02-04,Iowa,275917,206516,69401
2021-02-05,Iowa,289945,215693,74252
2021-02-06,Iowa,305077,224437,80640
2021-02-07,Iowa,324927,237554,87373
2021-02-08,Iowa,341855,252349,89506
2021-02-09,Iowa,347984,257459,90525
2021-02-10,Iowa,364624,268974,95650
2021-02-11,Iowa,382582,282596,99986
2021-02-12,Iowa,403654,299032,104622
2021-02-13,Iowa,427511,317851,109660
2021-02-14,Iowa,451178,335771,115407
2021-02-15,Iowa,465672,348036,117636
2021-02-16,Iowa,480166,360301,119865
2021-02-17,Iowa,489868,367577,122291
2021-02-18,Iowa,501959,377848,124111
2021-02-19,Iowa,546921,411926,134995
2021-02-20,Iowa,571533,430429,141104
2021-02-21,Iowa,593487,445872,147615
2021-02-22,Iowa,610792,458634,152158
2021-02-23,Iowa,614956,461621,153335
2021-02-24,Iowa,622023,466702,155321
2021-02-25,Iowa,631514,473529,157985
2021-02-26,Iowa,654566,491323,163243
2021-02-27,Iowa,684873,515659,169214
2021-02-28,Iowa,713327,534690,178637
2021-03-01,Iowa,735008,546840,188168
2021-03-02,Iowa,741042,550827,190215
2021-03-03,Iowa,754117,557426,196691
2021-03-04,Iowa,773617,567609,206008
2021-03-05,Iowa,801498,582004,219494
2021-03-06,Iowa,860518,607257,253261
2021-03-07,Iowa,905583,631178,274405
2021-03-08,Iowa,952336,647648,304688
2021-03-09,Iowa,966888,653454,313434
2021-03-10,Iowa,986527,663400,323127
2021-03-11,Iowa,1019896,680387,339509
2021-03-12,Iowa,1058793,699106,359687
2021-03-13,Iowa,1141971,734296,407675
2021-03-14,Iowa,1142154,734394,407760
2021-03-15,Iowa,1174516,751143,423373
2021-03-16,Iowa,1184745,755782,428963
2021-03-17,Iowa,1186028,756625,429403
2021-03-18,Iowa,1214317,772635,441682
2021-03-19,Iowa,1258949,794504,464445
2021-03-20,Iowa,1299366,813481,485885
2021-03-21,Iowa,1337091,833700,503391
2021-03-22,Iowa,1360283,846801,513482
2021-03-23,Iowa,1369415,852108,517307
2021-03-24,Iowa,1383396,860056,523340
2021-03-25,Iowa,1407363,877325,530038
2021-03-26,Iowa,1441145,896691,544454
2021-03-27,Iowa,1483864,921441,562423
2021-03-28,Iowa,1528618,942877,585741
2021-03-29,Iowa,1555099,956164,598935
2021-03-30,Iowa,1565598,962503,603095
2021-03-31,Iowa,1580666,970567,610099
2021-04-01,Iowa,1609124,987579,621545
2021-04-02,Iowa,1645926,1009116,636810
2021-04-03,Iowa,1728175,1055869,672306
2021-04-04,Iowa,1729493,1056573,672920
2021-04-05,Iowa,1749115,1065588,683527
2021-04-06,Iowa,1758480,1071526,686954
2021-04-07,Iowa,1775796,1080359,695437
2021-04-08,Iowa,1811200,1098646,712554
2021-04-09,Iowa,1857343,1124442,732901
2021-04-10,Iowa,1912552,1157297,755255
2021-04-11,Iowa,1971787,1188039,783748
2021-04-12,Iowa,1998966,1202244,796722
2021-04-13,Iowa,2013100,1208779,804321
2021-04-14,Iowa,2048898,1227309,821589
2021-04-15,Iowa,2082398,1243854,838544
2021-04-16,Iowa,2115431,1258370,857061
2021-04-17,Iowa,2150482,1274949,875533
2021-04-18,Iowa,2183360,1288328,895032
2021-04-19,Iowa,2206161,1299188,906973
2021-04-20,Iowa,2212604,1301823,910781
2021-04-21,Iowa,2230168,1309687,920481
2021-04-22,Iowa,2256880,1320622,936258
2021-04-23,Iowa,2288278,1332458,955820
2021-04-24,Iowa,2321544,1344446,977098
2021-04-25,Iowa,2355623,1355221,1000402
2021-04-26,Iowa,2374161,1364722,1009439
2021-04-27,Iowa,2385113,1367822,1017291
2021-04-28,Iowa,2398099,1372631,1025468
2021-04-29,Iowa,2429207,1383035,1046172
2021-04-30,Iowa,2456489,1389825,1066664
2021-05-01,Iowa,2487272,1397910,1089362
2021-05-02,Iowa,2512590,1403574,1109016
2021-05-03,Iowa,2532273,1409459,1122814
2021-05-04,Iowa,2540365,1411697,1128668
2021-05-05,Iowa,2552469,1415061,1137408
2021-05-06,Iowa,2574937,1421845,1153092
2021-05-07,Iowa,2597813,1427971,1169842
2021-05-08,Iowa,2621512,1433535,1187977
2021-05-09,Iowa,2644993,1440023,1204970
2021-05-10,Iowa,2662030,1444752,1217278
2021-05-11,Iowa,2670243,1447014,1223229
2021-05-12,Iowa,2679073,1449312,1229761
2021-05-13,Iowa,2694197,1452950,1241247
2021-05-14,Iowa,2710213,1456896,1253317
2021-05-15,Iowa,2727258,1460918,1266340
2021-05-16,Iowa,2749584,1468612,1280972
2021-05-17,Iowa,2766031,1474941,1291090
2021-05-18,Iowa,2774369,1479457,1294912
2021-05-19,Iowa,2784483,1484010,1300473
2021-05-20,Iowa,2802954,1492262,1310692
2021-05-21,Iowa,2822976,1502575,1320401
2021-05-22,Iowa,2842509,1512053,1330456
2021-05-23,Iowa,2860112,1519485,1340627
2021-05-24,Iowa,2870961,1524976,1345985
2021-05-25,Iowa,2876473,1528188,1348285
2021-05-26,Iowa,2885726,1532096,1353630
2021-05-27,Iowa,2897673,1537535,1360138
2021-05-28,Iowa,2910186,1542812,1367374
2021-05-29,Iowa,2920901,1547479,1373422
2021-05-30,Iowa,2931905,1552014,1379891
2021-05-31,Iowa,2936844,1554226,1382618
2021-06-01,Iowa,2941785,1556439,1385346
2021-06-02,Iowa,2945263,1557739,1387524
2021-06-03,Iowa,2949532,1559369,1390163
2021-06-04,Iowa,2958640,1563039,1395601
