date,state,total doses,first dose,second dose
2021-01-12,Marshall Islands,624,623,1
2021-01-13,Marshall Islands,634,633,1
2021-01-14,Marshall Islands,624,623,1
2021-01-15,Marshall Islands,634,632,2
2021-01-16,Marshall Islands,788,786,2
2021-01-17,Marshall Islands,943,941,2
2021-01-18,Marshall Islands,1097,1095,2
2021-01-19,Marshall Islands,1252,1250,2
2021-01-20,Marshall Islands,1484,1482,2
2021-01-21,Marshall Islands,1961,1959,2
2021-01-22,Marshall Islands,2408,2406,2
2021-01-23,Marshall Islands,2843,2840,3
2021-01-24,Marshall Islands,3068,3065,3
2021-01-25,Marshall Islands,3068,3065,3
2021-01-26,Marshall Islands,3253,3250,3
2021-01-27,Marshall Islands,3507,3487,20
2021-01-28,Marshall Islands,3723,3594,129
2021-01-29,Marshall Islands,3893,3661,232
2021-01-30,Marshall Islands,3957,3723,234
2021-01-31,Marshall Islands,4090,3763,327
2021-02-01,Marshall Islands,4090,3763,327
2021-02-02,Marshall Islands,4220,3844,376
2021-02-03,Marshall Islands,4220,3844,376
2021-02-04,Marshall Islands,4386,3955,431
2021-02-05,Marshall Islands,4515,4072,443
2021-02-06,Marshall Islands,4702,4259,443
2021-02-07,Marshall Islands,4869,4412,457
2021-02-08,Marshall Islands,4869,4412,457
2021-02-09,Marshall Islands,5107,4628,479
2021-02-10,Marshall Islands,5222,4729,493
2021-02-11,Marshall Islands,5395,4868,527
2021-02-12,Marshall Islands,5570,4980,590
2021-02-13,Marshall Islands,5691,5095,596
2021-02-14,Marshall Islands,5898,5233,665
2021-02-15,Marshall Islands,6153,5458,695
2021-02-16,Marshall Islands,6410,5684,726
2021-02-17,Marshall Islands,6413,5685,728
2021-02-18,Marshall Islands,6714,5858,856
2021-02-19,Marshall Islands,7364,6203,1161
2021-02-20,Marshall Islands,7680,6462,1218
2021-02-21,Marshall Islands,8661,7170,1491
2021-02-22,Marshall Islands,8880,7182,1698
2021-02-23,Marshall Islands,9416,7568,1848
2021-02-24,Marshall Islands,9948,7774,2174
2021-02-25,Marshall Islands,10312,8082,2230
2021-02-26,Marshall Islands,10697,8427,2270
2021-02-27,Marshall Islands,10699,8429,2270
2021-02-28,Marshall Islands,11151,8819,2332
2021-03-01,Marshall Islands,11151,8819,2332
2021-03-02,Marshall Islands,11304,8843,2461
2021-03-03,Marshall Islands,11304,8843,2461
2021-03-04,Marshall Islands,12063,9394,2669
2021-03-05,Marshall Islands,12544,9674,2870
2021-03-06,Marshall Islands,13242,10027,3215
2021-03-07,Marshall Islands,13691,10430,3261
2021-03-08,Marshall Islands,13695,10432,3263
2021-03-09,Marshall Islands,14476,10732,3744
2021-03-10,Marshall Islands,14938,10897,4041
2021-03-11,Marshall Islands,15465,11050,4415
2021-03-12,Marshall Islands,15845,11121,4724
2021-03-13,Marshall Islands,15957,11204,4753
2021-03-14,Marshall Islands,15957,11204,4753
2021-03-15,Marshall Islands,15957,11204,4753
2021-03-16,Marshall Islands,16050,11263,4787
2021-03-17,Marshall Islands,17061,11597,5464
2021-03-18,Marshall Islands,17061,11597,5464
2021-03-19,Marshall Islands,17064,11600,5464
2021-03-20,Marshall Islands,17990,11873,6117
2021-03-21,Marshall Islands,18819,12039,6780
2021-03-22,Marshall Islands,18822,12042,6780
2021-03-23,Marshall Islands,18827,12047,6780
2021-03-24,Marshall Islands,19038,12150,6888
2021-03-25,Marshall Islands,19297,12225,7072
2021-03-26,Marshall Islands,19825,12381,7444
2021-03-27,Marshall Islands,19826,12381,7445
2021-03-28,Marshall Islands,19968,12417,7551
2021-03-29,Marshall Islands,20293,12452,7841
2021-03-30,Marshall Islands,20293,12452,7841
2021-03-31,Marshall Islands,20463,12511,7952
2021-04-01,Marshall Islands,20640,12576,8064
2021-04-02,Marshall Islands,20874,12621,8253
2021-04-03,Marshall Islands,21280,12813,8467
2021-04-04,Marshall Islands,21736,12995,8741
2021-04-05,Marshall Islands,21738,12995,8743
2021-04-06,Marshall Islands,21905,13031,8874
2021-04-07,Marshall Islands,22081,13070,9011
2021-04-08,Marshall Islands,22460,13203,9257
2021-04-09,Marshall Islands,22463,13205,9258
2021-04-10,Marshall Islands,22957,13333,9624
2021-04-11,Marshall Islands,23109,13374,9735
2021-04-12,Marshall Islands,23189,13403,9786
2021-04-13,Marshall Islands,23402,13451,9951
2021-04-14,Marshall Islands,23403,13451,9952
2021-04-15,Marshall Islands,23527,13499,10028
2021-04-16,Marshall Islands,23801,13592,10209
2021-04-17,Marshall Islands,24247,13781,10466
2021-04-18,Marshall Islands,24248,13782,10466
2021-04-19,Marshall Islands,24674,13917,10757
2021-04-20,Marshall Islands,24674,13917,10757
2021-04-21,Marshall Islands,25008,13984,11024
2021-04-22,Marshall Islands,25392,14073,11319
2021-04-23,Marshall Islands,25393,14073,11320
2021-04-24,Marshall Islands,25394,14073,11321
2021-04-25,Marshall Islands,25400,14074,11326
2021-04-26,Marshall Islands,25743,14205,11538
2021-04-27,Marshall Islands,25801,14228,11573
2021-04-28,Marshall Islands,26077,14363,11714
2021-04-29,Marshall Islands,26523,14544,11979
2021-04-30,Marshall Islands,26525,14544,11981
2021-05-01,Marshall Islands,26850,14704,12146
2021-05-02,Marshall Islands,26850,14704,12146
2021-05-03,Marshall Islands,27082,14790,12292
2021-05-04,Marshall Islands,27163,14827,12336
2021-05-05,Marshall Islands,27163,14827,12336
2021-05-06,Marshall Islands,27159,14825,12334
2021-05-07,Marshall Islands,27159,14825,12334
2021-05-08,Marshall Islands,28420,15484,12936
2021-05-09,Marshall Islands,28466,15490,12976
2021-05-10,Marshall Islands,28466,15490,12976
2021-05-11,Marshall Islands,28540,15526,13014
2021-05-12,Marshall Islands,28540,15526,13014
2021-05-13,Marshall Islands,28789,15603,13186
2021-05-14,Marshall Islands,28791,15604,13187
2021-05-15,Marshall Islands,28791,15604,13187
2021-05-16,Marshall Islands,28926,15651,13275
2021-05-17,Marshall Islands,29417,15872,13545
