date,state,total doses,first dose,second dose
2021-01-12,Michigan,227258,207786,19472
2021-01-13,Michigan,291056,259119,31937
2021-01-14,Michigan,326585,286349,40236
2021-01-15,Michigan,360951,312415,48536
2021-01-16,Michigan,390715,338618,52097
2021-01-17,Michigan,420479,364821,55658
2021-01-18,Michigan,450243,391024,59219
2021-01-19,Michigan,480008,417228,62780
2021-01-20,Michigan,504937,434402,70535
2021-01-21,Michigan,544931,463917,81014
2021-01-22,Michigan,590431,497958,92473
2021-01-23,Michigan,642118,536228,105890
2021-01-24,Michigan,684410,573167,111243
2021-01-25,Michigan,716505,599665,116840
2021-01-26,Michigan,731052,611090,119962
2021-01-27,Michigan,760719,629437,131282
2021-01-28,Michigan,802875,659118,143757
2021-01-29,Michigan,854959,695236,159723
2021-01-30,Michigan,910020,734903,175117
2021-01-31,Michigan,963721,772944,190777
2021-02-01,Michigan,992161,794391,197770
2021-02-02,Michigan,1002076,801811,200265
2021-02-03,Michigan,1028596,814362,214234
2021-02-04,Michigan,1064897,835524,229373
2021-02-05,Michigan,1119729,866766,252963
2021-02-06,Michigan,1178507,896162,282345
2021-02-07,Michigan,1236734,924494,312240
2021-02-08,Michigan,1267080,938279,328801
2021-02-09,Michigan,1294285,950705,343580
2021-02-10,Michigan,1342838,971480,371358
2021-02-11,Michigan,1395643,997466,398177
2021-02-12,Michigan,1448777,1023114,425663
2021-02-13,Michigan,1520656,1061320,459336
2021-02-14,Michigan,1587476,1096479,490997
2021-02-15,Michigan,1613368,1110251,503117
2021-02-16,Michigan,1639261,1124024,515237
2021-02-17,Michigan,1662913,1136393,526520
2021-02-18,Michigan,1700670,1155117,545553
2021-02-19,Michigan,1815467,1223696,591771
2021-02-20,Michigan,1865353,1247602,617751
2021-02-21,Michigan,1914700,1267083,647617
2021-02-22,Michigan,1985815,1304589,681226
2021-02-23,Michigan,1999263,1310846,688417
2021-02-24,Michigan,2057634,1341342,716292
2021-02-25,Michigan,2116247,1364572,751675
2021-02-26,Michigan,2179429,1399281,780148
2021-02-27,Michigan,2259963,1444239,815724
2021-02-28,Michigan,2334258,1491316,842942
2021-03-01,Michigan,2373706,1514180,859526
2021-03-02,Michigan,2407046,1536958,870088
2021-03-03,Michigan,2442088,1562225,879863
2021-03-04,Michigan,2495321,1590980,904341
2021-03-05,Michigan,2574591,1644210,930381
2021-03-06,Michigan,2657948,1702571,955377
