date,state,total doses,first dose,second dose
2021-01-12,Missouri,130094,107939,22155
2021-01-13,Missouri,130094,107939,22155
2021-01-14,Missouri,174861,145521,29340
2021-01-15,Missouri,190189,153664,36525
2021-01-16,Missouri,201431,162696,38735
2021-01-17,Missouri,212674,171728,40946
2021-01-18,Missouri,223917,180760,43157
2021-01-19,Missouri,235161,189793,45368
2021-01-20,Missouri,243197,193867,49330
2021-01-21,Missouri,263999,205217,58782
2021-01-22,Missouri,284296,217597,66699
2021-01-23,Missouri,290315,221849,68466
2021-01-24,Missouri,316185,242937,73248
2021-01-25,Missouri,334121,258298,75823
2021-01-26,Missouri,338697,262230,76467
2021-01-27,Missouri,356516,276990,79526
2021-01-28,Missouri,380699,294872,85827
2021-01-29,Missouri,405550,313161,92389
2021-01-30,Missouri,405550,313161,92389
2021-01-31,Missouri,440945,340708,100237
2021-02-01,Missouri,458628,355387,103241
2021-02-02,Missouri,462825,358762,104063
2021-02-03,Missouri,478224,371382,106842
2021-02-04,Missouri,500798,388692,112106
2021-02-05,Missouri,531298,412990,118308
2021-02-06,Missouri,578103,448830,129273
2021-02-07,Missouri,618546,477412,141134
2021-02-08,Missouri,636823,490686,146137
2021-02-09,Missouri,640232,492766,147466
2021-02-10,Missouri,662788,507801,154987
2021-02-11,Missouri,687795,524638,163157
2021-02-12,Missouri,710209,537256,172953
2021-02-13,Missouri,797773,592128,205645
2021-02-14,Missouri,838759,613292,225467
2021-02-15,Missouri,854182,622065,232117
2021-02-16,Missouri,869605,630838,238767
2021-02-17,Missouri,882586,637707,244879
2021-02-18,Missouri,906002,646707,259295
2021-02-19,Missouri,1004425,708969,295456
2021-02-20,Missouri,1032908,723937,308971
2021-02-21,Missouri,1073445,736999,336446
2021-02-22,Missouri,1046942,717772,329170
2021-02-23,Missouri,1053368,720372,332996
2021-02-24,Missouri,1079230,732498,346732
2021-02-25,Missouri,1109026,744895,364131
2021-02-26,Missouri,1153816,774707,379109
2021-02-27,Missouri,1217387,805542,411845
2021-02-28,Missouri,1220224,807368,412856
2021-03-01,Missouri,1308660,865315,443345
2021-03-02,Missouri,1317964,872317,445647
2021-03-03,Missouri,1351101,893880,457221
2021-03-04,Missouri,1393087,917676,475411
2021-03-05,Missouri,1438565,945451,493114
2021-03-06,Missouri,1486152,976273,509879
2021-03-07,Missouri,1533557,1007667,525890
2021-03-08,Missouri,1568788,1027201,541587
2021-03-09,Missouri,1582678,1038458,544220
2021-03-10,Missouri,1625299,1060792,564507
2021-03-11,Missouri,1667489,1085613,581876
2021-03-12,Missouri,1708180,1110044,598136
2021-03-13,Missouri,1819905,1186989,632916
2021-03-14,Missouri,1822282,1188641,633641
2021-03-15,Missouri,1852853,1205497,647356
