date,state,total doses,first dose,second dose
2021-01-12,Montana,36730,30887,5843
2021-01-13,Montana,38709,31886,6823
2021-01-14,Montana,46611,39103,7508
2021-01-15,Montana,49353,41160,8193
2021-01-16,Montana,50984,42672,8312
2021-01-17,Montana,52616,44184,8432
2021-01-18,Montana,54247,45696,8551
2021-01-19,Montana,55880,47209,8671
2021-01-20,Montana,57207,48086,9121
2021-01-21,Montana,60375,50413,9962
2021-01-22,Montana,66331,54453,11878
2021-01-23,Montana,72524,59289,13235
2021-01-24,Montana,76569,62498,14071
2021-01-25,Montana,77335,63224,14111
2021-01-26,Montana,77726,63481,14245
2021-01-27,Montana,81143,65746,15397
2021-01-28,Montana,86181,68032,18149
2021-01-29,Montana,92541,71534,21007
2021-01-30,Montana,99217,75432,23785
2021-01-31,Montana,104469,79584,24885
2021-02-01,Montana,106065,80627,25438
2021-02-02,Montana,107244,81420,25824
2021-02-03,Montana,110220,83875,26345
2021-02-04,Montana,115984,87042,28942
2021-02-05,Montana,122360,91611,30749
2021-02-06,Montana,130601,96394,34207
2021-02-07,Montana,137457,101262,36195
2021-02-08,Montana,138961,102365,36596
2021-02-09,Montana,139810,102903,36907
2021-02-10,Montana,144004,106038,37966
2021-02-11,Montana,148976,109266,39710
2021-02-12,Montana,157310,115415,41895
2021-02-13,Montana,166961,122026,44935
2021-02-14,Montana,176396,127657,48739
2021-02-15,Montana,178816,129291,49525
2021-02-16,Montana,181237,130926,50311
2021-02-17,Montana,184140,132847,51293
2021-02-18,Montana,189609,136359,53250
2021-02-19,Montana,220587,157930,62657
2021-02-20,Montana,228165,161546,66619
2021-02-21,Montana,236348,165472,70876
2021-02-22,Montana,240805,168580,72225
2021-02-23,Montana,243011,169958,73053
2021-02-24,Montana,246635,171428,75207
2021-02-25,Montana,252308,174160,78148
2021-02-26,Montana,261023,179212,81811
2021-02-27,Montana,271128,183889,87239
2021-02-28,Montana,281502,188782,92720
2021-03-01,Montana,284841,191091,93750
2021-03-02,Montana,286374,191691,94683
2021-03-03,Montana,291864,194837,97027
2021-03-04,Montana,301310,199610,101700
2021-03-05,Montana,312637,205372,107265
2021-03-06,Montana,324318,210773,113545
2021-03-07,Montana,337289,217186,120103
2021-03-08,Montana,342102,219236,122866
2021-03-09,Montana,344289,220672,123617
2021-03-10,Montana,350905,224812,126093
2021-03-11,Montana,361748,230731,131017
2021-03-12,Montana,373479,237009,136470
2021-03-13,Montana,387085,243698,143387
2021-03-14,Montana,400014,251203,148811
2021-03-15,Montana,403319,252446,150873
2021-03-16,Montana,406785,254359,152426
2021-03-17,Montana,412165,257975,154190
2021-03-18,Montana,420011,263148,156863
2021-03-19,Montana,429378,269085,160293
2021-03-20,Montana,440129,275589,164540
2021-03-21,Montana,450305,282065,168240
2021-03-22,Montana,455152,284626,170526
2021-03-23,Montana,455373,284822,170551
2021-03-24,Montana,463125,290203,172922
2021-03-25,Montana,472315,296319,175996
2021-03-26,Montana,483946,303060,180886
2021-03-27,Montana,496498,310443,186055
2021-03-28,Montana,508758,316057,192701
2021-03-29,Montana,512213,317475,194738
2021-03-30,Montana,514772,318968,195804
2021-03-31,Montana,532586,327448,205138
2021-04-01,Montana,544358,333966,210392
2021-04-02,Montana,555777,340388,215389
2021-04-03,Montana,568661,346534,222127
2021-04-04,Montana,581829,352924,228905
2021-04-05,Montana,585744,354742,231002
2021-04-06,Montana,586807,355446,231361
2021-04-07,Montana,596344,360670,235674
2021-04-08,Montana,609266,368338,240928
2021-04-09,Montana,623785,375820,247965
2021-04-10,Montana,638147,382817,255330
2021-04-11,Montana,652023,388207,263816
2021-04-12,Montana,656546,390361,266185
2021-04-13,Montana,659977,391890,268087
2021-04-14,Montana,662299,392616,269683
2021-04-15,Montana,674893,397682,277211
2021-04-16,Montana,685814,402846,282968
2021-04-17,Montana,697190,406579,290611
2021-04-18,Montana,697963,406872,291091
2021-04-19,Montana,710532,411620,298912
2021-04-20,Montana,712379,412035,300344
2021-04-21,Montana,717496,414396,303100
2021-04-22,Montana,725160,418158,307002
2021-04-23,Montana,733675,421707,311968
2021-04-24,Montana,743567,424582,318985
2021-04-25,Montana,751548,426757,324791
2021-04-26,Montana,754018,427551,326467
