date,state,total doses,first dose,second dose
2021-01-12,New Jersey,221043,206737,14306
2021-01-13,New Jersey,262979,236053,26926
2021-01-14,New Jersey,266985,235152,31833
2021-01-15,New Jersey,315697,278956,36741
2021-01-16,New Jersey,336405,297880,38525
2021-01-17,New Jersey,357114,316804,40310
2021-01-18,New Jersey,377822,335728,42094
2021-01-19,New Jersey,398532,354653,43879
2021-01-20,New Jersey,430579,381159,49420
2021-01-21,New Jersey,430579,381159,49420
2021-01-22,New Jersey,462707,406494,56213
2021-01-23,New Jersey,499217,437711,61506
2021-01-24,New Jersey,533924,468760,65164
2021-01-25,New Jersey,561435,492061,69374
2021-01-26,New Jersey,574024,501812,72212
2021-01-27,New Jersey,610060,530412,79648
2021-01-28,New Jersey,646354,558156,88198
2021-01-29,New Jersey,725358,616618,108740
2021-01-30,New Jersey,766826,649035,117791
2021-01-31,New Jersey,793300,670153,123147
2021-02-01,New Jersey,808143,680591,127552
2021-02-02,New Jersey,834414,697318,137096
2021-02-03,New Jersey,849527,703957,145570
2021-02-04,New Jersey,849527,703957,145570
2021-02-05,New Jersey,882521,724879,157642
2021-02-06,New Jersey,990051,791011,199040
2021-02-07,New Jersey,1023515,812914,210601
2021-02-08,New Jersey,1043545,822080,221465
2021-02-09,New Jersey,1091660,851190,240470
2021-02-10,New Jersey,1143520,883576,259944
2021-02-11,New Jersey,1191366,911345,280021
2021-02-12,New Jersey,1247312,941794,305518
2021-02-13,New Jersey,1304129,971241,332888
2021-02-14,New Jersey,1343683,992728,350955
2021-02-15,New Jersey,1382631,1015324,367307
2021-02-16,New Jersey,1421579,1037920,383659
2021-02-17,New Jersey,1474422,1067242,407180
2021-02-18,New Jersey,1536082,1103016,433066
2021-02-19,New Jersey,1598182,1139254,458928
2021-02-20,New Jersey,1642236,1157271,484965
2021-02-21,New Jersey,1682603,1172226,510377
2021-02-22,New Jersey,1785487,1233939,551548
2021-02-23,New Jersey,1832888,1256071,576817
2021-02-24,New Jersey,1878278,1278650,599628
2021-02-25,New Jersey,1941889,1310121,631768
2021-02-26,New Jersey,2019338,1348635,670703
2021-02-27,New Jersey,2086546,1385622,700924
2021-02-28,New Jersey,2145931,1423424,722507
2021-03-01,New Jersey,2179180,1448799,730381
2021-03-02,New Jersey,2270371,1511554,758817
2021-03-03,New Jersey,2334229,1555002,779227
2021-03-04,New Jersey,2410810,1609464,801346
2021-03-05,New Jersey,2490837,1661209,829628
2021-03-06,New Jersey,2569920,1712715,857205
2021-03-07,New Jersey,2627499,1749281,878218
2021-03-08,New Jersey,2673967,1775631,898336
2021-03-09,New Jersey,2745166,1821711,923455
2021-03-10,New Jersey,2824389,1871063,953326
2021-03-11,New Jersey,2956689,1958556,998133
2021-03-12,New Jersey,3046089,2018387,1027702
2021-03-13,New Jersey,3154593,2090835,1063758
2021-03-14,New Jersey,3211713,2126722,1084991
2021-03-15,New Jersey,3263755,2158901,1104854
2021-03-16,New Jersey,3329214,2199384,1129830
2021-03-17,New Jersey,3413594,2251222,1162372
2021-03-18,New Jersey,3510379,2312582,1197797
2021-03-19,New Jersey,3599307,2372189,1227118
2021-03-20,New Jersey,3688593,2430590,1258003
2021-03-21,New Jersey,3760112,2475567,1284545
2021-03-22,New Jersey,3818136,2510167,1307969
2021-03-23,New Jersey,3825018,2514665,1310353
2021-03-24,New Jersey,3975312,2606788,1368524
2021-03-25,New Jersey,4067610,2661886,1405724
2021-03-26,New Jersey,4165709,2720391,1445318
2021-03-27,New Jersey,4266558,2774867,1491691
