date,state,total doses,first dose,second dose
2021-01-12,Ohio,311867,311867,0
2021-01-13,Ohio,332683,329295,3388
2021-01-14,Ohio,345737,338961,6776
2021-01-15,Ohio,375370,361818,13552
2021-01-16,Ohio,399514,382566,16948
2021-01-17,Ohio,423660,403315,20345
2021-01-18,Ohio,447805,424063,23742
2021-01-19,Ohio,471951,444812,27139
2021-01-20,Ohio,487334,456424,30910
2021-01-21,Ohio,487334,456424,30910
2021-01-22,Ohio,545318,500557,44761
2021-01-23,Ohio,594697,535544,59153
2021-01-24,Ohio,646832,575488,71344
2021-01-25,Ohio,685328,608379,76949
2021-01-26,Ohio,707719,627390,80329
2021-01-27,Ohio,745909,657075,88834
2021-01-28,Ohio,789358,683323,106035
2021-01-29,Ohio,842471,716677,125794
2021-01-30,Ohio,910285,759337,150948
2021-01-31,Ohio,953227,789605,163622
2021-02-01,Ohio,1003765,824597,179168
2021-02-02,Ohio,1044243,854741,189502
2021-02-03,Ohio,1084414,883630,200784
2021-02-04,Ohio,1126942,908994,217948
2021-02-05,Ohio,1175972,936321,239651
2021-02-06,Ohio,1241065,975620,265445
2021-02-07,Ohio,1292444,1006750,285694
2021-02-08,Ohio,1344667,1038595,306072
2021-02-09,Ohio,1371976,1059251,312725
2021-02-10,Ohio,1404581,1077597,326984
2021-02-11,Ohio,1457067,1107677,349390
2021-02-12,Ohio,1538056,1162381,375675
2021-02-13,Ohio,1610436,1200949,409487
2021-02-14,Ohio,1688954,1241257,447697
2021-02-15,Ohio,1740386,1275118,465268
2021-02-16,Ohio,1791819,1308980,482839
2021-02-17,Ohio,1821885,1325650,496235
2021-02-18,Ohio,1857971,1343458,514513
2021-02-19,Ohio,1995942,1432292,563650
2021-02-20,Ohio,2062850,1460227,602623
2021-02-21,Ohio,2135921,1486509,649412
2021-02-22,Ohio,2184254,1498985,685269
2021-02-23,Ohio,2216275,1511089,705186
2021-02-24,Ohio,2274364,1535852,738512
2021-02-25,Ohio,2337373,1562236,775137
2021-02-26,Ohio,2398636,1593638,804998
2021-02-27,Ohio,2486634,1638626,848008
2021-02-28,Ohio,2583261,1686825,896436
2021-03-01,Ohio,2643318,1723002,920316
2021-03-02,Ohio,2703445,1755260,948185
2021-03-03,Ohio,2769263,1794044,975219
2021-03-04,Ohio,2828925,1829145,999780
2021-03-05,Ohio,2895624,1874115,1021509
2021-03-06,Ohio,3002896,1943411,1059485
2021-03-07,Ohio,3104902,2001222,1103680
2021-03-08,Ohio,3194101,2042646,1151455
2021-03-09,Ohio,3248525,2070097,1178428
2021-03-10,Ohio,3318867,2109012,1209855
2021-03-11,Ohio,3404037,2161650,1242387
2021-03-12,Ohio,3519829,2232778,1287051
2021-03-13,Ohio,3662167,2319341,1342826
2021-03-14,Ohio,3775778,2388057,1387721
2021-03-15,Ohio,3868609,2441898,1426711
2021-03-16,Ohio,3913157,2466334,1446823
2021-03-17,Ohio,3982452,2507736,1474716
2021-03-18,Ohio,4077434,2574120,1503314
2021-03-19,Ohio,4185684,2646831,1538853
2021-03-20,Ohio,4305149,2728608,1576541
2021-03-21,Ohio,4431041,2810887,1620154
2021-03-22,Ohio,4516731,2866528,1650203
2021-03-23,Ohio,4570169,2903017,1667152
2021-03-24,Ohio,4655331,2965678,1689653
2021-03-25,Ohio,4753930,3031371,1722559
2021-03-26,Ohio,4882735,3111035,1771700
2021-03-27,Ohio,5023660,3198989,1824671
2021-03-28,Ohio,5152228,3266675,1885553
2021-03-29,Ohio,5244352,3324459,1919893
2021-03-30,Ohio,5293481,3354361,1939120
2021-03-31,Ohio,5370197,3399897,1970300
2021-04-01,Ohio,5476649,3464729,2011920
2021-04-02,Ohio,5610291,3544121,2066170
2021-04-03,Ohio,5771256,3635530,2135726
2021-04-04,Ohio,5905919,3710193,2195726
2021-04-05,Ohio,5989715,3757736,2231979
2021-04-06,Ohio,6030941,3782105,2248836
2021-04-07,Ohio,6118895,3834469,2284426
2021-04-08,Ohio,6255640,3900595,2355045
2021-04-09,Ohio,6415442,3979349,2436093
2021-04-10,Ohio,6575615,4051299,2524316
2021-04-11,Ohio,6578690,4052665,2526025
2021-04-12,Ohio,6846862,4167028,2679834
2021-04-13,Ohio,6892155,4184700,2707455
2021-04-14,Ohio,6993278,4223049,2770229
2021-04-15,Ohio,7108422,4269197,2839225
2021-04-16,Ohio,7229823,4317041,2912782
2021-04-17,Ohio,7372557,4364057,3008500
2021-04-18,Ohio,7483633,4406863,3076770
2021-04-19,Ohio,7558804,4432951,3125853
2021-04-20,Ohio,7608801,4451241,3157560
2021-04-21,Ohio,7695055,4479233,3215822
2021-04-22,Ohio,7790278,4509033,3281245
2021-04-23,Ohio,7912843,4548910,3363933
2021-04-24,Ohio,8024662,4578637,3446025
2021-04-25,Ohio,8130750,4610653,3520097
2021-04-26,Ohio,8198369,4630975,3567394
2021-04-27,Ohio,8245328,4643330,3601998
2021-04-28,Ohio,8308621,4664034,3644587
2021-04-29,Ohio,8379023,4684613,3694410
2021-04-30,Ohio,8489624,4720523,3769101
2021-05-01,Ohio,8583762,4745686,3838076
2021-05-02,Ohio,8651892,4767048,3884844
2021-05-03,Ohio,8684801,4777810,3906991
2021-05-04,Ohio,8698950,4783268,3915682
2021-05-05,Ohio,8743697,4800092,3943605
2021-05-06,Ohio,8811783,4820880,3990903
2021-05-07,Ohio,8903114,4849517,4053597
2021-05-08,Ohio,8976417,4868257,4108160
2021-05-09,Ohio,9053601,4890014,4163587
2021-05-10,Ohio,9095547,4898308,4197239
2021-05-11,Ohio,9160863,4926014,4234849
2021-05-12,Ohio,9216898,4943822,4273076
2021-05-13,Ohio,9261077,4957157,4303920
2021-05-14,Ohio,9318576,4978466,4340110
2021-05-15,Ohio,9367208,4998843,4368365
2021-05-16,Ohio,9433316,5027138,4406178
2021-05-17,Ohio,9469645,5045592,4424053
2021-05-18,Ohio,9495701,5059492,4436209
2021-05-19,Ohio,9539945,5081857,4458088
2021-05-20,Ohio,9594870,5112870,4482000
2021-05-21,Ohio,9650445,5144102,4506343
2021-05-22,Ohio,9730104,5189607,4540497
2021-05-23,Ohio,9781387,5216803,4564584
2021-05-24,Ohio,9817775,5235387,4582388
2021-05-25,Ohio,9834614,5244540,4590074
2021-05-26,Ohio,9878980,5269020,4609960
2021-05-27,Ohio,9926653,5294933,4631720
2021-05-28,Ohio,9965543,5314165,4651378
2021-05-29,Ohio,10005462,5333662,4671800
2021-05-30,Ohio,10047896,5354671,4693225
2021-05-31,Ohio,10064508,5362557,4701951
2021-06-01,Ohio,10081122,5370444,4710678
2021-06-02,Ohio,10092135,5376634,4715501
2021-06-03,Ohio,10116132,5387191,4728941
2021-06-04,Ohio,10148507,5402138,4746369
2021-06-05,Ohio,10187335,5419839,4767496
2021-06-06,Ohio,10231403,5436634,4794769
2021-06-07,Ohio,10262339,5446690,4815649
2021-06-08,Ohio,10282678,5452716,4829962
2021-06-09,Ohio,10316354,5464855,4851499
2021-06-10,Ohio,10350770,5477125,4873645
2021-06-11,Ohio,10351319,5477448,4873871
2021-06-12,Ohio,10392612,5491213,4901399
2021-06-13,Ohio,10425381,5502477,4922904
2021-06-14,Ohio,10462909,5514712,4948197
2021-06-15,Ohio,10497143,5522287,4974856
2021-06-16,Ohio,10529433,5532693,4996740
2021-06-17,Ohio,10576859,5544431,5032428
2021-06-18,Ohio,10611793,5555402,5056391
2021-06-19,Ohio,10640579,5565802,5074777
2021-06-20,Ohio,10663963,5573287,5090676
2021-06-21,Ohio,10684142,5579271,5104871
2021-06-22,Ohio,10695168,5582498,5112670
2021-06-23,Ohio,10711704,5589236,5122468
2021-06-24,Ohio,10732663,5597552,5135111
2021-06-25,Ohio,10756388,5606447,5149941
2021-06-26,Ohio,10775370,5612381,5162989
2021-06-27,Ohio,10801578,5620319,5181259
2021-06-28,Ohio,10840992,5626573,5214419
2021-06-29,Ohio,10848729,5628992,5219737
2021-06-30,Ohio,10862749,5635230,5227519
2021-07-01,Ohio,10881034,5642147,5238887
2021-07-02,Ohio,10902147,5650814,5251333
2021-07-03,Ohio,10918567,5656928,5261639
2021-07-04,Ohio,10935203,5663486,5271717
2021-07-05,Ohio,10942124,5665952,5276172
2021-07-06,Ohio,10949047,5668419,5280628
2021-07-07,Ohio,10955419,5671176,5284243
2021-07-08,Ohio,10970175,5677337,5292838
2021-07-09,Ohio,10985787,5683665,5302122
2021-07-10,Ohio,10998440,5689138,5309302
2021-07-11,Ohio,11014720,5696098,5318622
2021-07-12,Ohio,11023420,5699613,5323807
2021-07-13,Ohio,11029927,5702383,5327544
2021-07-14,Ohio,11041465,5708141,5333324
2021-07-15,Ohio,11041925,5708388,5333537
2021-07-16,Ohio,11068173,5720703,5347470
2021-07-17,Ohio,11080250,5726605,5353645
2021-07-18,Ohio,11092712,5732675,5360037
2021-07-19,Ohio,11101365,5736898,5364467
2021-07-20,Ohio,11107460,5738944,5368516
2021-07-21,Ohio,11118481,5745648,5372833
2021-07-22,Ohio,11132009,5753167,5378842
2021-07-23,Ohio,11148815,5762454,5386361
2021-07-24,Ohio,11163137,5770636,5392501
2021-07-25,Ohio,11177535,5779309,5398226
2021-07-26,Ohio,11188890,5786183,5402707
2021-07-27,Ohio,11195040,5790073,5404967
2021-07-28,Ohio,11208228,5799160,5409068
2021-07-29,Ohio,11208850,5799557,5409293
2021-07-30,Ohio,11248918,5818078,5430840
2021-07-31,Ohio,11265655,5828437,5437218
2021-08-01,Ohio,11283682,5838607,5445075
2021-08-02,Ohio,11296075,5846418,5449657
2021-08-03,Ohio,11305122,5852163,5452959
2021-08-04,Ohio,11320647,5862521,5458126
2021-08-05,Ohio,11338180,5874057,5464123
2021-08-06,Ohio,11357328,5886752,5470576
2021-08-07,Ohio,11375840,5898714,5477126
2021-08-08,Ohio,11395594,5911724,5483870
2021-08-09,Ohio,11407750,5919364,5488386
2021-08-10,Ohio,11418302,5926050,5492252
2021-08-11,Ohio,11435408,5937392,5498016
2021-08-12,Ohio,11451321,5947359,5503962
2021-08-13,Ohio,11467220,5956971,5510249
2021-08-14,Ohio,11494429,5973630,5520799
2021-08-15,Ohio,11513260,5984303,5528957
2021-08-16,Ohio,11529594,5993454,5536140
2021-08-17,Ohio,11537811,5998237,5539574
2021-08-18,Ohio,11556875,6009580,5547295
2021-08-19,Ohio,11577364,6021144,5556220
2021-08-20,Ohio,11597035,6032202,5564833
2021-08-21,Ohio,11616035,6042718,5573317
2021-08-22,Ohio,11637555,6054320,5583235
2021-08-23,Ohio,11651940,6061277,5590663
2021-08-24,Ohio,11661605,6065772,5595833
2021-08-25,Ohio,11678451,6075595,5602856
2021-08-26,Ohio,11700255,6087175,5613080
2021-08-27,Ohio,11720334,6097791,5622543
2021-08-28,Ohio,11740965,6108967,5631998
2021-08-29,Ohio,11764385,6121174,5643211
2021-08-30,Ohio,11781379,6129046,5652333
2021-08-31,Ohio,11791285,6133397,5657888
2021-09-01,Ohio,11812302,6144872,5667430
2021-09-02,Ohio,11813143,6145359,5667784
2021-09-03,Ohio,11836855,6157583,5679272
2021-09-04,Ohio,11854573,6167187,5687386
2021-09-05,Ohio,11866030,6172761,5693269
2021-09-06,Ohio,11877486,6178334,5699152
2021-09-07,Ohio,11900401,6189482,5710919
2021-09-08,Ohio,11910142,6194614,5715528
2021-09-09,Ohio,11925952,6202991,5722961
2021-09-10,Ohio,11945667,6212041,5733626
2021-09-11,Ohio,11965345,6222475,5742870
2021-09-12,Ohio,11988184,6234675,5753509
2021-09-13,Ohio,12003647,6242007,5761640
2021-09-14,Ohio,12010745,6245415,5765330
2021-09-15,Ohio,12027105,6254489,5772616
