date,state,total doses,first dose,second dose
2021-01-12,Tennessee,161649,143735,17914
2021-01-13,Tennessee,174919,150893,24026
2021-01-14,Tennessee,269856,238943,30913
2021-01-15,Tennessee,302712,264912,37800
2021-01-16,Tennessee,314815,274249,40566
2021-01-17,Tennessee,326919,283586,43333
2021-01-18,Tennessee,339023,292923,46100
2021-01-19,Tennessee,351127,302260,48867
2021-01-20,Tennessee,357831,305780,52051
2021-01-21,Tennessee,374897,313154,61743
2021-01-22,Tennessee,400705,324543,76162
2021-01-23,Tennessee,423199,335823,87376
2021-01-24,Tennessee,451026,354407,96619
2021-01-25,Tennessee,461609,361767,99842
2021-01-26,Tennessee,466892,365235,101657
2021-01-27,Tennessee,486470,374108,112362
2021-01-28,Tennessee,508798,385682,123116
2021-01-29,Tennessee,544542,400950,143592
2021-01-30,Tennessee,572652,416716,155936
2021-01-31,Tennessee,607592,438426,169166
2021-02-01,Tennessee,626225,447977,178248
2021-02-02,Tennessee,630179,450633,179546
2021-02-03,Tennessee,655974,463300,192674
2021-02-04,Tennessee,682203,477784,204419
2021-02-05,Tennessee,716221,500458,215763
2021-02-06,Tennessee,749819,521621,228198
2021-02-07,Tennessee,788332,543793,244539
2021-02-08,Tennessee,802927,554016,248911
2021-02-09,Tennessee,809237,558590,250647
2021-02-10,Tennessee,836404,577121,259283
2021-02-11,Tennessee,862901,595081,267820
2021-02-12,Tennessee,897990,618010,279980
2021-02-13,Tennessee,922999,634688,288311
2021-02-14,Tennessee,963112,659390,303722
2021-02-15,Tennessee,976021,667405,308616
2021-02-16,Tennessee,988931,675421,313510
2021-02-17,Tennessee,995411,680454,314957
2021-02-18,Tennessee,1010159,691486,318673
2021-02-19,Tennessee,1079246,740230,339016
2021-02-20,Tennessee,1093421,748756,344665
2021-02-21,Tennessee,1112578,757333,355245
2021-02-22,Tennessee,1113856,757200,356656
2021-02-23,Tennessee,1122435,761007,361428
2021-02-24,Tennessee,1158222,777850,380372
2021-02-25,Tennessee,1191589,794893,396696
2021-02-26,Tennessee,1237662,821513,416149
2021-02-27,Tennessee,1280504,845090,435414
2021-02-28,Tennessee,1337113,878954,458159
2021-03-01,Tennessee,1371728,903477,468251
2021-03-02,Tennessee,1382502,911906,470596
2021-03-03,Tennessee,1431116,943375,487741
2021-03-04,Tennessee,1467424,965429,501995
2021-03-05,Tennessee,1513916,990140,523776
2021-03-06,Tennessee,1553381,1015188,538193
2021-03-07,Tennessee,1606368,1041609,564759
2021-03-08,Tennessee,1631610,1058354,573256
2021-03-09,Tennessee,1640036,1064302,575734
2021-03-10,Tennessee,1683435,1091669,591766
2021-03-11,Tennessee,1730149,1123145,607004
2021-03-12,Tennessee,1785484,1161962,623522
2021-03-13,Tennessee,1841587,1201964,639623
2021-03-14,Tennessee,1897888,1238369,659519
2021-03-15,Tennessee,1930883,1260166,670717
2021-03-16,Tennessee,1940492,1265605,674887
2021-03-17,Tennessee,1987940,1300220,687720
2021-03-18,Tennessee,2037605,1334622,702983
2021-03-19,Tennessee,2078016,1361297,716719
2021-03-20,Tennessee,2126960,1394341,732619
2021-03-21,Tennessee,2185062,1432648,752414
2021-03-22,Tennessee,2220699,1452601,768098
2021-03-23,Tennessee,2235668,1461295,774373
2021-03-24,Tennessee,2288858,1495500,793358
2021-03-25,Tennessee,2346375,1531296,815079
2021-03-26,Tennessee,2411308,1573735,837573
2021-03-27,Tennessee,2475043,1612374,862669
2021-03-28,Tennessee,2544279,1647245,897034
2021-03-29,Tennessee,2581372,1669271,912101
2021-03-30,Tennessee,2595558,1677569,917989
2021-03-31,Tennessee,2654612,1711847,942765
2021-04-01,Tennessee,2723979,1751164,972815
2021-04-02,Tennessee,2788131,1789034,999097
2021-04-03,Tennessee,2864385,1829918,1034467
2021-04-04,Tennessee,2908406,1853878,1054528
2021-04-05,Tennessee,2934191,1869985,1064206
2021-04-06,Tennessee,2939454,1873046,1066408
2021-04-07,Tennessee,2995461,1900061,1095400
2021-04-08,Tennessee,3066821,1938090,1128731
2021-04-09,Tennessee,3135034,1976283,1158751
2021-04-10,Tennessee,3205823,2013257,1192566
2021-04-11,Tennessee,3277587,2049823,1227764
2021-04-12,Tennessee,3311479,2068289,1243190
2021-04-13,Tennessee,3325618,2077688,1247930
2021-04-14,Tennessee,3347759,2087718,1260041
2021-04-15,Tennessee,3406493,2112243,1294250
2021-04-16,Tennessee,3465779,2138487,1327292
2021-04-17,Tennessee,3519686,2160931,1358755
2021-04-18,Tennessee,3579430,2184332,1395098
2021-04-19,Tennessee,3599838,2194500,1405338
2021-04-20,Tennessee,3613486,2201920,1411566
2021-04-21,Tennessee,3658708,2218245,1440463
2021-04-22,Tennessee,3711806,2237492,1474314
2021-04-23,Tennessee,3761914,2254548,1507366
2021-04-24,Tennessee,3811462,2269505,1541957
2021-04-25,Tennessee,3861444,2286642,1574802
2021-04-26,Tennessee,3883034,2296223,1586811
2021-04-27,Tennessee,3895259,2302554,1592705
2021-04-28,Tennessee,3930175,2314380,1615795
2021-04-29,Tennessee,3972019,2327527,1644492
2021-04-30,Tennessee,4011811,2339881,1671930
2021-05-01,Tennessee,4056484,2356831,1699653
2021-05-02,Tennessee,4095674,2369715,1725959
2021-05-03,Tennessee,4109740,2374198,1735542
2021-05-04,Tennessee,4116654,2376198,1740456
2021-05-05,Tennessee,4149661,2385694,1763967
2021-05-06,Tennessee,4201967,2399811,1802156
2021-05-07,Tennessee,4257482,2416367,1841115
2021-05-08,Tennessee,4302997,2429663,1873334
2021-05-09,Tennessee,4343195,2444465,1898730
2021-05-10,Tennessee,4365683,2454282,1911401
2021-05-11,Tennessee,4385110,2464168,1920942
2021-05-12,Tennessee,4409258,2472752,1936506
2021-05-13,Tennessee,4434043,2480854,1953189
2021-05-14,Tennessee,4460576,2490594,1969982
2021-05-15,Tennessee,4508815,2511475,1997340
2021-05-16,Tennessee,4568680,2536834,2031846
2021-05-17,Tennessee,4590429,2545494,2044935
2021-05-18,Tennessee,4599508,2550592,2048916
2021-05-19,Tennessee,4620773,2560618,2060155
2021-05-20,Tennessee,4647122,2574804,2072318
2021-05-21,Tennessee,4675611,2589957,2085654
2021-05-22,Tennessee,4706363,2606937,2099426
2021-05-23,Tennessee,4730547,2618389,2112158
2021-05-24,Tennessee,4742732,2625275,2117457
2021-05-25,Tennessee,4750846,2629888,2120958
2021-05-26,Tennessee,4768941,2638834,2130107
2021-05-27,Tennessee,4786851,2647639,2139212
2021-05-28,Tennessee,4803611,2656203,2147408
2021-05-29,Tennessee,4821222,2664756,2156466
2021-05-30,Tennessee,4839372,2673199,2166173
2021-05-31,Tennessee,4847073,2677330,2169743
2021-06-01,Tennessee,4854775,2681462,2173313
2021-06-02,Tennessee,4859292,2683878,2175414
2021-06-03,Tennessee,4870240,2688177,2182063
2021-06-04,Tennessee,4883933,2694377,2189556
2021-06-05,Tennessee,4902056,2702999,2199057
2021-06-06,Tennessee,4902709,2703368,2199341
2021-06-07,Tennessee,4916629,2709398,2207231
2021-06-08,Tennessee,4925868,2712829,2213039
2021-06-09,Tennessee,4939762,2717902,2221860
2021-06-10,Tennessee,4957875,2725092,2232783
2021-06-11,Tennessee,4958046,2725179,2232867
2021-06-12,Tennessee,4978785,2734592,2244193
2021-06-13,Tennessee,4997465,2742599,2254866
2021-06-14,Tennessee,5047795,2754559,2293236
2021-06-15,Tennessee,5065018,2759634,2305384
2021-06-16,Tennessee,5081941,2765521,2316420
2021-06-17,Tennessee,5102615,2774047,2328568
2021-06-18,Tennessee,5115999,2779545,2336454
2021-06-19,Tennessee,5131670,2786551,2345119
2021-06-20,Tennessee,5144080,2791719,2352361
2021-06-21,Tennessee,5154895,2796762,2358133
2021-06-22,Tennessee,5160505,2799356,2361149
2021-06-23,Tennessee,5169635,2803791,2365844
2021-06-24,Tennessee,5179920,2809106,2370814
2021-06-25,Tennessee,5191899,2815107,2376792
2021-06-26,Tennessee,5205249,2821575,2383674
2021-06-27,Tennessee,5226124,2830890,2395234
2021-06-28,Tennessee,5246763,2838094,2408669
2021-06-29,Tennessee,5251312,2840335,2410977
2021-06-30,Tennessee,5261506,2845692,2415814
2021-07-01,Tennessee,5272297,2851272,2421025
2021-07-02,Tennessee,5284684,2857828,2426856
2021-07-03,Tennessee,5464240,2901608,2562632
2021-07-04,Tennessee,5474093,2906580,2567513
2021-07-05,Tennessee,5478856,2908839,2570017
2021-07-06,Tennessee,5483621,2911099,2572522
2021-07-07,Tennessee,5486675,2912291,2574384
2021-07-08,Tennessee,5496006,2916714,2579292
2021-07-09,Tennessee,5505882,2921520,2584362
