date,state,total doses,first dose,second dose
2021-01-12,Vermont,0,0,0
2021-01-13,Vermont,14326,13301,1025
2021-01-14,Vermont,28653,26603,2050
2021-01-15,Vermont,32455,28355,4100
2021-01-16,Vermont,34476,29873,4603
2021-01-17,Vermont,36498,31391,5107
2021-01-18,Vermont,38519,32909,5610
2021-01-19,Vermont,40541,34427,6114
2021-01-20,Vermont,40774,34607,6167
2021-01-21,Vermont,42778,36233,6545
2021-01-22,Vermont,46386,38432,7954
2021-01-23,Vermont,49361,40484,8877
2021-01-24,Vermont,51803,41950,9853
2021-01-25,Vermont,53551,43356,10195
2021-01-26,Vermont,54343,43994,10349
2021-01-27,Vermont,55304,44498,10806
2021-01-28,Vermont,58794,46376,12418
2021-01-29,Vermont,61653,47485,14168
2021-01-30,Vermont,63686,48473,15213
2021-01-31,Vermont,67062,50571,16491
2021-02-01,Vermont,72305,53967,18338
2021-02-02,Vermont,73897,54994,18903
2021-02-03,Vermont,74594,55357,19237
2021-02-04,Vermont,77064,56221,20843
2021-02-05,Vermont,79915,57432,22483
2021-02-06,Vermont,82849,58637,24212
2021-02-07,Vermont,87025,60863,26162
2021-02-08,Vermont,90168,63024,27144
2021-02-09,Vermont,92874,64864,28010
2021-02-10,Vermont,93699,65577,28122
2021-02-11,Vermont,96737,67024,29713
2021-02-12,Vermont,99862,68654,31208
2021-02-13,Vermont,102537,70351,32186
2021-02-14,Vermont,106600,73105,33495
2021-02-15,Vermont,110697,75563,35134
2021-02-16,Vermont,114795,78022,36773
2021-02-17,Vermont,115773,78816,36957
2021-02-18,Vermont,117987,79606,38381
2021-02-19,Vermont,127419,86590,40829
2021-02-20,Vermont,131910,88826,43084
2021-02-21,Vermont,136940,91923,45017
2021-02-22,Vermont,138048,92323,45725
2021-02-23,Vermont,140717,94054,46663
2021-02-24,Vermont,141743,94866,46877
2021-02-25,Vermont,144512,96318,48194
2021-02-26,Vermont,148118,98746,49372
2021-02-27,Vermont,153160,101529,51631
2021-02-28,Vermont,158722,104583,54139
2021-03-01,Vermont,164172,107238,56934
2021-03-02,Vermont,167661,109213,58448
2021-03-03,Vermont,169290,110313,58977
2021-03-04,Vermont,171828,111890,59938
2021-03-05,Vermont,175601,114893,60708
2021-03-06,Vermont,180253,118292,61961
2021-03-07,Vermont,187365,122891,64474
2021-03-08,Vermont,194459,126974,67485
2021-03-09,Vermont,199614,130466,69148
2021-03-10,Vermont,202739,132811,69928
2021-03-11,Vermont,207555,135916,71639
2021-03-12,Vermont,212804,139766,73038
2021-03-13,Vermont,226877,149120,77757
2021-03-14,Vermont,226927,149158,77769
2021-03-15,Vermont,234162,153973,80189
2021-03-16,Vermont,238955,156682,82273
2021-03-17,Vermont,242859,158711,84148
2021-03-18,Vermont,248817,162595,86222
2021-03-19,Vermont,255595,167409,88186
2021-03-20,Vermont,262617,172303,90314
2021-03-21,Vermont,270677,177451,93226
2021-03-22,Vermont,273891,179725,94166
2021-03-23,Vermont,280116,183362,96754
2021-03-24,Vermont,284192,185840,98352
2021-03-25,Vermont,288423,188433,99990
2021-03-26,Vermont,294853,192146,102707
2021-03-27,Vermont,301409,196126,105283
2021-03-28,Vermont,308256,199645,108611
2021-03-29,Vermont,314417,203266,111151
2021-03-30,Vermont,321618,206956,114662
2021-03-31,Vermont,326801,209145,117656
2021-04-01,Vermont,332048,212105,119943
2021-04-02,Vermont,340517,216254,124263
2021-04-03,Vermont,359972,226900,133072
2021-04-04,Vermont,360871,227068,133803
2021-04-05,Vermont,370887,232419,138468
2021-04-06,Vermont,377018,235562,141456
2021-04-07,Vermont,380795,238117,142678
2021-04-08,Vermont,386553,241043,145510
2021-04-09,Vermont,397481,246275,151206
2021-04-10,Vermont,410810,252500,158310
2021-04-11,Vermont,421800,258219,163581
2021-04-12,Vermont,434723,264954,169769
2021-04-13,Vermont,442365,268952,173413
2021-04-14,Vermont,451135,273837,177298
2021-04-15,Vermont,460128,278618,181510
2021-04-16,Vermont,470173,283986,186187
2021-04-17,Vermont,470650,284195,186455
2021-04-18,Vermont,488674,294659,194015
2021-04-19,Vermont,496290,298921,197369
2021-04-20,Vermont,505527,302169,203358
2021-04-21,Vermont,509956,305255,204701
2021-04-22,Vermont,516168,308465,207703
2021-04-23,Vermont,520527,310949,209578
2021-04-24,Vermont,529470,315912,213558
2021-04-25,Vermont,539266,322109,217157
2021-04-26,Vermont,551003,328621,222382
2021-04-27,Vermont,557318,332511,224807
2021-04-28,Vermont,562442,335642,226800
2021-04-29,Vermont,569370,340072,229298
2021-04-30,Vermont,576548,343866,232682
2021-05-01,Vermont,584539,347866,236673
2021-05-02,Vermont,594867,353166,241701
2021-05-03,Vermont,603934,358437,245497
2021-05-04,Vermont,610476,361667,248809
2021-05-05,Vermont,615340,364642,250698
2021-05-06,Vermont,621609,367932,253677
2021-05-07,Vermont,627915,371158,256757
2021-05-08,Vermont,633296,374046,259250
2021-05-09,Vermont,649262,382267,266995
2021-05-10,Vermont,657191,386379,270812
2021-05-11,Vermont,661798,388794,273004
2021-05-12,Vermont,668823,391858,276965
2021-05-13,Vermont,674153,394534,279619
2021-05-14,Vermont,680028,397152,282876
2021-05-15,Vermont,687327,399944,287383
2021-05-16,Vermont,696035,403357,292678
2021-05-17,Vermont,703108,406709,296399
2021-05-18,Vermont,708789,408974,299815
2021-05-19,Vermont,712583,410604,301979
2021-05-20,Vermont,718271,412806,305465
2021-05-21,Vermont,734601,420948,313653
2021-05-22,Vermont,742327,425085,317242
2021-05-23,Vermont,752461,429773,322688
2021-05-24,Vermont,763641,434557,329084
2021-05-25,Vermont,767779,436250,331529
2021-05-26,Vermont,772511,438135,334376
2021-05-27,Vermont,766381,433173,333208
2021-05-28,Vermont,772452,435174,337278
2021-05-29,Vermont,777993,436669,341324
2021-05-30,Vermont,783977,438178,345799
2021-05-31,Vermont,788336,439543,348793
2021-06-01,Vermont,792696,440908,351788
2021-06-02,Vermont,794367,441390,352977
2021-06-03,Vermont,796025,441738,354287
2021-06-04,Vermont,799143,442506,356637
2021-06-05,Vermont,805135,444268,360867
2021-06-06,Vermont,810065,445426,364639
2021-06-07,Vermont,814352,446489,367863
2021-06-08,Vermont,817867,447248,370619
2021-06-09,Vermont,818593,447542,371051
2021-06-10,Vermont,821484,448270,373214
2021-06-11,Vermont,821572,448298,373274
2021-06-12,Vermont,827003,449320,377683
2021-06-13,Vermont,832572,450476,382096
2021-06-14,Vermont,837694,451464,386230
2021-06-15,Vermont,843540,452570,390970
2021-06-16,Vermont,845692,452968,392724
2021-06-17,Vermont,848531,453657,394874
2021-06-18,Vermont,850733,454452,396281
2021-06-19,Vermont,853975,455440,398535
2021-06-20,Vermont,856335,456145,400190
2021-06-21,Vermont,858131,456656,401475
2021-06-22,Vermont,859202,457072,402130
2021-06-23,Vermont,859749,457301,402448
2021-06-24,Vermont,860677,457658,403019
2021-06-25,Vermont,861966,458160,403806
2021-06-26,Vermont,863192,458660,404532
2021-06-27,Vermont,864884,459353,405531
2021-06-28,Vermont,867255,460276,406979
2021-06-29,Vermont,869988,461022,408966
