date,state,total doses,first dose,second dose
2021-01-12,Washington,179794,162105,17689
2021-01-13,Washington,192275,169650,22625
2021-01-14,Washington,214553,187450,27103
2021-01-15,Washington,232263,200682,31581
2021-01-16,Washington,251883,216888,34995
2021-01-17,Washington,271503,233094,38409
2021-01-18,Washington,291123,249300,41823
2021-01-19,Washington,310744,265507,45237
2021-01-20,Washington,336231,286500,49731
2021-01-21,Washington,362844,306942,55902
2021-01-22,Washington,392509,330357,62152
2021-01-23,Washington,426344,359217,67127
2021-01-24,Washington,438717,370231,68486
2021-01-25,Washington,478064,404326,73738
2021-01-26,Washington,496872,420728,76144
2021-01-27,Washington,523681,441895,81786
2021-01-28,Washington,560261,468528,91733
2021-01-29,Washington,595963,496008,99955
2021-01-30,Washington,632687,524466,108221
2021-01-31,Washington,672903,555505,117398
2021-02-01,Washington,709092,582420,126672
2021-02-02,Washington,730221,599313,130908
2021-02-03,Washington,754270,616340,137930
2021-02-04,Washington,785438,637940,147498
2021-02-05,Washington,815825,658508,157317
2021-02-06,Washington,855474,684484,170990
2021-02-07,Washington,892680,709023,183657
2021-02-08,Washington,925417,731739,193678
2021-02-09,Washington,938613,740234,198379
2021-02-10,Washington,996003,780179,215824
2021-02-11,Washington,1026947,797359,229588
2021-02-12,Washington,1067209,819728,247481
2021-02-13,Washington,1108058,844801,263257
2021-02-14,Washington,1152571,870853,281718
2021-02-15,Washington,1169846,880567,289279
2021-02-16,Washington,1187122,890282,296840
2021-02-17,Washington,1211620,898805,312815
2021-02-18,Washington,1241330,914138,327192
2021-02-19,Washington,1346939,982469,364470
2021-02-20,Washington,1391616,1001775,389841
2021-02-21,Washington,1428064,1016677,411387
2021-02-22,Washington,1467233,1030812,436421
2021-02-23,Washington,1481662,1036564,445098
2021-02-24,Washington,1502320,1045186,457134
2021-02-25,Washington,1550260,1063637,486623
2021-02-26,Washington,1597394,1081544,515850
2021-02-27,Washington,1654822,1105687,549135
2021-02-28,Washington,1717304,1134837,582467
2021-03-01,Washington,1787789,1166618,621171
2021-03-02,Washington,1828922,1186560,642362
2021-03-03,Washington,1875336,1210794,664542
2021-03-04,Washington,1929695,1243596,686099
2021-03-05,Washington,1987494,1276221,711273
2021-03-06,Washington,2057409,1321095,736314
2021-03-07,Washington,2129737,1367009,762728
2021-03-08,Washington,2199571,1411252,788319
2021-03-09,Washington,2241593,1437268,804325
2021-03-10,Washington,2289610,1469986,819624
2021-03-11,Washington,2370106,1515461,854645
2021-03-12,Washington,2433898,1555378,878520
2021-03-13,Washington,2499246,1597377,901869
2021-03-14,Washington,2564887,1638176,926711
2021-03-15,Washington,2641019,1686163,954856
2021-03-16,Washington,2689858,1714661,975197
2021-03-17,Washington,2731128,1742242,988886
2021-03-18,Washington,2790573,1776669,1013904
2021-03-19,Washington,2854220,1816100,1038120
2021-03-20,Washington,2922324,1858543,1063781
2021-03-21,Washington,3008249,1915110,1093139
2021-03-22,Washington,3082492,1968308,1114184
2021-03-23,Washington,3108022,1982908,1125114
2021-03-24,Washington,3148154,2008970,1139184
2021-03-25,Washington,3212547,2046826,1165721
2021-03-26,Washington,3296523,2097456,1199067
2021-03-27,Washington,3377962,2142877,1235085
2021-03-28,Washington,3468342,2188808,1279534
2021-03-29,Washington,3551037,2232951,1318086
2021-03-30,Washington,3587553,2250118,1337435
2021-03-31,Washington,3638368,2272698,1365670
2021-04-01,Washington,3713223,2309959,1403264
2021-04-02,Washington,3801401,2358001,1443400
2021-04-03,Washington,3893852,2409702,1484150
2021-04-04,Washington,3994282,2464825,1529457
2021-04-05,Washington,4085863,2510100,1575763
2021-04-06,Washington,4111868,2524995,1586873
2021-04-07,Washington,4172904,2559365,1613539
2021-04-08,Washington,4256001,2606688,1649313
2021-04-09,Washington,4354826,2666750,1688076
2021-04-10,Washington,4457064,2719974,1737090
2021-04-11,Washington,4561295,2776113,1785182
2021-04-12,Washington,4661605,2830574,1831031
2021-04-13,Washington,4722538,2862032,1860506
2021-04-14,Washington,4794232,2898988,1895244
2021-04-15,Washington,4869940,2938944,1930996
2021-04-16,Washington,4944165,2976554,1967611
2021-04-17,Washington,5030463,3023361,2007102
2021-04-18,Washington,5120908,3070660,2050248
2021-04-19,Washington,5204889,3111691,2093198
2021-04-20,Washington,5242482,3136266,2106216
2021-04-21,Washington,5304361,3174012,2130349
2021-04-22,Washington,5377938,3214063,2163875
2021-04-23,Washington,5470014,3264075,2205939
2021-04-24,Washington,5550441,3305388,2245053
2021-04-25,Washington,5638673,3348424,2290249
2021-04-26,Washington,5725322,3395402,2329920
2021-04-27,Washington,5764089,3417581,2346508
2021-04-28,Washington,5818676,3447001,2371675
2021-04-29,Washington,5897478,3487638,2409840
2021-04-30,Washington,5979208,3524503,2454705
2021-05-01,Washington,6058774,3565288,2493486
2021-05-02,Washington,6136499,3602356,2534143
2021-05-03,Washington,6195049,3629546,2565503
2021-05-04,Washington,6210969,3637897,2573072
2021-05-05,Washington,6254727,3656965,2597762
2021-05-06,Washington,6319075,3683465,2635610
2021-05-07,Washington,6383952,3711299,2672653
2021-05-08,Washington,6456643,3742690,2713953
2021-05-09,Washington,6532581,3772502,2760079
2021-05-10,Washington,6625058,3805794,2819264
2021-05-11,Washington,6682277,3830473,2851804
2021-05-12,Washington,6725334,3842954,2882380
2021-05-13,Washington,6786222,3864410,2921812
2021-05-14,Washington,6847993,3885721,2962272
2021-05-15,Washington,6917731,3913794,3003937
2021-05-16,Washington,7001413,3949859,3051554
2021-05-17,Washington,7061232,3972049,3089183
2021-05-18,Washington,7100960,3988475,3112485
2021-05-19,Washington,7153847,4010086,3143761
2021-05-20,Washington,7224299,4040328,3183971
2021-05-21,Washington,7295302,4072276,3223026
2021-05-22,Washington,7390671,4117599,3273072
2021-05-23,Washington,7466184,4148931,3317253
2021-05-24,Washington,7533890,4176352,3357538
2021-05-25,Washington,7562405,4191876,3370529
2021-05-26,Washington,7605982,4211207,3394775
2021-05-27,Washington,7659766,4234619,3425147
2021-05-28,Washington,7667140,4239604,3427536
2021-05-29,Washington,7782438,4284321,3498117
2021-05-30,Washington,7834963,4303802,3531161
2021-05-31,Washington,7855178,4313002,3542176
2021-06-01,Washington,7875395,4322203,3553192
2021-06-02,Washington,7903943,4335492,3568451
2021-06-03,Washington,7943099,4350908,3592191
2021-06-04,Washington,7981453,4365478,3615975
2021-06-05,Washington,7983246,4366401,3616845
2021-06-06,Washington,8073348,4399444,3673904
2021-06-07,Washington,8127080,4416901,3710179
2021-06-08,Washington,8152910,4425789,3727121
2021-06-09,Washington,8154771,4426557,3728214
2021-06-10,Washington,8188046,4437000,3751046
2021-06-11,Washington,8223502,4448925,3774577
2021-06-12,Washington,8273969,4466202,3807767
2021-06-13,Washington,8311800,4480693,3831107
2021-06-14,Washington,8358580,4497157,3861423
2021-06-15,Washington,8399863,4510832,3889031
2021-06-16,Washington,8401050,4511392,3889658
