date,state,total doses,first dose,second dose
2021-01-12,West Virginia,0,0,0
2021-01-13,West Virginia,54820,49530,5290
2021-01-14,West Virginia,109642,99061,10581
2021-01-15,West Virginia,134196,113034,21162
2021-01-16,West Virginia,138808,117006,21802
2021-01-17,West Virginia,143420,120978,22442
2021-01-18,West Virginia,148032,124950,23082
2021-01-19,West Virginia,152646,128923,23723
2021-01-20,West Virginia,158610,132929,25681
2021-01-21,West Virginia,167537,135950,31587
2021-01-22,West Virginia,180751,145361,35390
2021-01-23,West Virginia,194833,156854,37979
2021-01-24,West Virginia,202872,163801,39071
2021-01-25,West Virginia,203981,164528,39453
2021-01-26,West Virginia,210481,167660,42821
2021-01-27,West Virginia,214915,169671,45244
2021-01-28,West Virginia,224593,173750,50843
2021-01-29,West Virginia,239952,181839,58113
2021-01-30,West Virginia,256390,191225,65165
2021-01-31,West Virginia,259763,192580,67183
2021-02-01,West Virginia,260314,192951,67363
2021-02-02,West Virginia,264194,194301,69893
2021-02-03,West Virginia,267656,195200,72456
2021-02-04,West Virginia,276344,197939,78405
2021-02-05,West Virginia,291410,203731,87679
2021-02-06,West Virginia,314460,214301,100159
2021-02-07,West Virginia,321636,217613,104023
2021-02-08,West Virginia,322977,218266,104711
2021-02-09,West Virginia,327402,219723,107679
2021-02-10,West Virginia,332565,222233,110332
2021-02-11,West Virginia,340768,226323,114445
2021-02-12,West Virginia,351415,230596,120819
2021-02-13,West Virginia,376101,242233,133868
2021-02-14,West Virginia,386571,247689,138882
2021-02-15,West Virginia,390100,249251,140849
2021-02-16,West Virginia,393631,250814,142817
2021-02-17,West Virginia,395997,251627,144370
2021-02-18,West Virginia,403520,254778,148742
2021-02-19,West Virginia,440584,279255,161329
2021-02-20,West Virginia,458057,288262,169795
2021-02-21,West Virginia,463479,290411,173068
2021-02-22,West Virginia,456152,286014,170138
2021-02-23,West Virginia,461050,288630,172420
2021-02-24,West Virginia,464720,290180,174540
2021-02-25,West Virginia,475787,294794,180993
2021-02-26,West Virginia,492215,302863,189352
2021-02-27,West Virginia,515648,314571,201077
2021-02-28,West Virginia,522110,317008,205102
2021-03-01,West Virginia,524347,318168,206179
2021-03-02,West Virginia,526942,319813,207129
2021-03-03,West Virginia,531912,322461,209451
2021-03-04,West Virginia,543940,330737,213203
2021-03-05,West Virginia,565111,345274,219837
2021-03-06,West Virginia,584898,358305,226593
2021-03-07,West Virginia,592475,363429,229046
2021-03-08,West Virginia,594108,363952,230156
2021-03-09,West Virginia,598296,367001,231295
2021-03-10,West Virginia,603107,370361,232746
2021-03-11,West Virginia,618296,379579,238717
2021-03-12,West Virginia,644470,397640,246830
2021-03-13,West Virginia,672441,414266,258175
2021-03-14,West Virginia,677824,417836,259988
2021-03-15,West Virginia,679921,418889,261032
2021-03-16,West Virginia,683703,421226,262477
2021-03-17,West Virginia,689560,426168,263392
2021-03-18,West Virginia,704297,435450,268847
2021-03-19,West Virginia,727272,450766,276506
2021-03-20,West Virginia,751198,467091,284107
2021-03-21,West Virginia,758933,473087,285846
2021-03-22,West Virginia,760617,474100,286517
2021-03-23,West Virginia,765994,477015,288979
2021-03-24,West Virginia,774767,482432,292335
2021-03-25,West Virginia,790573,489826,300747
2021-03-26,West Virginia,816559,501565,314994
2021-03-27,West Virginia,844218,516309,327909
2021-03-28,West Virginia,855059,524381,330678
2021-03-29,West Virginia,856194,525033,331161
2021-03-30,West Virginia,864954,530858,334096
2021-03-31,West Virginia,873742,537000,336742
2021-04-01,West Virginia,895311,547917,347394
2021-04-02,West Virginia,924297,557107,367190
2021-04-03,West Virginia,942970,566647,376323
2021-04-04,West Virginia,948329,569122,379207
2021-04-05,West Virginia,949360,569655,379705
