date,state,total doses,first dose,second dose
2021-01-12,Wyoming,15693,13577,2116
2021-01-13,Wyoming,16965,14406,2559
2021-01-14,Wyoming,19991,17310,2681
2021-01-15,Wyoming,22734,19931,2803
2021-01-16,Wyoming,24057,21145,2912
2021-01-17,Wyoming,25381,22359,3022
2021-01-18,Wyoming,26705,23573,3132
2021-01-19,Wyoming,28030,24788,3242
2021-01-20,Wyoming,29282,25841,3441
2021-01-21,Wyoming,29282,25841,3441
2021-01-22,Wyoming,34508,29993,4515
2021-01-23,Wyoming,37519,32746,4773
2021-01-24,Wyoming,40763,35868,4895
2021-01-25,Wyoming,41115,36215,4900
2021-01-26,Wyoming,41298,36398,4900
2021-01-27,Wyoming,43382,37963,5419
2021-01-28,Wyoming,43382,37963,5419
2021-01-29,Wyoming,49115,41441,7674
2021-01-30,Wyoming,49115,41441,7674
2021-01-31,Wyoming,56960,47639,9321
2021-02-01,Wyoming,57806,48155,9651
2021-02-02,Wyoming,58103,48255,9848
2021-02-03,Wyoming,59856,49361,10495
2021-02-04,Wyoming,59856,49361,10495
2021-02-05,Wyoming,66482,53630,12852
2021-02-06,Wyoming,70911,56076,14835
2021-02-07,Wyoming,70911,56076,14835
2021-02-08,Wyoming,75504,58775,16729
2021-02-09,Wyoming,75504,58775,16729
2021-02-10,Wyoming,79350,61170,18180
2021-02-11,Wyoming,79350,61170,18180
2021-02-12,Wyoming,88889,65857,23032
2021-02-13,Wyoming,88889,65857,23032
2021-02-14,Wyoming,98785,71653,27132
2021-02-15,Wyoming,99327,71996,27331
2021-02-16,Wyoming,99870,72339,27531
2021-02-17,Wyoming,99870,72339,27531
2021-02-18,Wyoming,105093,74983,30110
2021-02-19,Wyoming,123940,87289,36651
2021-02-20,Wyoming,128669,89346,39323
2021-02-21,Wyoming,129079,89605,39474
2021-02-22,Wyoming,133532,90847,42685
2021-02-23,Wyoming,134059,91063,42996
2021-02-24,Wyoming,134326,91162,43164
2021-02-25,Wyoming,139460,93220,46240
2021-02-26,Wyoming,143473,95024,48449
2021-02-27,Wyoming,149390,97414,51976
2021-02-28,Wyoming,154217,99849,54368
2021-03-01,Wyoming,154398,99880,54518
2021-03-02,Wyoming,154478,99916,54562
2021-03-03,Wyoming,160491,103398,57093
2021-03-04,Wyoming,160746,103497,57249
2021-03-05,Wyoming,164140,104955,59185
2021-03-06,Wyoming,174786,110594,64192
2021-03-07,Wyoming,175470,110971,64499
2021-03-08,Wyoming,183043,114824,68219
2021-03-09,Wyoming,183335,115046,68289
2021-03-10,Wyoming,187718,116799,70919
2021-03-11,Wyoming,188163,116948,71215
2021-03-12,Wyoming,196849,121792,75057
2021-03-13,Wyoming,203880,125878,78002
2021-03-14,Wyoming,209778,129196,80582
2021-03-15,Wyoming,210408,129287,81121
2021-03-16,Wyoming,211829,130020,81809
2021-03-17,Wyoming,211955,130099,81856
2021-03-18,Wyoming,212102,130178,81924
2021-03-19,Wyoming,219285,134295,84990
2021-03-20,Wyoming,219708,134422,85286
2021-03-21,Wyoming,220211,134703,85508
2021-03-22,Wyoming,220356,134800,85556
2021-03-23,Wyoming,234315,142012,92303
2021-03-24,Wyoming,234575,142147,92428
2021-03-25,Wyoming,242343,146634,95709
2021-03-26,Wyoming,242759,146888,95871
2021-03-27,Wyoming,243202,147098,96104
2021-03-28,Wyoming,243811,147413,96398
2021-03-29,Wyoming,261391,156608,104783
2021-03-30,Wyoming,261443,156638,104805
2021-03-31,Wyoming,261962,156910,105052
2021-04-01,Wyoming,270026,161055,108971
2021-04-02,Wyoming,270472,161277,109195
2021-04-03,Wyoming,270994,161571,109423
2021-04-04,Wyoming,286902,168129,118773
2021-04-05,Wyoming,287252,168177,119075
2021-04-06,Wyoming,288506,168771,119735
2021-04-07,Wyoming,288943,169020,119923
2021-04-08,Wyoming,289324,169230,120094
2021-04-09,Wyoming,289655,169409,120246
2021-04-10,Wyoming,290217,169683,120534
2021-04-11,Wyoming,312156,180223,131933
2021-04-12,Wyoming,312269,180275,131994
2021-04-13,Wyoming,316140,181974,134166
2021-04-14,Wyoming,319436,183741,135695
2021-04-15,Wyoming,319698,183899,135799
2021-04-16,Wyoming,325590,186092,139498
2021-04-17,Wyoming,325906,186241,139665
2021-04-18,Wyoming,326080,186359,139721
2021-04-19,Wyoming,326369,186518,139851
2021-04-20,Wyoming,334617,189818,144799
2021-04-21,Wyoming,334846,189930,144916
2021-04-22,Wyoming,339317,191282,148035
2021-04-23,Wyoming,342452,192173,150279
2021-04-24,Wyoming,342644,192278,150366
2021-04-25,Wyoming,342956,192439,150517
2021-04-26,Wyoming,349999,194530,155469
2021-04-27,Wyoming,350088,194585,155503
2021-04-28,Wyoming,350345,194680,155665
2021-04-29,Wyoming,354557,195885,158672
2021-04-30,Wyoming,357109,196453,160656
2021-05-01,Wyoming,359335,197208,162127
2021-05-02,Wyoming,359668,197340,162328
2021-05-03,Wyoming,359730,197374,162356
2021-05-04,Wyoming,362290,198293,163997
2021-05-05,Wyoming,364151,198821,165330
2021-05-06,Wyoming,364485,198930,165555
2021-05-07,Wyoming,368665,200309,168356
